이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
Lilit Bang Lumphu Hotel - Bangkok,"Phrasumeru Road, 55, 8 ตรอก บ้านหล่อ Baanphanthom, Phranakorn, กรุงเทพมหานคร 10200, Thailand",4.5,13.7616075,100.501267,"Initially found it quite soulless and disappointing. It grew on me a bit though. I was so pleased they changed the awful pop music rotation to some light cafe jazz. It made a world of difference, improved my stay, and I was able to work in the area above reception. Wifi works well.

The beds and thick curtains are quite nice. Walls are pretty thin between rooms though so you can hear snorers right next to you that you cant kick. Beds are close together but I thankfully had good roommates so that didnt matter. Lockers are spacious and secure. Bathrooms are good and towels are free. They also give you a free bottle of water every day. The cleaner is amazing.

Dont fall for the slashed price on booking, the varied prices, or the 1 bed left!  theyre all scams. Its simply a clean hostel but without any amenities besides a pool. Its also expressly antisocial.

There is no hint of a kitchen  no fridge, cutlery, plates or bowls, no kettle, nothing. Just super overpriced menu items, even want to slug you for tea. In my experience the daytime staff were nice but less competent than average, and I found that their English isnt good enough to ask about anything. Night shift person was helpful though. There is a lift and free luggage storage.

The surrounding area is okay but a bit crass and the restaurants nearby are pretty touristy in a depressing way. Not being able to sort my own breakfast and having to go there was massively inconvenient.

This accommodation and area made me like Bangkok much less than I did before I came here. A regrettable choice to stay here. Wonderful gem of a property. While solo travelling through Asia, I would get a bit tired of hostels and would want somewhere more comfortable but not missing the social element of a hostel. This place is the perfect mix, it attracts younger travellers given the proximity to Khao San but at The same time feels like a very modern 45 star hotel. Super nice lobby area where people hang out, bed is extremely comfy, modern shower, great pool area. Only recommendation to the property is to provide better toiletries to complete the luxury feel. The hotel itself is overall very clean and the staff were helpful.
Kind of wish they had shelves or extra hooks on the bedside or in shower booths though.
The bathroom area didnt have an ac on so it was pretty damp and hot.
Other than that, everything was good! If I could rate this place 1010 I would! Last minute booking and we are so glad we booked here.
Staff lovely! Facilities new and clean! Really beautiful with a relaxed vibe. Coffee yum. Room service incredible after we were exhausted from the chaos of the city!
Beds MASSIVE and COMFY!!! Best so far of our trip.
Quiet aircon and peaceful environment.
Burger to chip ratio slightly off, but all and all would 100 book again. Great value for money Review 4 Dorm  2x 4 nights
Very nice HotelHostel, every day 1x free water und a new towel. The dorm  bed was very clean, comfortable and a good room size.  nice Breakfast Buffet as well
Only things to complainnote
1. the shower door could be renewed and the water didnt drain so well
2. some beds hadnt any space for my stuff in my bed like a shelf board or something, that was quite annoying and actually easy to implement.
3. Im about 1,94m tall and just about fit into the bed, someone taller should avoid the dorms probably one night should work",no operation time,"lodging, point_of_interest, establishment"
Villa Bangkok Hotel,"457 Thanon Phra Sumen, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.5,13.759097,100.5032333,"Rooms were an adequote size, lovely strong shower, fridge filled with refreshments not sure if there is a charge as we didnt use any of the drinks. The staff were very very friendly, helpful and all round amazing!!! The pool were big enough for a dip after a shopping session in the sun. The location were great, off the business of the markets, so relaxing after a busy day out. We stayed in room 113, right next to the pool. The hotel can also assist we cheap taxis to the airport! Will stay again on our next visit!!! .  Nice hotel, staff is friendly and helpful and location is good. Breakfast really delicious. Our room faced the street and we had to put up with all the noises and in addition there are AC compressors in the balcony concealed by some decorative panels. I was there to pick up my tourists so no rating on the room. In general, I do like the hospitality from the hotel staff, they are quite friendly. It was kind of coffee shop and breakfast inside the hotel reception too. The guests can have breakfast either in the caf with the air conditioning, ouside near the smoking area with the road view or quietly inside the hotel right next to the swimming pool. There is also the washing machine area where you can clear off your dirty clothes after several days for those who voyages many days. The hotel is well located nearby the Khaosan road by walk or Tuk  Tuk, there is 711 next to the hotel, so easy to get something quick. Unfortunately, the toilet at the lobby was only one person at a time. How to start i ask for a quite room and they gave one giving on the street.. but it was ok as its not a main road. Secondly walls are extremely thin.. its the first time in my life I heard literally the guy in the other peeing like if he were in my home room.. . The shower is super noisy especially by night. No night lamp next to bed and no trash in the room.
Finally for the same price you can afford something really better. The unique argument is the swimming pool but the water is so hot..
For those looking for quite place with respectable neighbours get you an other place Great Location and great stay. The place is  a cute vibe but mostly close enough to everything in Bangkok. We had a mix up with our reservation but they were able to let us hold our bags until we sorted it out. Would come back to this hotel.",no operation time,"lodging, point_of_interest, establishment"
Thaya Hotel Bangkok,"888 Phatthanakan Rd, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand",4.4,13.7360169,100.6297942,"Large, clean rooms. Friendly staff in general. Very basic breakfast included, room service menu with few options. I ordered a margarita pizza, it tasted like ketchup. I DO NOT RECOMMEND it was a bad taste. As for location, I only recommend it if you are staying for 1 day and are going to the airport. Otherwise, you will spend money on taxis. Good value, good not too small rooms and great service. Lots of Chinese tour groups possibly worsen the experience. On the wrong side of the road if you want to go to Suvarnabhumi airport, in the rush hours the trip will take 20 minutes longer than from opposite side of the road. All in all I still recommend it! The room is so pretty! You can see the city view from it. The only downside is the location. It is not so easy to see since it was inside the corner. It's far from tourist destinations and shopping malls. They have a good breakfast though. EVERYTHING was absolutely unacceptable! The water was very unstable and kept changing temperature. Curtains and towels were stained and dust were cramped up into the air conditioning vents! Dust Pneumonia was very likely to happen so 1 star for this hotel!  I do not recommend this hotel by all the 5 stars hotel so far. If you are looking for a fair priced, clean, and most definitely safe hotel, this is NOT the place to come. Just checked in and of course the SoCal girl attitude in me came out when the bellboy corrected my teen daughter for not sitting up properly, on top of that he continued to keep his eyes on my daughter to make sure she didnt misbehave. Checked in the rooms, one is not ready and the other is hot as purgatory. I tried to play with the thermostat and of course the bellboy told me to not touch thats it, the 1 human replaced the 99 angel in me and Im about to check out. The receptionist handled it with great care. He calmed me down and corrected the issue without worrying about who is right and who is wrong. Thats impressive considering my ready to fight attitude.
The pool area was not ready as there is no clean towels and only dirty one left hanging around however it was immediately corrected when husband called for it.
Lets see if they can earn my 1 last star as this is my first day. I just left a beautiful 4 stars hotel in Da Nang, Vietnam with a 10 stars service. Lets hope this one can match.",no operation time,"lodging, point_of_interest, establishment"
Happy Station Bangkok,"477, 9-10 Thanon Rama IV, Khwaeng Rong Muang, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.9,13.7381625,100.5175733,"The environment in the lobby was very chill, with a lot of interesting games for customers to play, including snooker. The room was super clean and comfortable. The location is strategic, as it is near the MRT. The staff are very friendly and helpful, especially the owner of the hostel. She even accompanied my friend to a nearby 7Eleven to buy medicine for me because I had diarrhea. In addition, she recommended some of the best local food that was suitable for my condition. I highly recommend travelers to stay here for their entire trip in Bangkok. The best hostel I've ever been to.

Clean, tables are not just wiped down, but with alcohol.

Huge sleeping places, wardrobes for things that can be closed, clean and highquality bedding. Lots of showers and everything is also clean.

There is an excellent restaurant at the hostel, free tea, water and they gave me iced tea for free.

Conditions for work, tables, soft sofas, lots of sockets for charging, a large hall on the first floor, a place outside.

Entry by cards, not everything in a row.

Just an excellent hostel, I recommend it without stopping I found Happy Station on Google Maps and decided to give it a shot. Best decision ever!
The room was airy, bright, and with a minimalist design that was both stylish and comfortable, bed was so comfy. And all staff were super friendly and helpful, even accommodating my request to pay a deposit in VND. Plus, it's located super close to MRT Hua Lamphong and Chinatown, making it easy to get around the city. highly recommend Happy Station to anyone seeking a cozy and welcoming place to stay in BKK.
Thanks a lot! i will work hard to comeback hereee  btw i miss the voice on MRT next station, Hua Lamphong Happy Station is easily one of the greatest hotels  hostels I ever stayed at in all my trips to Thailand. The rooms, bathrooms and shower areas are all very clean. All of the staff were very friendly and super helpful. The location is great and very close to MRT. I stayed here for about a week and I would definitely return if I have the opportunity, the beds in the dormitory are comparable to any 5 star hotel, they are extra large and very comfortable. Overall I am very happy with my stay here and would seriously recommend to anyone. 1010 A It was amazing. I think it was the best hostel experience I've had. Like a lil hotel room you get double bed, SUPER clean, curtains that give you complete privacy, strong AC at night but you don't get cold thanks to the curtains. I liked the fact that each room has its own bathroom, so you're sharing it with your roommates only.
The lockers are huge, which was a great bonus. The staff are super friendly and helpful  including the owner Lily.
I had an amazing rest in that place and I would definitely recommend it!!",no operation time,"lodging, point_of_interest, establishment"
The Siam Heritage Hotel,"115/1 Surawong Rd, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.1,13.7294648,100.5304817,"A bit old fashioned and dark and we had zero view from window. It's in a great location for the Pat Pong naughty nightlife and the people running it were lovely. It's clean and accessible to the rooms was easy with good security. The roof top swimming pool was surprisingly nice but I'd question if it was safe for small children. I would stay again. Heritage is correct. Old wood rustic floors and furniture. Comfortable enough. Its near the red light area and night market. Some good restaurants and several massage places. However they charge a large fee for guests. The exchange rate in front is low, go to the bigger busy exchange place two blocks down. This hotel is a gem.  Old world decor with teak floors, lots of dark stained woodwork and Northern Thai style stained glass makes the place feel like you're in an old movie with Humphrey Bogart.  The staff was extremely friendly and helpful.  Be sure to include the generous breakfast with your lodging, it is a great value and the dining room is quite charming.  I will definitely be staying there again.  You are close to the Sala Daeng BTS station.  Numerous restaurants are close by Ekka Indian Grill and Katshushin were two of my favorites. I arrived late at night and the overnight staff booked me into a standard room when I booked a deluxe king room, the room was on a lowfloor facing the street. The windows had no sound proofing and I was unable to sleep for that night due to the sound of loud constant traffic. Next morning I requested a quieter room and they moved me to the roomtype I actually booked on a higher floor facing behind the hotel where it was much quieter. However in the new room it had central AC which was extremely loud and never went below what felt like 25 degrees and the room felt very humid with stale air, the air con vents had alot of grime and dust, I developed a sore throat and cough during my stay, im not sure if it was due to the terrible air quality outside or the dirty condition of the central air conditioning I doubt they regularly cleaned inside it and is likely full of dust and other mould. The lamps on my bedside table were never dusted and some of the floorboards are uneven. The housekeeping was basic and was more about replacing ammenities and arranging things to look neat, instead of actually cleaning anything the housekeeper used a basic mop with water to clean the floors, probibly the same mop used for all other surfaces elsewhere in the hotel.

Overall the hotel is showing its age, the coriddoors are very dark with no windows. The choice of lighting within the rooms  public areas is a very cold sharp whitish bluelight that is very jarring to the eyes and sets a haunting atmosphere amongst depictions of old Thai cultural paintings and Buddhist inspired statues. The location is decent and a short walk to Thaniya mall, many dining choices  Sala Daeng BTS station, but at night especially its not a family friendly environment as you need to walk past Patpong market street full of tuktuk drivers  stripclubs or Thaniya road that is full of Japanese adultbars with many working girls calling your attention on the street, just to get to the BTS station. If you decide to call a Grab car, the drivers have a tough time locating the hotel and always stop on the opposite side of the busy traffic street. A very old n tired hotel. Everything is old n run down. I booked a executive suite n was quite surprised at how run down the room was. It has a musky smell.
The front desk guy was really impolite n grumpy.
The only nice thing about this hotel is the bell boy who is always smiling n will not hesitate to greet you.",no operation time,"lodging, point_of_interest, establishment"
Red Door Heritage Hotel,"43/7 Soi Lang Bot Phram, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.7,13.7527537,100.5005017,"It's fine for a few nights stay in Bangkok.
10 min walk to Sam Yot MRT

Pros
Good value  Worth the price
Comfortable Bed
Clean  Tidy
Good shower
Tea  Coffee Facilities downstairs

Cons
No safe
Rooms are tiny. Barely big enough for two people.
They cleaned our room when we had the ""do not disturb"" sign on.
Hairdryer was not great but better than nothing
No lift
TV wasn't a smart tv This is a nice hotel located in the quieter part of the Chinatown. It stands between a Japanese restaurant and a chic cafe in a row of heritage buildings.

There are eating shops, food stalls and a morning market near the hotel. The nearest MRT Blue Line station is Sam Yot, about 700m away.

The famous Wat Arun, Wat Pho, Emarald Buddha and Grand Palace are all within walking distance from this hotel. Khao San Road, a nightlife spot, is also nearby.

The room is clean and brightly lit. It comes with all the basic necessities including a hair dryer and a small fridge. However, there is no elevator and guests have to walk up the stairs to the 2nd and 3rd floor.

Checking in and out is simple and fast. The front counter staff, Ms Pan and Ms Nook, are polite and very helpful.

We enjoyed our five night stay here and would come back when we visit Bangkok again. This place is Fantastic. We stayed here for over a week.
The rooms are clean and spacious.
The common area has a functional pantry with electric water kettle and selection of coffee.
The bathrooms are also clean.
The best part is the hotel's location. It's just a stone throw away from the Red swing monument and amazing Wats.
The streets are lively . We  loved the vibes of this area. Highly recommend. Picked this hotel based on reviews and photos.  It looked like an interesting building, and the location is good.  A little disappointed with the room which was small and a little worn.  AC had to be kept on 247 to keep the room temperature bearable.  No elevator and we were on the 3rd floor.  We had a room with private bathroom which was small but sufficient.  Staff was helpful.  We booked a tour to Damnern Saduak floating market and the Train market.  No issues with tours.  Location is great.  Would not stay here again because Bangkok has many other options. Had an amazing stay at this place, very helpful front desk staffs.
Room was clean with daily housekeeping service
Had a quiet and cute space at the ground floor with kitchenette consisting microwave, water,boiler etc. along with tea and coffees
Will definitely recommend this place","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
P18 Hotel Bangkok,"482 Soi Phetchaburi 18, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",4.9,13.7495614,100.5330845,"Booked a 3 person bedroom, service was great especially the laundry. They let us checked in early at 10am which was so nice of them. Everyone was so friendly. Even provided umbrellas for guests to use, as platinum mall are near in walking distance around 1015 minutes. Only one thing is that the sofa pillow probably a bit dusty which made my skin itchy but nevertheless would really come back again next time.  If you're looking for a quiet area but still walkable to Tofu and shopping malls this hotel is perfect. The room is clean, quiet spacious, it also has a fridge inside.

Staffs are friendly and helpful. Great hospitality. The hotel also offers laundry service and free snacks for the guests. Had a very pleasant 3 nights stay here. Very recommended. Thank you! Amazing hotel, we enjoyed every minute there.
The room and the lobby were super clean, the room was big enough for the two of us. They can wash your clothes for free and you can take candies, chips or noodles in the lobby next to the elevator.
The site staff was so kind with us, we felt welcome and comfortable all the time, definitely this hotel deserves more than 5 stars.

Thank you for all your attentions hotel P18, no doubt I will return and stay with you again! This hotel exceeded my expectations! The staff was incredibly friendly, and the rooms were spotless. The pillows and towels were fresh and neatly packed, adding a nice touch to the overall experience. The location is fantasticjust a short walk to Siam. I highly recommend staying here! The service was excellent, the room very clean, got a lot of snack, they provided microwave, free laundry,. I enjoyed every second in here. Best Hotel so far. Thank you for all your help and warm welcome. Hope to be back soon to Bangkok.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
"dusitD2 Samyan, Bangkok","333 Si Phraya Rd, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.8,13.7313566,100.5227018,"Though rated 4 stars, this hotel feels like a 5 by European standards. The hospitality was amazing, especially Jack, who was welcoming me with a cheerful smile and great energy. The breakfast was exceptional. It was one of the best Ive had, even though I usually dont like hotel breakfasts. It's also just a 10minute walk to the metro station, which is perfect for active travelers. Wish I couldve stayed longer! Highly recommend. Great service and hygiene room. I stay at D2 for my birthday vacation trip.
One night when taking taxi back to hotel, i just got 1000baht on hand and taxi driver have no enough for change, i rush to the counter, the lady staff was on phone, but she noticed i am taking a 1k note and she counted the notes and changed for me while she was still on the phone. I was really appreciated for her help.
And on the day we left hotel, Jack at concierge was really helpful to call a cab for us to airport, but the driver is also running out of changewhere i expect the driver that accept airport order would have prepared enough change for customers. Thats all i wanna share in this trip 5 stars all around the hotel has a modern luxurious feel, breakfast provides enormous choice, the rooftop bar serves excellent cocktails, and the pool and gym are super well equipped. The staff is always friendly and kind, and Jack from the reception. found the new earphones we lost at the gym. A cab is required to most touristic landmarks, but Grab is super accessible. And there are many restaurants and massage parlours within walking distance. Highly recommend The hotel is new, with decently furnished rooms for its price. The shower pressure is amazing! Located a grabboltcab away from major attractions in a nice part of town or a free hotel tuktuk to the metrotrain and had a food market across the road from it open to 10pm12am. Overall for its price range will definitely stay here again. Special thanks to Jack and others tuktuk driver for taking us to the station frequently. I went for breakfast. The first feeling when entering was friendly from the entrance. The first thing I saw was the variety of food. There was a chef who took care of the food all the time and there were staff who were helpful and provided good information, especially Khun Beam and other staff. I can say that it was a delicious and quality breakfast, including a beautiful and clean dining room.",no operation time,"lodging, point_of_interest, establishment"
Centara Life Government Complex Hotel & Convention Centre Chaeng Watthana,"The Government Complex 120 ถนน แจ้งวัฒนะ Khwaeng Thung Song Hong, Khet Lak Si, Krung Thep Maha Nakhon 10210, Thailand",4.6,13.8837591,100.5648433,"5 star for location if you are needing to do any business at Immigration. If you are planning to come to Bangkok for tourist activities wouldn't recommend staying this far out of the city

Second time I have stayed here at this Centara. Whenever my wife and I have to make our annual trip to Immigration in Bangkok we have stayed here. Just a short walk away from Immigration so you can show up in the early morning to receive a low queue number.

Other than being close to the Immigration they have a great breakfast, lunch buffet and A La Carte options for food. As well it is a quick grab away from Charn at the Avenue which has a lot of food options and The M Lifestyle Mall.

Staff is always great there! This past time the room cleaners on our floor did an exceptional job, going over the top each day when they didn't need to.
Was able to meet one of them Naw. Thank you for your hard work Naw and was a blessing to meet you. Everyday Naw was asking if we had any trash to be taken out, asking if we needed extra waters and cleaning up our room when all we requested was for our sheets to be changed on one of our beds due to a accident from our baby

Couldn't recommend this place enough and excited to stay here again and other future Centara locations. Very nice venue, service and staff are great. Many thanks to Pop girl staff is nice and assist me a lot. I had the opportunity to conduct business at the Immigration Office in Building B. I was impressed by Mr. Nirut's guidance, as he provided excellent advice on the best route. The service was exceptional. Great Hotel, the room and breakfast was excellent. Very nice and friendly staff and i impressed especially from Mr Nirut. He was so helpful and friendly all the time when I stay there. Top 10 service. Our room 901 aircon was too loud so we were moved to a bigger room. The hotel maintenance agreed the engine needed change. I hope they do this as I have seen many reviews about this same problem. Will be coming back to this hotel in a few weeks so hope they have solved these issues.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
Gardina Asoke,"No. 51 Soi Sukhumvit 16 (Sammitr, ถ. สุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",4.7,13.7290176,100.5613631,"The staff were extremely attentive and friendly. Room 701 was huge. It even had a small kitchen with a microwave. The bathroom was super big. There aren't many places to put your clothes. The rooms are very thinly soundproof and the doors don't seal. Unfortunately, you can hear everything. Otherwise, the room service was always very good. The food is also very tasty. The staff are very young and lively. The pool is a bit small for the number of guests. Unfortunately, there were a few children in the pool when we were there. Very loud and wild, which is why we decided not to use the pool. But the children had a lot of fun.  I stayed there for 2 nights since the outstanding comments on social media and google reviews yet Id like to say Im quite disappointed mainly because of the room layout. Its different from the picture shown on the booking site Agoda. The long table in the room look like a workstation for me but Im here for vacation. I suggest placing a sofa there will be nice maybe?
The staff mentioned they could help me to switch room in the next day but I just stayed 2 nights so I preferred not to switch the room.

Despite the disappointing room layout, the service was fine, the staffs tried their best to accommodate my needs, the hotel itself is delicate, and I like the tuk tuk shuttle that is quite convenient. Im a solo female traveler and I felt safe all the time staying there. As a hotel manager, I can accurately judge the quality of an establishment, and it's rare to find one of such high quality, given the relatively high level of competition in Thailand. And yet! The Gardina achieved this feat in every respect. From the arrival and assistance of the luggage handlers, through checkin by the charming receptionists, to the cleaning of the room, there's nothing to criticize about this hotel, which is much appreciated by the Thai population. The hotel is located just a few minutes from the main Asoke intersection, in a quiet side street. The rooms are spacious, wellappointed and equipped with the latest technology to ensure you have a pleasant stay. Our attentive staff will greet you whenever you pass by. Don't forget to say hello back. The hotel's cleanliness is beyond reproach, and it will come as no surprise to find them hard at work at all hours. Well done to the manager for selecting the best staff and managing her team with talent. I plan to return when I move to Thailand and will take a month at this hotel to find my permanent accommodation there. If you're not sure about booking, don't hesitate, you won't be disappointed. I loved this hotel last year and cannot wait to get back there in January. The beds were comfortable, it was super clean and the pool was just lovely! News restaurant across the street was fantastic too. Wonderful hotel. I'm not satisfied with my overall experience with this hotel. I couldn't use the pool because of maintenance during my stay4 nights and 5 days and room attendant forgot to refill the towels and soap. Breakfast was only one menu per person and I was hungry so I asked for one more piece of bread and they said ""one person one menu"". and even drinks, they don't refill it. my mom wanted to have more juice and they said ""no refill"". one lady at the front desk was talking to me, chewing gums, totally not professional and not polite at all. the pool issue, this hotel had alternative, which was the next hotel's, and guess what? the morning we checked out, we couldn't use it because they didn't preorganize the facility with that hotel. so basically all the guests on that day were not able to use the pool at all. This is 4 star hotel and I have a expectation from here, I don't know why I should feel disappointed while I spend pretty good money here. and absolutely not recommend anyone to stay here.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
