이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
The Grand Palace,"Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",4.5,13.7498558,100.4915765,"This is a must visit for anyone in Bangkok. It's just an awe inspiring place to wander around and see the sights of the different temples and buildings, there's just so much to see. Do make sure you have read the dress code rules before going, in particular make sure you are wearing long pants no exceptions apart from children, you can buy a pair at the entrance for 200 baht but they are not very comfortable! It can also get very hot and crowded so make sure you've packed lots of water and wear lots of sunscreen. Extremely beautiful temple! However it is very touristy, personally i prefer the less crowded places. But if you don't mind crowds and photos full of people you don't know, it's the perfect place. There are traditional Thai outfits that people are renting and wearing, which are very beautiful. It's crazy hot here. My friends and I showed up around 11, and it was packed. But it was cool checking out all the historic buildings in Thailand. Everyone was super friendly, and I even got to meet some people from Vietnam!  A must see. Some will say that it is very luxurious, wonderful, magical. Others will say eclectic. Anyway, it's a must visit. It is forbidden to wear shorts or a short skirt, but you can buy pants at the exit three times cheaper than at the entrance. A free umbrella and guided tour are available. Enjoy! Its a good place to visit if you havent been to any of the Asian castles of that type. It provides you with a huge contrast with e.g. European style castles. Good to visit once, but to me going back is hardly an option and also going here would not make much sense if you have been to a similar place before in Bangkok or other similar Asian cities. However, this castle cover it all if you havent been to any of those and you are selecting the one to go first time. The decoration and the shape of the buildings is very interesting, as well as large paintings over the whole walls. Overall a borderline 5 stars to me, mainly due to the contrast it provides compared to European architecture and culture","Monday: 8:30 AM – 3:30 PM
Tuesday: 8:30 AM – 3:30 PM
Wednesday: 8:30 AM – 3:30 PM
Thursday: 8:30 AM – 3:30 PM
Friday: 8:30 AM – 3:30 PM
Saturday: 8:30 AM – 3:30 PM
Sunday: 8:30 AM – 3:30 PM","tourist_attraction, park, point_of_interest, establishment"
Phra Sumen Fort,"QF7W+H7W, Thanon Phra Athit, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7639776,100.4956975,"It's a great little park area where many locals and tourists come to relax. Plenty space for a picnic or exercise. Personally, it is my favourite spot to watch the sunset and boats cruising on the river. In the evening there is a chance to practise dancing with local people  and listen to the music . Can't wait to go back there. It's one of my favourite spots in Bangkok . This is one of the best places in Thailand around khosan road. It has no entrance and the place is amazing. Peaceful and beautiful park. You can sit for sometimes doing your things and thinking about the plan what to do in Thailand. Its really wonderful place. The fort has different weapons and it shows how they were kept the city in ancient times. And its very close to the river and it has a great view with that. I recommend this place to anyone stays around khosan road. Nice little fort along the riverside with the park. I had the chance to see it at night time but I must revisit during the daytime. It looks like it could be a very incredible view overlooking the river and the modernday bridge. A tranquil park. Which is a rarity in a manic place like bangkok.

Lots of benches and a cool breeze of the river provides a welcome break Small fort near Khao san road for a quick walk or a river view. Can click some good pictures with a beautiful backdrop of the river and bridge .

No entry fee.","Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 9:00 PM","tourist_attraction, point_of_interest, establishment"
Royal Hall of Boromphiman,"พระที่นั่งบรมพิมาน Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.6,13.7504504,100.4930537,"Gorgeous grounds and buildings of the formerly used Palace. No entry, but lots of buildings to wander up to, perfect gardens, and smaller temples. Beautiful building but there is no entry. Awesome place Nice place to take pictures and learn some culture. Amazing place! Very pretty, must remove shoes to enter.",no operation time,"tourist_attraction, point_of_interest, establishment"
The Temple of the Emerald Buddha,"QF2V+M34, Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.7,13.7516435,100.4927041,"A beautiful place with lots of gold. The actual Buddha is much smaller than expected, but still worth seeing. I particularly liked the artwork on the walls. There were fans in the building and it was much cooler than outside which was nice.

However it was SO busy when we went it, was almost too busy. There were people everywhere pushing from all directions. It was also very hot.

Cool place, but make sure you GO EARLY. Id also recommend booking your tickets in advance online so you can beat some of the longgggg queues. Commonly known in English as the Temple of Emerald Buddha, the temple located within the grounds of the Grand Palace it is regarded as the most sacred Buddhist temple in Thailand and it enshrines the highly revered Buddha image meticulously carved from a single block of jade.
There are so many beautiful intricate details and ornaments but you should know its extremely crowded.
I didnt quite enjoy the experience itself because of the heat and crowds but its a must visit when in Bangkok.

Note Be aware youd need to wear long items of clothing covering shoulders and below the knees The site houses a historical Jade Buddha, though photography is unfortunately not permitted inside the temple itself. However, photos are allowed in the surrounding area. The grounds are clean, with clear signage, making it easy to navigate. The only downside is the somewhat high ticket price of 500 baht per adult. Other than that, theres little to complain about.

Pro
History and culture value
Clean
Clear sign

Cons
Tickets are expensive The temple is very holy and sacred. It is definitely an architectural treasure of Thailand. It worth the visit when you go to the Grand Palace. It is a must visit site.
Please buy the tickets online in advance to avoid queues. Admission fee for foreigners is 500 baht which includes the Grand palace and a couple of museums. This is a must see in Bangkok, although  the Emerald Buddha is very small its still a beautiful temple complex. Closes at 330 PM and its very crowded, people taking pics everywhere so its hard to move around as you have to wait to let them take their pic!","Monday: 8:30 AM – 3:30 PM
Tuesday: 8:30 AM – 3:30 PM
Wednesday: 8:30 AM – 3:30 PM
Thursday: 8:30 AM – 3:30 PM
Friday: 8:30 AM – 3:30 PM
Saturday: 8:30 AM – 3:30 PM
Sunday: 8:30 AM – 3:30 PM","tourist_attraction, place_of_worship, point_of_interest, establishment"
Royal Hall of Piman Rattaya,"200 Maha Rat Road, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7497432,100.4905577,Amazing Wonderful wow good to visit. Up New Street in town,no operation time,"tourist_attraction, point_of_interest, establishment"
Mahakan Fort,"QG44+66R, Maha Chai Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7556156,100.5055074,"A small whitewashed fort that's free to look at and walk around. Not much here, a short span of a wall and a tower, but it gives you an idea of what Thai fortifications must have been like in the past. There is also a small park next to the fort, along the canal, which has just enough trees to provide some much needed shade.  the fort is not that impressive but its on the way to Wat Saket. Relaxing park. Beware of local guys, they look friendly but they try you to spend money. You can not climb the fort, but you can walk around the park created within the fort and walls. There are a lot of this little Forts painted in white around the inner city. Often surrounded with a beautiful park or garden. Nothing to see, nothing inside, just a nice place with some canons. Nice little area to walk around, well looked after. Was smaller than I thought though. Took us less than 5 mins to walk through. We saw a komodo dragonalligator looking creature having a swim. I enjoyed seeing this. Watch out for this beast.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","tourist_attraction, point_of_interest, establishment"
Alex Face Art,"948 Thanon Rama IV, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",No rating,13.7348786,100.5281129,,no operation time,"tourist_attraction, point_of_interest, establishment"
SEA LIFE Bangkok Ocean World,"ชั้น บี1-บี2 สยามพารากอน 991 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,13.7459351,100.5352057,"I recently visited Sea Life Aquarium in Bangkok, and it was an absolutely wonderful experience for kids and families alike. The aquarium features stunning natural tanks filled with a diverse array of fish and marine life, making it a captivating environment for young explorers.

The interior design is beautifully arranged, enhancing the overall experience with vibrant colors and engaging displays. The glass boat ride was a highlight, allowing us to glide through underwater tunnels surrounded by majestic sea creaturesan unforgettable way to connect with the marine world.

Additionally, the 5D movie experience was thrilling, immersing us in an interactive adventure that was both entertaining and educational. Overall, Sea Life Aquarium offers a fantastic day out for families, combining fun with learning in a breathtaking setting. Highly recommended! very beautiful, many species of marine life, children really enjoy it.
The shark tunnel was the highlight of my visit. It felt like I was transported to a vast ocean when I walked through the transparent tunnel, surrounded by countless sharks of all sizes. The shimmering lights created a magical atmosphere, making me feel like I was swimming alongside these gigantic creatures SEA LIFE Bangkok Ocean World is an extraordinary and highly recommended destination. The wide range of marine life on display is both stunning and captivating. Each section of the aquarium is wellorganized, making it easy to navigate and explore the various aquatic species. I was particularly impressed by how seamless the transitions between the different sections were. Another highlight for me was the 4D show, which added a fun and immersive experience to the visit. Overall, its a great place to enjoy and learn about marine life in a beautifully structured environment. Visiting SEA LIFE Bangkok with my young daughter was an exceptional experience. This aquarium offers a captivating adventure for children and adults alike. The variety of marine life on display is both extensive and impressive, featuring everything from vibrant fish and graceful rays to majestic sharks and playful sea turtles.

The exhibits are thoughtfully designed to be both educational and engaging, with interactive elements that are perfect for young kids. My daughter was particularly enchanted by the mesmerizing underwater tunnel, which provides a panoramic view of marine life swimming all around. The handson activities and touch pools added an extra layer of excitement and learning for her.

The facility is wellmaintained, and the staff are friendly and knowledgeable, enhancing the overall experience. SEA LIFE Bangkok's commitment to conservation and education is evident throughout, making it not only a fun day out but also a valuable learning opportunity for children.

For families visiting Bangkok, SEA LIFE Bangkok is a highly recommended destination. It offers a delightful and enriching experience that will leave both children and parents with lasting memories. Sea Life Bangkok Aquarium is a mustvisit place! Although the ticket price is a bit high at around 2,500 Baht per person, it is definitely worth spending. The experience starts with a fantastic 20minute 3D show, complete with moving chairs that give you a reallife feeling.

After the show, you can explore the aquarium, which features an incredible variety of sea creatures. From sharks to stingrays, jellyfish to sea snakes, you can see it all up close. You can also enjoy popcorn and Coke, and there's even a free photo opportunity.

One tip I highly recommend buying your tickets in advance, as they dont accept cash at the entrance. It's best to purchase your tickets at least a day before your visit to avoid any hassle.

Overall, Sea Life Bangkok Aquarium offers an amazing and immersive experience for visitors of all ages.","Monday: 10:00 AM – 8:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM
Sunday: 10:00 AM – 8:00 PM","aquarium, tourist_attraction, point_of_interest, establishment"
Asiatique Sky,"2194 Charoen Krung Road, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",4.4,13.7052689,100.5031826,"It's an upscale open market for goodies and souvenirs. Good ambience, average food that you can get anywhere else in Bangkok. Worth a onetime visit though and easily accessible through express boat service on Chao Phraya river 500baht per person. Worth the money for us as tourist. Not sure about the citizen as not much people are queueing up except for tourist. Maybe it is considered pricey to them. 3 rounds only, maybe around 15mins20mins? I took free shuttle boat from Sathorn Pier. And prior that I took BTS to Saphan Taksin BTS Station. Around 5mins walking. No escalator or lift. Only flight of stairs. So travel light please. Boat is every 30mins. 4pm till 1130pm. Please spend some time here. We regret not spending much time due to the crankiness of our kid. But as for you, please spend at least 2 or 3 hours. Lots to see and try! Great place to eat beautiful food as there's plenty of restaurants
Clothing outlets, souvenir shops,
Boat cruises
Kids will enjoy Really nice place to visit. Price for the ferry wheel ride is a bit too much. It was 500 baht per person for just 15 minutes 3 rounds. But the experience is amazing.  It was a very enjoyable experience, though there wasn't an overwhelming amount to do. I'd recommend pairing it with another activity. It's a bit pricey but worth it overall. I'd visit again, but I'd prioritize other attractions in Bangkok.","Monday: 4:00 PM – 12:00 AM
Tuesday: 4:00 PM – 12:00 AM
Wednesday: 4:00 PM – 12:00 AM
Thursday: 4:00 PM – 12:00 AM
Friday: 4:00 PM – 12:00 AM
Saturday: 3:00 PM – 12:00 AM
Sunday: 3:00 PM – 12:00 AM","tourist_attraction, point_of_interest, establishment"
Bangkok World,"203 Thanon Suan Sayam, คันนายาว Khet Khan Na Yao, Krung Thep Maha Nakhon 10230, Thailand",4.5,13.8053114,100.6923497,"I went here primarily for the Siam Amazing Waterpark and didn't expect this place to exist. It's a really nice space with replicas of some iconic Bangkok sites like the Giant Swing and Democracy Monument. There is an area called Chinatown with old Chinese inspired architecture. They also have a big food hall with dinosaur statues. It's sort of like a theme park for Bangkok. It was not very busy and felt a bit empty, so I'm not sure when the best time to come is. I visited on 28 Dec Thurs. I think this place has huge potential to be amazing. Obviously a lot of money and effort has been invested here and it looks great. I hope more people will visit more often to create the vibrant atmosphere it needs. Entry to this area is free, the ticket booth is for Siam Amazing Park. Super empty. I couldn't find any shop opened at all.

The cafeteria was pretty much dead too  only a food stall and a drink corner were opened.

Very sad to see a huge amount of investment spent to build a ghost town. Log Flume was by far the best ride and different to any I had been on before. However many rides in the amusement park were closed or not operational. However there was many short queue which was a bonus. The water park was a major let down. 23 of slides closed and not able to use, for the wave pool they didnt even turn on the wave machine and when it claims the title of largest in the world youd think they would actually use it? Pool was also filthy and hadnt been cleaned in a long time. Bangkok World, an ambitious project slated to become one of the city's premier entertainment and leisure destinations, promises a worldclass experience like no other. Nestled in the heart of the bustling metropolis, this upcoming development aims to redefine the city's skyline and captivate visitors with its grandeur and innovation.

Spanning a vast expanse of land, Bangkok World boasts an impressive array of attractions, including luxury hotels, upscale shopping malls, dazzling entertainment venues, and iconic landmarks. From highend boutiques to gourmet restaurants, there's something to cater to every taste and preference.

But what truly sets Bangkok World apart is its commitment to sustainability and environmental stewardship. With green spaces, ecofriendly architecture, and innovative energysaving initiatives, the development strives to harmonize with its surroundings while minimizing its ecological footprint.

As Bangkok's newest urban destination, Bangkok World holds the promise of endless possibilities and unforgettable experiences. Whether you're a discerning traveler, a savvy shopper, or simply seeking a taste of luxury and excitement, a visit to Bangkok World is sure to leave a lasting impression and create memories to cherish for a lifetime. very beautiful at night,clean, lot parking,must visit once","Monday: 11:00 AM – 7:00 PM
Tuesday: 11:00 AM – 7:00 PM
Wednesday: 11:00 AM – 7:00 PM
Thursday: 11:00 AM – 7:00 PM
Friday: 11:00 AM – 7:00 PM
Saturday: 11:00 AM – 7:00 PM
Sunday: 11:00 AM – 7:00 PM","tourist_attraction, point_of_interest, establishment"
