이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
The Central Park North,"137 W 111th St, New York, NY 10026, USA",3.9,40.7997535,-73.9536023,"Shower was really back. There was not enough pressure on the shower and it seemed a bath room from 1975. Location wise it is not bad but once youre there you may find yourself in a little catchy area. Its not the best of the neighbourhoods even though its right next to the Central Park A great option for someone who wants to stay in Manhattan for a fair price. Each floor is accessible by stairs and there is a shared bathroom and shower on each level.

The cleaning service was consistent so all the amenities were kept clean. The rooms have everything you could need for a pleasant stay and the building itself holds lots of New York charm! Really lovely staff, nice rooms and nice bathrooms. The shared bathroom thing was not an issue, and they were very clean. The location isn't the most ideal it's bordering on East Harlem, which can get a bit sketchy, but a great deal for a place in manhattan. If you're parking in East Harlem to avoid the street parking they offer, I recommend ubering instead of doing the walk with your luggage.

Would definitely come back again though! Lots of TV channels, nice little kitchen area and the beds were clean and comfy. Absolutely not a safe area! A half a block to the east was the most unsafe corner we were at for the entirety of a week exploring nearly every part of NYC. The space is comparable to a motel. Very basic hotel type room except that we chose a larger room with more beds. The room was incredibly hot when we arrived and the halls and bathrooms were hot the whole stay. Theres mold or mildew in the room that caused us bad headaches and other horrible allergy symptoms from the moment we arrived at the room each day. The beds and furniture are incredible cheap, drawers were broken, scratched or wouldnt even open. The cheap metal beds had completely ruined the hardwood floors which is a shame. The beds were very uncomfortable and the pillows were awful and flat. The internet was slow. Sharing bathrooms was totally fine except for a certain hour each day, which is totally understandable and we worked around it. However, theres nowhere to even rinse a spoon off during that time and the bathrooms werent kept stocked with paper towels and ran out of toilet paper due to the amount of people using them. We didnt ask for room service, but their instructions contradicted themselves, so they chose to enter our room certain days but didnt leave the basics they took and could see we used like washcloths, coffee, creamer, etc. The noise level of other guests and staff in the hall specifically was ridiculous. The amount of street noise was to be expected, but for sure way too loud at times and could be avoided with better insulation, double pane windows. Our door didnt close all the way and they had our lock screwed open on the handle.
Their staff wasnt barely friendly. Theres no way to contact them except email unless youre in the building between 10 and 6, why bother?

A few things that would have made my review 4 stars
Put a shelf in the bathroom for our clothing so it doesnt get drenched by the shower with the tiny cloth curtain that sprays all over the floor no matter what you do.
Provide a trash in the shower room.
Fix the doors so they actually close and are safe.
Replace the doorknobs, simple cheap fix so theyre safe and not so cheap and wobbly.
Replace the toilet paper holder or tighten it, just tacky.
Provide a wash basin at the very least. How do we rinse dishes?
Upgrade your internet.
Put casters under the furniture to save those gorgeous floors.
Be quieter in the hallway.
Provide the basics, coffee and supplies every day, paper towels in the room, and enough towels when you take ours that are hanging up which you said you wouldnt do.
Lastly, get rid of the mold and mildew. Im personally never this sick from exposure to it.   We didnt have these same breathing issues in the subway we do from your room. Its on a cute street super close to Central Park, which is convenient for walking and taking public transit. The mold issue in the building needs to be addressed. Simple upgrades would go a long way toward actual comfort for guests too. Loved the NYC true apartment feel and charm of the outside of the building.","Monday: 10:00 AM – 6:00 PM
Tuesday: 10:00 AM – 6:00 PM
Wednesday: 10:00 AM – 6:00 PM
Thursday: 10:00 AM – 6:00 PM
Friday: 10:00 AM – 6:00 PM
Saturday: 10:00 AM – 6:00 PM
Sunday: 10:00 AM – 6:00 PM","lodging, point_of_interest, establishment"
Hampton Inn Ridgefield Park,"100 US-46, Ridgefield Park, NJ 07660, USA",3.8,40.8447094,-74.0148318,"great stay. nicely located. rooms were updated and clean. hot breakfast was yummy. absolute best part of our stay was front desk agent Fred! I can tell Fred is genuinely dedicated to helping people and cares about making sure you have a great stay. thank you Fred!! My biggest complaint was no hot water. We changed rooms twice and lukewarm was as good as it got. Rooms were actually very clean though. I basically waited an hour for maintenance at like 11pm for the water situation only to be changed rooms with no additional hot water in the next room.

Additionally, they allow people smoking weed in the parking lot at 1011pm and then their children were so loud that multiple people requested a new room on a new floor. I was pleasantly surprised with this stay! We did the park and ride for the Manhattan Port for our cruise. The rooms were clean, there is a small pool and fitness center and included breakfast. In addition the bus to and from the port was very very easy. I was worried from other reviews but I have no idea what their problem was because we had no issues. Be on time and youll be fine. The staff were friendly. We had 3 people and 5 pieces of luggage no problem at all. We did indicate there was 3 people not 2 when we booked where it indicated and we literally had no problems. I will 100 book this again for any cruise going from Manhattan it was cost effective and again very easy to get to and from the dock. If youre leaving for a cruise I would do this vs parking near the port so much less stressful! One downside is the turn to get into the hotel is hard because of the highway merge.

Disclaimer my brothers car emblem was stolen off his car while it was parked in the hotel lot no one elses car was vandalized. Im not taking a star away because this can happen anywhere but do keep this in mind its not monitored so park at your own risk. The hotel did not compensate him nor did we expect them to We stayed one night. The problems 1, the sink and shower both had no water pressure , only a little water, and the water was not warm.
2, All the juices at breakfast were watered down and tasted very weird.
There was more water in the juice than in the shower!.
Never go again there. We stayed here for the Park and Go Cruise Package.

Pros the shuttle service was very efficient and easy. The hotel rented a larger charter bus so there was plenty of space for everyone and their luggage. Loading at the hotel was very easy, getting our luggage at the port was very efficient. When we returned the bus was waiting and again, was very easy to get back to the hotel.

The breakfast was wellstocked not a ton of options, but what was there was plentiful.

The room itself was nice and clean, the bed was quite comfortable.

Cons

Our car was vandalized while we were gone. Someone came and pried the emblems off the car and left very deep scratches. Yes there are signs up that ""absolve"" the hotel of any damage to your vehicle, but the front desk staff was not at all helpful even when we called the police to get a report for insurance purposes. Make sure to park directly adjacent to the building. I'm not sure if it would have helped, but we were in the outer row.

Getting into the hotel is a nightmare. I read the reviews ahead of time and thought 'it can't be that bad'. It is. The traffic to get off on the exit backs up half a mile and it took us 20 minutes to go that last little bit. Just be prepared.

Food and drink options are minimal nothing really in driving distance, particularly given the traffic mentioned above. We were able to get door dash eventually high fee for delivery, however there was no option to get any sort of alcoholic beverage. Also keep in mind that once you are on the turnpike there are few options as well. I would prepare ahead of time and stop at a grocery store or food place before arrival.

The rooms on the side of the hotel near the highway are VERY loud road noise even late at night. Recommend requesting a room on the south side of the building.


Prior to our car being vandalized we had felt certain we would stay at this hotel again if we were going to be taking another cruise, but i'm not sure where we land now.",no operation time,"lodging, point_of_interest, establishment"
Hotel Executive Suites,"30 Minue St, Carteret, NJ 07008, USA",3.4,40.5906024,-74.2388923,"Worst customer service ever!!!
We checked out at 1030am and forgot a pouch in the washroom. We called at 2pm to inquire about it and they told us to call back. We called back at 8pm and the lady was soooo unprofessional. She wasn't even checking the lost amd found. And kept on saying that we should call tomorrow. Apparently, they don't have any procedure if a customer forgets something in the room.

Beware. No one should go there!! Two stars is kind.  Let me walk you through this hotel, it had a weird smell and the room smelled even weirder and I have never smelled whatever that was before.  There was a girl working the desk who was just kind of mean.  The furniture in the room was stained, the room didn't look dirty but felt dirty, I could be imagining that, it needs a good remodel.  The bed was super uncomfortable. The numbers for rooms in the hall were in a weird order, and there is a highway behind it so you hear driving all night. Was placed at this hotel after a canceled flight  it was close to the airport. The only restaurant on the premises was closed and not in use . There was a pantry with food items to purchase e.g. microwave meals, cakes, White Castle burgers, small ice creams, sodas 3 and water 2, unfortunately there was nothing complementary .  The room was fair , it was clean and the bed was comfortable. It needs much updating and was missing the modern conveniences. The lobby and the bathroom in the lobby were updated. The rooms were not. There was coffee and hot water for tea in the lobby . It is an older hotel and as I stated earlier it was offered after a cancellation so it was much better than spending the night at the airport. I stayed here recently and it was subpar. No matter how many people are in your room, theyll only give you two towels! The elevators and common areas had a constant smoke smell. FYI they only serve coffee in the morning. The rooms are pretty old and definitely need an update, especially the carpet. It's a decent place if you just need a basic hotel, but there are definitely some improvements needed. I recently stayed at the Executive Suites Hotel and was very impressed with the service. The front desk and housekeeping staff were both extremely efficient and responsive. The room was spotless and wellmaintained. Based on this experience, I will definitely be choosing this hotel for my future stays. Highly recommend!",no operation time,"lodging, point_of_interest, establishment"
Central Hotel,"415 38th St, Union City, NJ 07087, USA",3.6,40.774846,-74.0264488,"An excellent hotel that left us with the most pleasant impressions! The main advantage is that it is only 20 minutes from Manhattan, which is very convenient for those who want to enjoy New York without long trips. I would especially like to note the work of the administration. When it became necessary to extend our stay, and almost all the rooms were occupied, they met us halfway and found the best option. The rooms are cozy, equipped with everything you need the refrigerator and microwave became a real salvation. The reception staff is always polite and responsive, special thanks to Peter for his help and care! If you want to stay outside of Manhattan, it is a very good option. The treatment with the Hotel, from the beginning, was very good, they kept in constant friendly communication, even letting us know that the room was ready. We stayed in a very clean private room, with bathroom, microwave, refrigerator, AC, TV, hair dryer. We had doubts before visiting the place, especially because on other occasions we have stayed in Manhattan, but the truth is, we were very satisfied with the location, since it was very easy to get there and back, even in the early morning. They give you all the information if you have any questions, so that in 15 minutes, depending on traffic, you can go and come from the Hotel to the whereabouts of The Port Authority of New York in Manhattan, super easy. Oh and by the way, their candy vending machine saved us when we were craving snacks, very late. Thanks for everything! I feel very lucky I found this unique hotel as I was walking around Union City one day.   The staff was very welcoming and the location was steps away from buses to jersey city and NYC.
Coffee shops, restaurants and stores very near too.  But most of all was the kind staff, the clean rooms, the various options to stay there, and the other tenants I met were great people! Visit NYC with my son for the first time, and this hotel is well located a few minutes from manhattan. Simple and clean and the staff were so friendly and helpful. Stayed here for a couple days, and so far this hotel seems to not know what theyre doing. Maintenance is atrocious and they mess up everything they do. The guy painting the stairs managed to mess up installation of the stairs threads, as well as closing off the stairs which is a fire safety issue. If youre gonna do work hire competent contractors.",no operation time,"lodging, point_of_interest, establishment"
The Washington by LuxUrban,"8 Albany St, New York, NY 10006, USA",4,40.7093315,-74.0137607,"Pros location is great, customer service was attentive.
Cons room was run down, showed many signs of wear and tear as well as moldmildew in the shower. The shower was also visible from the room so any other guests staying with you could see you showering. On a very busy weekend only one elevator was working therefore getting down to check out was an incredible hassle as there are many floors in this hotel. Another issue was the temperature in the room. Although there was a thermostat, regardless of how much lower you changed the temperature the room would not get colder than 72 degrees which was warm for multiple adults in a small room getting ready for events. We called and someone was sent to fix it. It was not fixed. Would not stay again or recommend. We were slightly apprehensive of our booking given some of the reviews but very glad we stayed here. Can't beat the view, amazing location and cost compared to other big name hotel chains.
Our room was clean, the bed comfortable, and the shower water pressure was good. Our room had a combination safe for valuables, a mini fridge, and ample closet space.

I agree with other reviews that some areas could use some updating and minor maintenance. However, you don't vacation in New York to stay in the hotel room and we were out all day, so no big deal. The bathroom lighting does need to be brighter and there's not enough counter space. However, we found these to be minor things.

The front desk staff were friendly and helpful. We arrived late morning and Micayah sorry if I've mispelled! worked out an early checkin and room with a terrific view for us and she answered all of our questions. Housekeeping staff kept our room nice and tidy for our 5 day stay.

Overall we would stay at The Washington again when in New York. Just returned from a 5 day stay at this hotel. No complaints from us , the location is fantastic with views to die for day and night. Beds are super comfy with nice sheets.
Bathroom is a decent size, clean and a good shower.
Staff aren't very interested in the guests and more interested in looking at their phones.
We just wanted a place to put our heads down after a long day of site seeing and this hotel was ideal for that.
I would highly recommend it , the area around here is so peaceful to come back to on an evening. SCAM!!!
I had an extremely disappointing and frustrating experience The Washington Hotel that I feel compelled to share to warn others.

In May, I attempted to book a stay at this hotel through their website. Despite providing my credit card details, I never received any confirmation of the bookingno email, no booking number, nothing. Naturally, I assumed that the booking was unsuccessful.

Fast forward three months later, I noticed a significant charge of more than 1,000 on my credit card from this hotel. Shocked, I immediately contacted the hotel to request a refund, only to be informed that my nonrefundable reservation had been confirmed and also been cancelled obviously not on my side .

Whats even more concerning is that I only received a booking confirmation after I requested a refund. This delayed confirmation, sent three months after the supposed booking date, appears to be a tactic to justify keeping my money, despite their prior communication confirming the cancellation.

I had no choice but to book another hotel, as I couldnt rely on a reservation that was never properly communicated to me. The hotels refusal to issue a refund and their inconsistent, delayed responses have left me with no option but to file a dispute with my bank.

If you value transparent communication and ethical business practices, I strongly urge you to think twice before booking with this hotel. My experience has been nothing short of a scam, and I wouldnt want anyone else to go through the stress and financial loss that I have endured. This hotel is unfortunately falling apart. It was tolerable for our short 3 day stay but not very comfortable and lacking amenities
 Rooms are incredibly dim
 3 of our 5 lamps or lights were brokennot working
 House cleaning does not replenish toiletries, you have to ask when you run out of shampooconditioner
 TV and phone in the room did not work. If you need to speak to the front desk, you have to go all the way downstairs to do it in person.
 Walls full of scratches, scuff marks, peeling paint, broken blinds, loose wires and electric cables, etc
Shower has a glazed glass wall looking into the bedroom so everyone in the room can see the person showering this is insane

In my opinion it's not worth the price.",no operation time,"lodging, point_of_interest, establishment"
Pod 51,"230 E 51st St, New York, NY 10022, USA",4.1,40.7557851,-73.9690935,"Stayed for a couple of nights, felt I got what I expected. It's budget accommodation, there are some compromises in terms of room size, shared bathroom. But everything was clean and worked, staff were pleasant. Location is very good, which is the main reason for selection.  Was easily 100night cheaper than alternatives, as long as the value remains good, I'd happily stay again Perfect hotel for a NYC stay! Location is very convenient to subway, Rockefeller center, St Patrick's cathedral, Times square, not too far away. Nice selection of restaurants just steps away, rooms are just all you need for a comfortable stay! Rooftop views are amazing!! I think given its price, proximity to a few key train lines, good area food options, and the cleanliness of our room, it's a pretty good spot to stay. There was one glaring issue with our room that just boggles my mind and that is the combo bathroomshower glass sliding door coloration.
Imagine you're three people staying in a room with beds for three and the combo bathroomshower module has a sliding door with frosted glass and a static wall for the shower that's just...clear. How can anyone shower or drop a deuce without the others seeing it? Why not just frost the other glass, or run a curtain along the whole thing? It was a nutty choice of the hotel to design it this way. Very good location of the hotel in midtown Manhattan, from where after a long walk you can get to some of the most famous attractions of New York.
The hotel itself, despite the repainted walls, still remembers the bygone days. Unfortunately, the rooms look like prison cells. Very small area with bunk beds. If one wakes up in the night, one can shatter one's head. In this small space they still fit a sink in the room.
The view from the window of the buildings in very close proximity.
The lack of a bathroom is a disaster these days. A shared bathroom with a shower is on the first floor, which is also used by other guests.
The staff was unpleasant, as if they forgot that they are the ones living off the guests' money.
On the plus side, there's certainly a phenomenal rooftop view of the Manhattan skyline and a relatively low price for New York although I prefer to pay and sleep in human conditions.
In the hallway on our floor we twice encountered people sleeping on the floor !. Unfortunately left early because saw some cockroaches and couldnt stop thinking about it. One huge one on the AC, and small ones in shower two days in a row  the front desk person was so nice and came to save me and kill the giant cockroach, so thank you!

The room actually was quite clean so seeing then was surprising. Location also sooooo good and close to tons of great food and the subway.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
Carlton Arms Hotel,"160 E 25th St, New York, NY 10010, USA",4.1,40.7401607,-73.9826293,"We arrive at the hotel, we open the front door and immediately we feel that a very special atmosphere is hidden here.
A cuddly cat is lying in front of the first floor corridor, next to the reception area filled with all kinds of artistic oddities, he seems to be serenely surveying the place.
A more than cool manager gives us the key to our room which is located on the second floor, we go there without waiting.
The more I walk towards our room, the more I discover all kinds of paintings, each more intriguing than the other, and that's when I realize that this hotel can be visited unlike any other hotel I've ever been to. sleeping until now.
This place which gives off a completely perched atmosphere cannot in any way suit anyone who is looking for great comfort or who is obsessed with the slightest dirt.
In corridors worthy of squats, in those pharaonic ones, passing by common showers with door handles which hold by the operation of the Holy Spirit I already know that I will experience a unique and unforgettable moment between these four walls  A very quirky, unique old hotel. Located in a mall where a large university is. Lots of stairs to reception and rooms. The location is great as lots of bars and eateries close by. Not far from the underground so easy to get around. John at reception is a super lovely guy and very helpful. Great for a budget stay. I stayed there with some friends for a few days and loved the concept and staff, but hated that it was so dirty. We thought about changing hotel but our budget did not allow for a last minute change.
The curtains and carpets where terribly dusty and stained there was mold and bugs in the bathroom and I wont talk about the filthy shower curtain.
My throat was itchy every time I was in the bedroom. Special mention for the huge gaps around the doors that allowed us to perfectly hear our neighbor on the toilet

Its a shame because I had sympathy for this hotel. Its weird in a good way, very well located and cheap. Unfortunately its falling into disrepair. I booked a twin single occupant room with a shared bathroom and it went well! Definitely take the time to look through some of the pictures to see if youll be ok with the hotel. It came down to a good deal for me based on price, location, safety and availability. Shared bathroom was clean and the art was entertaining. They were flexible with my late arrival and have luggage storage. We checked in and left less than two hours later to a new hotel after what we had seen. Dont think its just a quirky artsy boutique hotel. The rooms are in really bad shape, they smell, doors dont always lock well, bathrooms dont look clean at all and are rusty in many places. The beds were all dirty and with stains, showing they had not been cleaned recently some still had pieces of tissues in between layers. The staff was nice and try to accommodate with different rooms, but they all had major issues that made us think that losing the first night costs and paying a new hotel, last minute, in NY, was still a better choice",no operation time,"lodging, point_of_interest, establishment"
Central Park West Hostel,"201 W 87th St, New York, NY 10024, USA",2.8,40.788641,-73.974811,"Its a scam property which must be unlisted from all reputable platform. worst rat hole ever i have ever stayed in my 15 years of frequent travelling experience. Dirty , unsafe and so uncomfortable rooms. Imagine you will not be provided with room keys and the staff will always go to unlock your room. Expired flattened mattress and shaking bed for uncomfortable sleep. Smelly dirty decades old smallest washroom. No facilities in hostel. No wifi signals beyond 1st floor. Worst arrogant staff having no answers to your complaints. Once thf hostel was without any staff for several hours in the early morning and a guest had no option to get to his room because he didn't have keys. There were no towels in whole hostel for 2 days. 2 person lift was so unsafe. No refund policy on cancellation despite fraud pictures on platform. Overall it was a nightmare and the property must be delisted to save others. Absolutely not. It looks NOTHING like the photos they have posted. Its literally worse than jail. Ive been to jail. This is way worse. No AC, dirty as hell, everything smells. They have t swept or mopped a floor in there since the 60s. Its the single worst building Ive ever been into in my life. The worst hostel I have been in.
They woke me up at 2.30 a.m. because they give me the wrong room. Then, they gave me another room, but there wasn't space for me, again. Finally they could find, after almost half an hour, a bed for me. They didn't give me sleeves and there wasn't a pillow. They woke up the other guest of the room and asked him about the pillow. No respect for the guests.

They promised me a refund, but nothing to do. They told me to wait the day after, I called them and they told me to wait a couple of weeks. After 1 year I still have't got my money back. Worst Hostel Ive ever been. They didnt have enough blankets for all the guests so we had to sleep with the jackets on because it was really cold.
There were cockroaches in the room, rooms were dirty, staff unhelpful but the worst part is that someone entered our room while we were outside and used our towels and pillows and left everything dirty. The staff did not help at all and did not compensate for anything. Awful experience The worst hostel ever! Im literally stayed outside over an hour freezing because nobody opened the door for me! After a long time someone showed up and opened it. I asked why that happened and they ignored me! I asked twice and they ignored my question. The rooms are terrible! Bathroom dirty!! And people smoke in the building and nobody does  anything about it! Im very mad! I booked this place last minute I wasnt expecting any good thing from this hostel but this place is wayyyy worst than I imagined","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
DoubleTree by Hilton Hotel Fort Lee - George Washington Bridge,"2117 Route 4 Eastbound, Fort Lee, NJ 07024, USA",3.8,40.8603103,-73.9768481,"It's too bad we can't give half stars, because I'd give this place a 3.5.

The staff is very good, very friendly and supportive, given the location they work in.

A few points
 the food at the restaurant is quite good, and the portions are quite large. The wait staff is also very good and exceptionally attentive. No complaints with that at all.

 the cookies are a nice touch. They're warm and pretty good. I don't feel so bad for them giving me diabetes because they're so tasty.

 the rooms are relatively clean, with the exception of the wall plugsusb outlets, which, for lack of a better way of explaining it, are hairy I've attached a picture. I almost feel my USB cord needs protection being plugged into this.

 the showers are terrible. The water pressure is as strong as cat piss. I've had better water pressure at a 20night hostel in Peru. The shower head looks like it hasn't been cleaned since the Obama administration, and it's starting to compete with Lady Liberty for deepest copper green... On top of that, the faucet is falling off.

 I forgot to bring a UV light, so couldn't check for stains, but the room looks pretty clean, and no major stinks or anything.

 the elevators sound like they're about to die. Not one of them, all of them. The sounds don't really inspire confidence going up.  Video attached, turn on the sound.

Hopefully the Hilton sees this and fixes these problems. If it helps, I was at room 1106 on October 8, 2024. Sam working the late night at the front desk was very helpful and apologetic and handled it well. He and the Latino hostwaiter at the restaurant older gentleman were the service highlight of the stay, give these guys raises, they're good people you should keep. My husband booked this room. Had I read the reviews, I would have never selected this hotel.
This hotel is exactly how the others describe it. Dated, dated, dated. The 80's called, they want their style back.
We were first put in a room that the ac was not working. We asked to switch and they did so without hesitation.
The second room, while spacious, it seemed clean, but looking at it closer, there were food crumbs on the floor next to the bed and sound of dripping water all night.
I am glad we were here just to catch some shut eye for a few hours before hitting the road again. I do not recommend this place. It needs a major overhaul.
The gentleman at the front desk was pleasant.
This hotel has definitely seen better days. The soundproofing is terrible. I could clearly hear conversations from the room next door and the constant sound of doors opening and closing all night long, which seriously disrupted my sleep. It was incredibly frustrating.

To add to the inconvenience, the hair conditioner was missing on the first day of my stay. I didnt realize it until I was already in the shower, which made the situation even worse. As a Diamond member, I expected a much better experience and attention to detail.

Hopefully, these issues get addressed for future guests. Disappointed with this stay overall.  Here were the issues I had
I picked out my room online when I checked in.  When I went to the counter to get a key, I was told that the room I selected wasn't available because it hadn't been cleaned yet.  It was 7pm.  Why was the room available as an option if it wasn't available?  So, I was put in a different room on the same floor.
AC  the AC stopped working 2 hours into my trip.  The room was 80 degrees when I got back from dinner.  They did send up someone from maintenance to ""fix"" it.  The fix was temporary.  The room was 80 degrees in the middle of the night again.
Shower  almost no water pressure.
The room did come with a refrigerator.  But the door you have to open to get into the fridge dragged along that carpet and was hard to open.
Location  although this isn't the fault of the hotel, beware.  It's located in one of those spots that you can't actually get to without driving past it multiple times.  It feels like you have to travel in a Z pattern to get to, repeatedly.
Staff was nice.  No free breakfast and no baggage carts located in the lobby.  Had to make multiple trips from car to room.  They do have a really nice restaurant in the lobby though.  So there's that.  Will not be staying here again. I stayed at your location in Fort Lee NJ. Friday 8232024 into 82424, just a one night stay but I'm happy it was only one night. The experience at your hotel well extremely embarrassing to the double tree name and even more for the amount you guys are charging per night. The basic needs of a hotel was barely met, staff was amazing I will get that out the way but the property itself should be closed for renovation. The AC unit not working longer than a few hours is ridiculous. Having to call your securitymaintenancehouse keeper ever few hours to rest set the system is ridiculous in the year 2024 along from us being in America vs a third world country. List of things that were extremely below budget such as the doors to the furniture lose and uneven. The security door latch not screwed in fully, the toilet seat being lose, using would to balance the furniture in the room but not taking the time to hide it made me feel as though i was in a motel. Now this hotel being a place to just sleep on date night we dealt with the disrespect only staying a totally of fee hours.",no operation time,"lodging, point_of_interest, establishment"
WoodSpring Suites Linden,"1920 E Linden Ave, Linden, NJ 07036, USA",3.2,40.6454467,-74.2326202,"burn hole in the sheets, water faucet in tub falling off  no hot water. The T.V remote was broken. I did ask to switch rooms, I was accommodated with, yet it wasnt much better than the last, atleast the remote worked. then to top it off i was woken up in the A.M to women screaming that your employee was sleeping with there husband! while at work! i have it on video as every one on the floor woke up and stuck there heads out to see whats goin on. I paid for a hotel experience but got the a low rated motel experience. the rooms seemed clean though. I arrived at the hotel at around 730 p.m. to find out that the hotel has canceled my reservation without even calling me. They were sold out. This people are so unprofessional and greedy. They do not care about customer service. They run my credit card even though they advertise themselves as reserve now pay at the property. I will not recommend this place to anyone. They are disgusting and not safe. There was dirty linen right on top of the front desk, and there were several guys smoking weed on their premises. If you want to be okay, do not stay at this terrible place. Dear Mark Kaylor,
I am writing to formally lodge a complaint regarding the service I received during my stay at your hotel, WoodSpring Suites in Linden, NJ, on August 17, 2024.

I arrived at the hotel at 1005 AM after having been checked in over the phone the night before for my prepaid reservation. Upon arrival, I had to wait until 1115 AM for the front desk agent, Danny, to finally show up. When he did, he completely disregarded my presence, prioritizing his food delivery before acknowledging me. When he finally addressed me, it was with a dismissive ""How can I help you?"" He then proceeded to handle my request for a room key without verifying my identity, which is concerning from a security standpoint.

Unfortunately, the key card provided did not work. After two unsuccessful trips back to the front desk to resolve the issue, I was told to come back down instead of being offered the courtesy of having a key brought to me. When Danny finally agreed to accompany me to my room, I was left waiting by the elevator for several minutes, only to find him eating again when I returned to the front desk to check on the delay.

When Danny and a female staff member finally arrived at my room, they discovered that the door batteries were dead. Despite their efforts, they were unable to fix the door or provide me with a working key or an alternative room. It has now been 40  minutes since this ordeal began, and I still do not have access to my room.

This entire experience has left me extremely agitated and stressed at a time when I should be able to rest and enjoy my stay. The lack of professionalism, hospitality, and basic customer service is unacceptable.

I think it is fair to receive a resolution to this matter, including appropriate compensation for the inconvenience and stress caused.

Thank you for your understanding

Sincerely,
Daniel A
My stay continued

I was in room 332 which I found out was a known problem room with its lock.   Front desk didn't bring me up a key they were going to change my room.  Front desk said they can't leave the desk as the reason for not bringing me my key or escourt me to my new room.   There where 3 people at the desk.  The next two rooms was locked and occupied.... it took me 5 tries to get  a room with a key that works and the staff was more than happy to have me keep going up and down unsuccessfully.  It seemed like they were enjoying being obstinate and not helpful.   I was the only race getting this treatment the other two men in the lobby were treated great while I was getting attitude.

I have never been treated like this ever at a hotel. I came here because my flight was cancelled and needed a place to stay.  Took a lyft from the terminal and it was 25. Really nothing around here and the hotel is fairly austere. The staff was very nice and coming in at midnight, they were busy as they reached capacity.  I stayed in a room with kitchen. But, there is no breakfast, no coffee, basically only ameneites is soap and towels. There is really nothing around the hotel for food, closest restaurant seems to be a 10 minute walk. But, it was the least expensive option in the area in the middle of the night, so i am grateful to stay here. My experience with this hotel was trouble, I had call ahead to book the room the same day around 9pm, but when I arrived at 1100pm they waited until I check in and paid for the room to tell me I had to wait an hour so they can clean my room. The woman that was at the counter was very unpleasant and unprofessional. When I got to the room, they had not changed some pillows case on the pillows.  Very disappointing after waiting on my room to be cleaned. Don't get me wrong the rooms are very nice.",no operation time,"lodging, point_of_interest, establishment"
