이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
The OneFive Osaka Namba Dotonbori,"2-13 Souemonchō, Chuo Ward, Osaka, 542-0084, Japan",3.5,34.669702,135.5049396,"Located deep in the heart of the crazy Dotonbori district with a very short walk to the famous sign and bridge. That ends the positive portion of the review.

The entire hotel smells like 50 years of cigarette smoke, even though it is a nonsmoking hotel. The rooms are Motel 6 quality with no amenities or services of any kind. No ice, no water and the staff is borderline hostile. Bed was extremely uncomfortable, 2 total pillows provided, and the AC made lots of strange noises. The bathroom was like they put a bathroom from a train in it with a nice little 4 inch step over that you will stub your tow on during your uncomfortable stay.

Worst part, no secure luggage storage. If you check out or arrive early and want to store your bags they leave them in an unlocked room int the lobby, fully visible to anyone that happens in the hotel.

Only stay at this hotel if you plan on getting totally drunk at the local bars and pass out without having to walk far. Whoever read my review about this Hotel.
You should never book this hotel.

1. Full of Pee smell in whole room.
 Room, Bed, Toilet, Closet, everything.
 If you sleep in this room, your body and hair will be the same.

2. Extremely small room.
 there is no spaces for open baggages.

3. You can sleep with big noisy.. windows are not soundproof.

4. Prostitution shops are so near by, and working people nearby too.

Only the thing that i can recommand you is the cheap price. Restaurant was closed. You can only sit in the hotel room, so low comfort. Small room. But, its located near 711, near the heart on Dotonbori, and we managed to book 3 rooms for 6 family members 2 went in each room. Good availability. Worst hotel experience . First impression of the room smelled like a bar. Foul smells of cigarettes and other unidentified odors hit you in the face like a pile of bricks. Also, AC did not work at all so the shoebox room was literally a 98 degree oven. The front desk person came in the room and sprayed air freshener and left. I finally became fed up and asked for an exchange after enduring 5 minutes of pain and was greeted by a cheeky manager who laughed indicating that the room was already used, literally after 10 mins of walking into the room. Overall, 1 out 10 across the board. Only thing this hotel had was location, but full of employees who do not care. Asked for refund, and guess what they refused. The 20 year old manager thought everything was hilarious, kept laughing throughout the entire process. Super insulting... I dont know why there are so many bad reviews. The room is small but thats most Japan hotel rooms apart from that there really wasnt anything to complain about. Its in the absolute heart of the entertainment district, easy to walk everywhere, 10min or so walk from Namba station, it was pretty loud on the street but the sound proofing was good, easy check in and out, amenities available in the lobby toothbrushespaste, hair brushes, hair ties, slippers, robes, cotton buds, body sponges, cotton rounds, probably other things Im forgetting, comfy enough bed. No tea, coffee or water bottles provided in the rooms but I always see that as an extra bonus anyway. Very clean and nice!",no operation time,"lodging, point_of_interest, establishment"
Hotel Keihan Yodoyabashi,"2-chōme-4-6 Kitahama, Chuo Ward, Osaka, 541-0041, Japan",4.1,34.6911923,135.5048505,"Nice clean hotel, in a great spot in the city, removed from any major roads so it's nice and quiet. It has easy access to the Osaka metro, so you're never more than 20 minutes from some amazing part of Osaka. The hotel itself looks good, with a clean and spacious lobby. The staff are very helpful as well. I only gave 4 stars for Service because the laundry machines are awful  the rest is great. We liked the location of the hotel, the bathroom, amenities and the support we received from the front desk. Special appreciation to Izuwan I think I'm spelling his name correctly for swiftly fixing the issues we had with our toilet. Honestly, the double room is ideal only for two people with a maximum of two suitcases and two bags. The hotel shouldn't be accepting family with kids in this room type. There's no space to walk around when you need that child bed and have three or four pieces of luggage.  Additionally, the aircon inlet and room exhaust on the ceiling near the entrance were dusty. Centrally located in Osaka, close to several Metro Stations and tourist locations. Hotel is very clean, comfortable. Great service. Breakfast buffet is really good as well. Will stay again in a future visit to Osaka. stayed here for 3 nights. During check in, there were a few miscalculations in the front desk. It took roughly 30 minutes to recalculate. We checked in at 3 they start checking guests in at 3 and got into our rooms at 330 ish.

Upon check in, we got to pick our own complimentary beverages, 1 for each guest staying. I only got water bcs i didnt wanna get dehydrated from the summer heat. Beside the fridge, exists the amenities bar, where we can get any amenities at any quantity.

breakfast was DELICIOUS. i ended up refilling 3x!!  breakfast truly exceeded my expectations!!

Room was okay, average size for japan If you're looking for a budget friendly hotel that provides all the basic needs, this is one of the perfect options for you. Don't hesitate if you have more expensive options. Details are below or above, I wrote some more before this main one.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
DOYANEN HOTELS YAMATO,"2-chōme-2-3 Haginochaya, Nishinari Ward, Osaka, 557-0004, Japan",4.0,34.6457771,135.5019794,"Rooms were fairly cramped and no ensuite bathroom, but not really that big of a problem. 3rd floor has a women's only shower room. The area seems kinda rough, and we got a lot of stares whenever we were in the area. Otherwise, pretty decent place to stay for cheap in Osaka, given that you're more focused on being anywhere but the hotel. We arrived late so we did the selfcheck in and it was very smooth we just informed them in advance and theyve sent us instructions through email. The neighborhood is PEACEFUL and just a 5min walk from DobutsuenMae Station Exit 9. We stayed on the 6th floor in which you will be taking a flight of stairs after the lift but our room is dainty and it is spacious enough to fit our 4 luggages. Although the toilet is sharing, the room has shower and its clean with shampoo, body soap and conditioner provided. And like what Ive read from other reviews, the wall is really thin and you can hear the other room talking but it was quiet at night. Overall, we enjoyed our 3 nights stay in the hotel and we got it for a good price as they offered discount for 3 or more nights stay. Location  quiet area with lot of seniors drunk homeless?? 58mins near Dobutsuen Mae station and Shin imamiya station.

You can also walk going to Tsukenkaku Tower, it will take you 15 mins to go there.

Rooms  Its good for its price. The sheets are clean. As for the space, you will have a hard time opening your luggages, the room is best for backpackers. N they don't provide coffee but they do provide washing machine, dryer will be 100yen... The man toilet on level 4 is  totally disgusting, they really need a mega renovation on it....

Take note as that the staffs will not be there all the time but they are friendly

The rooms are not sound proof, there 1 night with some Japanese students chatting n laughing loudly away in the middle of the night till early morning n U could hear it ..

Personally with the price paid, I would recommend other guest houses like the Sunplaza nearby which charge almost the same price n much comfortable there Very affordable and near DobutsuenMae Station wherein from which you can basically go to any place you like using the metro.  The rooms are surprisingly spacious for the price you pay and its very convenient to check in and check out. Like what other reviewers said, this place is a dormitory not a hotel! I stayed overnight and just could not sleep the whole evening.

No toilets in each rooms. If you need to pee or have menstruation you have to go out of your room, walk the stairs, which is not safe for girls and the elderly.
They only have darkold towels. Even the cheapest inns in Japan have pajamas and clean towels.
Thin walls allowing for constant noise, especially in the communal living room where people talk overnight. You can hear your neighbors cough and swallow their saliva  Not joking 
No staff at night, and the location is dangerous and dirty.

Overall, disappointing place to stay in Osaka. Dont expect improvements despite managements promises.","Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM","lodging, point_of_interest, establishment"
CHISUN STANDARD Osaka Shin-Imamiya,"1-chōme-2-23 Hanazonokita, Nishinari Ward, Osaka, 557-0016, Japan",4.0,34.6496834,135.4997446,"Staff are nice and helpful. Convenient location and direct train 970 from Osaka Airport to the hotel located at station .  Station has elevator and is just opposite to the hotel by 3min on foot.  JR Station is the nearest to the hotel, and Metro Line is not far, around 10min walking distance.  Though the room is facing to the railway, but the window shield is good, merely heard the noise in night time or early morning. Hotel provides free coffee from 12002400 on 2F restaurant, taste is unexpectedly good.  We have stayed in this hotel second time, for sure, will choose this hotel every time when we travel to Osaka. Generally satisfied as it is located near to the JR Nankai station where it is easily accessed to the Kansai International airline. We are being given on 11th floor room, so wasn't being affected by the noise of the train. PS It is good also to know the different side of Japan. The 2nd level of 2 bedrooms are okay . However , its always in a Noisy conditionthe train and crowded of young people. They always yell and also play till midnights or even 23 in the morning.

Besides , theres only 2 washing machines for all the guests . Every washing time at least 80 minutes including dry the clothes . Therefore you need to wait for another day when other tourists are out or even give up using it .
My plan included breakfast . The breakfast are on the average. Just checked in to this hotel for 4 nights stay. First the reception gave me 2 rooms instead of the 3 rooms I booked and paid for already through Agoda. The rooms are nothing like the pictures. The carpet is really really old. The whole room feels and looks old. Too many young guests staying here and partying in one anothers room, making the corridor really really noisy. And the lifts stop at multiple floors all the time because the youngsters keep going to one anothers rooms. You definitely can hear the train from the room, thats why they provide ear plugs in the lobby for you to use. There is no hair dryer in my room and when I went to the reception to ask for one, the reception went into the back room to take one out but he told me hell send it to my room instead of just passing it to me in the spot. So, I had to go back to my room to wait for him and cant take a shower yet. Its very near the train station but the neighbourhood feels messy with too many rowdy foreigners. Its my 7th time in Osaka and this is the worst hotel and service Id experienced. Do not stay here if you can. Hotel is unable to reply to a simple email. Being trying to get a response from them for a week after leaving an item of clothing in the room. I even wrote to them in Japanese!

The rooms are small but fine. The hotel is right next to the railway so you can hear trains from 6am until midnight. If youre a light sleeper it might interrupt you. The hotel is situated next to what looks like a dumping ground for junk some referred to it as a homeless area except I didnt see any homeless people, just piles of junk.

Breakfast is basically dinner which is fine for some I guess but not really for Europeans. Personally I dont want fried chicken and rice at 7am. The only alternative was tiny croissants and jam. The coffee might be free but its not nice at all so you wont end up drinking it.",no operation time,"lodging, point_of_interest, establishment"
Onyado Nono Namba,"1-chōme-4-18 Nipponbashi, Chuo Ward, Osaka, 542-0073, Japan",4.3,34.667985,135.506326,"I recently stayed and had a wonderful experience. The room was good, providing a comfortable stay. A unique aspect of this hotel is that you have to remove your shoes at the lobby and store them in a locker, which adds to the authentic experience.

The entire hotel features tatami surfaces, giving it a traditional Japanese feel. The natural water bath was a highlight, offering a relaxing and rejuvenating experience. The breakfast was Japanese and excellent, providing a delicious taste of Japan that we truly loved.

Overall, this hotel offers an authentic and enjoyable Japanese experience with its traditional touches and excellent amenities. This was an amazing place! The onsen was fantastic, and my son absolutely loved the experience. The entire atmosphere was relaxing, and it provided a perfect break from the busy city. We left feeling refreshed and grateful for the rest. Highly recommend for anyone looking for a great onsen experience in Namba. Overall, it is an outdated hotel in a good location. It is very close the train station and dotonburi. Location is the only good thing about this place.

We booked this hotel via chase travel portal. Apparently, the hotel charges extra for room cleaning which was not noted when we made the booking. Guests were expected to leave  the trash outside of their room daily, but the hotel did not provide additional trash bags.. in the morning, the hotel hallway looks like a war zone with all the garbage bags and used pajamas laying in around.

The walls are super thin and the wall paper was peeling. We were on the 10th floor and I can still hear the traffic all the time. House cleaning starts around 9am and I can hear the vacuum loud and clear in my room.

We booked a king bed. It was actually two beds put together it was very uncomfortable to sleep on it.

The socalled welcome beverage was just a coffeetea container for self serving at the lobby. The hotel breakfast was 2300yen per person but the food was kinda not so great. There are much better breakfast options nearby for the same or less cost. The service was subpar and unorganized. It did not meet my expectations for Japanese hospitality. Words cannot express how much we loved this place. This was our favorite stay in our entire month long trip in Japan.
Rooms were great and spacious
Onsen was amazing, best one we visited in Japan.
The service was great
They helped save my life when I had a peanut allergy and one of the employees stayed in the ambulance to help translate all of the needed info
We are visiting this place every time we come back to Japan 11 out of 10 best place ever Best stay in Japan for me. Great value and even better stay. Located near to kintetsu nippombashi station. Lots of food and convenient store is nearby. Bright and comfy room. Everything was good. I stayed here because of the breakfast buffet and I want to go back again. I love walking around the hotel with no shoes cause it feels like home away from home.",no operation time,"lodging, point_of_interest, establishment"
The Stay Osaka Shinsaibashi,"Japan, 〒542-0082 Osaka, Chuo Ward, Shimanouchi, 1-chōme−14−２９ THE STAY OSAKA 心斎橋",4.4,34.6733082,135.5077602,"I was dreading staying in a hostel during my trip to Japan, but decided to go ahead and force myself to do it because of the low cost. WOW! I couldnt be more impressed. I could have stayed here my entire trip. The staff is friendly, everything is exceptionally clean, its incredibly private I barely even saw anyone in the bathrooms my entire stay and best of all, the beds are so spacious, efficient, and have a privacy screen. The common area is beautiful and makes you actually want to relax there. There are so many different travelers, its all an exceptional experience. Plus, the location is great. A hostelstyled place with a very big smiled and helpful staffs. We stayed in a family room which was big enough to open your luggage flat on the floor. Clean room with a little cigarette smell in the elevator. The kitchen and living area are spacious and equipped with enough kitchen ware. Its location is very close to one metro line I had a great stay here. The place was nice, with a big kitchen that made it easy to cook meals. The staff were friendly and always willing to help. The location was also perfect being just a short walk to the Tomdori River Walk and the main markets. Plus, the subway station is only a few minutes away, which made getting around the city super convenient. I definitely recommend this hostel if youre visiting Osaka! Im an experienced traveller and The Stay in Shinsaibashi is a standout travellers hotel.

Its incredibly clean, efficient, comfortable and wellrun. The hotel offers customers nice touches such as a free umbrellas to borrow for rainy days, excellent shower products. Security is also strong.

The location is great, price very competitive and atmosphere among guests quiet and respectful. They had a nice kitchen you could use. The staff was really friendly and we could do takoyaki for free on an event. In the dorm it was very quiet and all the guests were respectful",no operation time,"lodging, point_of_interest, establishment"
DOYANEN HOTELS BAKURO,"2-chōme-8-12 Haginochaya, Nishinari Ward, Osaka, 557-0004, Japan",4.6,34.6465589,135.4995885,"I would not recommend you to book this hotel if you are looking for a clean and friendly area. The area where the hotel was located is pretty old, and the street near the hotel are full of garbage and homeless people. Those are not even the biggest problem. One day morning when my group is walking to the subway station, there was a man who show middle finger to us I cant just ignore it so I show it back. But honestly after I did it, I was a bit worried about the man will start a fight, but thankfully he didnt have the courageous to do so. However this is definitely not welcoming and made me feel  unsafe. By the way we are traveling in a group of three and are all female, which made us feel even more uncomfortable with the location

The hotel room is a bit tiny, we dont really have place to open our luggage, but it wasnt a big deal. And I wish the room can be cleaner though, because there was a lot of dust on the bed board that is not covered by the mattress. Although we dont see the staff of the hotels often since they are only at the front desk for a short period of time but they are nice people and have good attitude. We booked this for a group of 4, and the value for money is the first reason why we chose this hotel. Its comfortable and of a pretty decent size. The location is also a stone's throw away from one of the train stations going to Namba, which is really convenient. Speaking of the location, I know many of you are curious about the ""safety"" issues mentioned in a lot of reviews here. Lets put things into perspective. I can understand why some people may find it looks ""unsafe"" because there are some homeless people around the area however, it always depends on what you consider unsafe. My friends and I come from a country where unsafe means you are really in danger, like crimes and those kinds of stuff, but I am telling you, this area isnt like that. We never felt unsafe, and there was no reason for us to feel that when we were there. My advice is if homeless people or just a regular residential area will make you feel uncomfortable, then dont book it. But if youre okay with staying in an area with real residential life, then give this place a chance. The hotel was fine but the noise of the trains starting at 5 am make it impossible to have a good sleep, even worst if you travel with kids. Great hotel. It is well kept, clean, modern, with spacious rooms. Service is great and staff is super friendly. You can tell the owner takes pride in their business.

Although it is in a poorer area, it is close to the Osaka morning market and subway.

The lobby is nice, with a bar, and sitting areas. There is both an inside dining area, and some caf tables in a small private courtyard. They also have convenient laundry facilities. everything was perfect! Friendly english speaking staff. Everything was clean.","Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM","lodging, point_of_interest, establishment"
BESTIE by DOYANEN,"1-chōme-14-17 Haginochaya, Nishinari Ward, Osaka, 557-0004, Japan",4.3,34.647616,135.5021486,"I had a fantastic stay at this hotel in Osaka for 4 nights. All the major attractions were so close and easily accessible. The room was wellequipped with a big TV, big windows which I love to see the sun and a small fridge for storing food, fresh towels, and fast WiFi. The bed was incredibly comfortable, I appreciated the added convenience of USB ports and cords for easy charging and a switch for the lights beside the bed so you dont have to get up very smart and thoughtful! everything felt fresh and clean. The hotels cleanliness and organization were topnotch, and the staff were friendly and accommodating. Plus, I loved that you could use a PIN for the door instead of carrying keys. It was one of the most affordable yet comfortable stays I've had in Osaka! I seen people peeing around the area, it's honestly not a good area it looks scary and not safe for been japan plus the area looks dirty . And the room for a non smoking room it smells horrible like cigarettes.
Outside of the hotel it's dirty and they don't have a person there to help it's all I. Your phone. The CP value for this hotel is max. You get a cozy small sofa, private TV, Aircone that is working perfectly in the room. After long day of walking sometimes I just want to go to the nearby convenience store and grab something and chill in the room. Facilities are always available and clean. Full hotel is equipped with ACinclude bathroom, Tennoji and Shinsekai is about 10 minutes walking distance.

Cons Room have spider and small cockroach although it is quite clean, I killed the cockroach and leave the spider be. No big deal for me even though I'm scared of cockroach. Surrounding neighborhood is full of homeless people, sometimes the surrounding smells like piss, but in the hotel is perfectly fine.

Btw, counter is always friendly, and easy check in check out process. They can speak English! I not regret staying here. Good value for price  brand new hotel, clean room, very helpful and nice staff. Some customers are complaining about the area full of drunk men, but honestly they look harmless. Located very close to the JR line and the subway. Rooms are a bit small but clean. The staff is very helpful. The entry and exit systems are very well automated. Go for it!",no operation time,"lodging, point_of_interest, establishment"
Agora Place Osaka Namba,"1-chōme-9-7 Sennichimae, Chuo Ward, Osaka, 542-0074, Japan",4.6,34.66730440000001,135.5038961,"I enjoyed my stay here thoroughly.
Firstly location wise, it was great and strategic, near to the train station and Dotonbori. Room was quiet and comfortable. Amenities provided were great and more than sufficient. Service was great from the start till end of stay, smooth checking in and out process. Kudos to the staff for assisting us in calling a restaurant as we needed assistance in confirming our reservation. The hotel is clean and the room is a good size for a couple traveling with two big luggages. Hotel provides everything you may forget to bring such as toothbrush, toothpaste, hair tie, lotion, makeup remover, razor, shower sponge, etc. All can be grabbed by yourself in the front lobby. Daily housekeeping is by the guest's request by simply putting the sign on the door before 12pm. Location is amazing. Metro station is right in front of the hotel. Dotonburi Street is just a short walk behind the hotel. Would highly recommend this hotel if you are staying in Osaka, Japan. Location is awesome. So close to an arcade and affordable street food. Reasonably priced stay. Slightly confused by how breakfast works. But great if they offer it to you. Could not have asked for more.

The shower was a blast. Spacious maybe relatively. We stayed here for 4 nights.  The location is great it is in the center of everything and very close to Dotonbori. The subway and the taxi stand are just right outside.  The room is good the bathroom is separated from the shower, the shower has strong water pressure and hot water, and it has great AC. Considering the location, the room space was good for us, 2 adults and 1 toddler. They also have items free for guests, such as hair ties, razors, face washlotions, etc., and all are located in the lobby with a small fan and iron, among other things you can borrow.  You can also use a weighing scale and a money exchange machine in the lobby. The only downside for us was the breakfast. It was very disappointing. It was not advertised that you only get 4 pieces of different bread and apple juice, so we paid more than we should have for it while booking. Lawson is right next door, so if you want a quick meal, it is much cheaper to get breakfast there. So I recommend not to book breakfast ahead of time and wait until your checkin.

All in all, our stay was good. Probably depends on the room they give you but mine feels like living in a basement although it is on the sixth floor. Very dark room, window was blurred out but it doesnt matter anyhow, it only opens 10 cm and then you look at a concrete wall 1 m away from you.
Although the room is spacious for Japan, it is not very practical . No light switch near the entrance, for example.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
BON Hostel,"3-chōme-1-3 Shikitsuhigashi, Naniwa Ward, Osaka, 556-0012, Japan",4.0,34.6562048,135.5018354,"Super worth it, place is great and cozy. Staffs are friendly and they do speak English. I would say not to stay in the place during day time for taking a quick nap during day time because of the subway train tracks are right above this stay, its bit annoying sometimes which is upto midnight. Rooms and bathrooms are well maintained. Atleast Drinking water can be provided. Get water bottles in convenience stores before you reach this place The toilet and bathroom are very clean. The bed is comfortable. I really appreciate that they let me have lower bed. I was shock when I knew that it's located right under the railway, so you can feel the sound and vibration each time a train passing by. But I have a very nice sleep regardless. The male receptionists are also nice and helpful.

However, I don't appreciate one of the female receptionists because I came at 2 PM coz in the email I received its the check in time. I push the bell many times and no one came. After a few minutes, came a lady with an angry tone said that the check in is 4 PM and I have to pay 1,000 yen if I want to do early check in. I told her about the email, and without any empathy she said that must be an error. I felt so disrespected by her tone of speaking. I think she needs to be trained MORE! 

My recent stay at this hostel in Japan was a delightful experience overall. The staff were welcoming and provided efficient service throughout my time there. The dormitory room I stayed in was clean and cozy, offering a comfortable atmosphere for a good night's rest.

I particularly enjoyed the hostel's location, which was conveniently situated near public transportation options and within walking distance of various attractions. This made it easy for me to explore the city and immerse myself in the local culture without any hassle.

While the facilities were wellmaintained, I did find that the communal areas could get a bit crowded at times, especially during peak hours. However, this did not significantly detract from my overall enjoyment of the hostel.

Overall, I would recommend this hostel to fellow travelers seeking budgetfriendly accommodation in a convenient location. It may not have all the bells and whistles of a luxury hotel, but it offers everything you need for a comfortable and enjoyable stay in Japan. You get what you paid for. I would recommend this hostel and would stay here again but with notes.

The hostel is located right under a train track, as everyone have mentioned. The lobby lounge experience can be crazy  very loud with rocky vibrations. However, the room was ok for me, it was not as loud and rocky. Again, everyones standard is different and I was fine because I like white noises.

Another thing to point out. You make your own bed. They only give you the sheets and you have to set it up yourself.

The location is actually pretty central, only one station away from Namba, which is closest to Dotonbori Glico sign, Kuromon Market, and malls. Its close to a few stations. It also has relatively nearby konbinis and restaurants Yoshinoya. I think for the price, the location Im getting makes it super worth it.

The staffs were friendly. The place was clean. The lounge was cozy and got board games in Japanese. You can put your bag after checkout. The perfect hostel except for the noise. Its located directly underneath subway tracks and trains go from 51230. Its unbelievably loud. Will unfortunately not recommend this place because of that. The kindly provided earplugs did not help since the whole place vibrates and shakes.",no operation time,"lodging, point_of_interest, establishment"
