이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
Maison le Bac Paris Apartments,"26 Rue Poissonnière, 75002 Paris, France",4.5,48.8696685,2.348008000000001,"This was the perfect accommodation for my first trip to Paris. The location suited all of my needs, and was very ideal and picturesque. The room has everything you need, even laundry and a full kitchen! The bed is comfy, and the large windows are beautiful. The only thing I would consider for some people is that there seems to be an elementary school with very vocal children all day long, which is disruptive if youre looking for quiet. Overall, I loved this apartment and will recommend it to everyone. Unforgettable stay.. Maison Le Bac made my Paris trip memorable. Location is wonderful lots of attractions nearby. Lots of bars nearby. Service was nice. We felt like home... My studio apartment was well managed. I had the most amazing stay at this flat in Paris! The location was perfect, close to all the major attractions and with easy access to public transportation. The flat itself was beautifully decorated and had all the amenities I needed for a comfortable stay. The host was also extremely friendly and helpful, providing great recommendations for restaurants and things to do in the area. I would highly recommend anyone looking for a cozy and convenient place to stay in Paris. I can't wait to come back and stay here again! Nice place to stay. Large room with good bed and clean bathroom. This part of city is good and safe to stay. Super close to the center of Paris. Friendly and helpful staffs. Nice appartment hotel to stay. Excellent service will neat and clean bedroom. Good view and best location to stay as it is in the center of Paris. Easy excess to everything.","Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: Closed","lodging, point_of_interest, establishment"
Hôtel d'Orsay,"93 Rue de Lille, 75007 Paris, France",4.7,48.86038899999999,2.323112,"Wonderful little hotel in an ideal location.

We spent 3 night of our Honeymoon here and could not have been more pleased.

The rooms themselves are small as to be expected in Paris but they are clean and well maintained.

The bathrooms are fine except for that weird half shower door thing most hotels around the world are doing now.

The location is prime. Steps from the Musee dOrsay and walking distance from everything you would want to see in Paris.

Close to some amazing restaurants and the metro and bikes to ride around the city.

But the best thing about this hotel was the staff. So amazingly helpful, so polite and very patient with us slow Americans. I cant recall the gentleman who ran the desk at nights name but he was supremely kind and friendly and always greeted us with a smile.

All in all a great stay in Paris and we will return. Quiet, beautiful hotel in an upscale neighborhood. There was little to no traffic or noise at all, you are steps away from the Museum and Metro, and the staff went above and beyond to make our special trip memorable.  Truly a 4 star experience if not more.  Breakfast buffet was also fantastic see photos  fresh squeezed juiceteacoffee, great breads, proteins, fresh fruits, all higher end.  We will be back. The Hotel d'Orsay was the perfect place to stay with our group of eleven for my mother's 80th birthday trip to Paris!  The location is perfect and the hotel is lovely.  The rooms are spacious and well appointed.  The lobby and breakfast room are pretty and elegant.  The breakfast spread was delicious.  All of the staff were welcoming and kind and so helpful!!  Didn't want to leave. We just spent a wonderful week at Htel DOrsay  a lovely hotel in a great, central location in Paris on the left bank. Our room was spacious and very comfortable. Best of all is the delightful staff who are all very welcoming and extremely helpful! We enjoyed the delicious breakfast which was enhanced by the service from the wonderful staff. We highly recommend staying at Hotel DOrsay and look forward to returning for a future stay! We stayed at the hotel the beginning of May and it was wonderful. Everything from checkin, accommodations, breakfast were perfect. Beautiful hotel in a wonderful part of Paris. The staff were fantastic. The room was very nice and spacious. Next time we will return, we will stay there for sure. Wonderful","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
Hôtel Henriette,"9 Rue des Gobelins, 75013 Paris, France",4.8,48.8357722,2.351317400000001,"Beautiful quirky stylish boutique hotel in a perfect location for exploring Paris. Lovely courtyard for an evening drink and snack. V helpful and friendly staff. The hotel is so much nicer than an impersonal chain and totally complements the experience of this beautiful city. We had a wonderful day at Hotel Henriette. Everything was perfect! We also really loved the neighborhood and the gourmet restaurants nearby. For my mother, it was extremely convenient, because there are so many buses and also the metro station right there. I will definitely be back! We stayed 3 nights.  A small, very nice hotel that was very good value.  A little off the beaten track but right next to a metro stop so easy to get anywhere in the city quickly.  Rooms are small but pleasant, bath is modern and well appointed.  Staff was very pleasant and very helpful Best service ! Cute rooms with a great view. They went out of their way with fixing flowers and balloons for a birthday we had, thanks! And thanks to all working there making this a Hotel you never forget. I highly recommend this lovely hotel not just for the amazing facilities but also the Fantastic services offered by the staff. They make you feel comfortable at all times. The beds are very comfy and the stay is quiet and pleasant. The decoration of the main common areas are beautiful without being overwhelming. The ice of the cake was the staff kindness to help me deal with a courier situation without any complain whatsoever. The location offered quiet and nice sorrounding with many shops and restaurants. It's easy to move around the city as it has a very close metro line stop. I will be very happy to return.","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
HÔTEL RACHEL,"1 Rue du Capitaine Soyer, 93310 Le Pré-Saint-Gervais, France",3.2,48.882678,2.403689399999999,"Room was dirty, with nothing other than bed in it. Bed was tainted and curtain was broken. Service was terrible as well. No additional towels were properly provided I stayed several nights and they refused to give me very simple things that I asked. Location wise, it is nowhere near the city center. I have stayed at a single room with a private bathroom for a weekend trip to Paris. First time in the city, and the experience was amazing. The staff was friendly, the room was great, and the neighborhood was very lovely. I checked the room and the bed for cleanliness right after my arrival as you should in all hotels, and everything was spotless. I really do not understand the negative reviews. Perhaps people's expectations are too high. Considering how here you are paying less than in some sharedbedroom hostels, I really have no reason to complain about anything. Obviously not downtown, but a metro station with ticket machines is a 10 minute walk away, and that will easily get you anywhere in Paris. Definitely feels more like renting a small studio in an appartment building rather than a fancy hotel stay, but again, you shouldn't be expecting too many amenities for a price like this. I'd definitely come back here again in the future. Great value for money 45 minutes by bus from the centre friendly staff would definitely stay again Stayed three nights, WiFi never worked, talked to employees twice and it never got fixed. Room looked nothing like the photos on their website, smelled of cigarettes and bathroomsshowers werent that clean. Walls are thin, so I could hear both my next door and above neighbors late at night and early in the morning.
Price is too high for the condition of the property, especially for hostel standards. Theres no way I would stay here again. PLEASE dont book this place!!! our room was infested with bed bugs and had them crawling all over the pillows and mattress. we had to leave and find somewhere else to stay last minute. the owners are definitely aware of the issue and arent fixing it so dont waste ur money.","Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM","travel_agency, lodging, point_of_interest, establishment"
Maison Chomel,"15 Rue Chomel, 75007 Paris, France",4.6,48.851933,2.325329,"Delightful experience overall. Kind and helpful staff and spaces were beautifully decorated.
We did not take advantage of breakfast but did appreciate the coffee machine.

Rooms are small but thats more an FYI, not a problem, just a reality of city hotels. More hooks on the walls would be a nice touch! We LOVED Maison Chomel for our 4day stay. It felt like our wonderful, cozy home away from home in Paris. The hotel has the kindest, most helpful staff who made us feel safe and welcome. The location was perfect, free of touristy crowds and only steps away from transit stops that made it super easy to get to other arrondissements. It was a fabulous find and absolutely the best choice. Already dreaming of coming back! This hotel is 5 star in everything! From the time of booking, to getting to the hotel, the entire stay, until departure. Maison Chomel is home. The location is very safe, it is close to everything and easily accessible by bus or train or by foot. So many nice places around walking distance. I felt safe in the hotel since there was always someone at the desk securing the place 247. Its homey, they know us by name. And the rooms very elegant. We had a 2bedroom adjoined with a main door that allowed us to keep both rooms unlocked at all times with easy flow to the other room. They kept our rooms very very clean every day. The hotel has the Parisian foundation with modern designs. Beautiful boutique hotel is love to come back to. The owners took care of us when we needed anything and they gave us directions and tips during our stay until the time we went to the airport. Nas even checked on us when we reached the airport making sure our travel went smoothly. What a super host! I cannot recommend Maison Chomel enough! The service was exceptional and the room very clean and comfortable. Everyone on staff was extremely friendly and made us feel right at home! They knew us by name, asked us about our day, provided us with restaurant and sightseeing recommendations, and were just wonderful overall. They even gave us umbrellas  to use during our rainy stay, making it possible for us to still walk and see everything we wanted! The location is right in St. Germain, making it easy to access multiple sites within a 1520 min walk. I highly recommend this hotel and cannot wait to return for my next visit to Paris! We thoroughly loved our stay at Maison Chomel. The street was quiet and safe, the rooms were exceptionally clean, the staff were friendly and professional. The location was perfect for our vacation. We definitely recommend this hotel and will definitely come back again.",no operation time,"lodging, point_of_interest, establishment"
International Youth Hostel,"75011, 10 Rue Trousseau, 75011 Paris, France",3.0,48.8510685,2.3787671,"Very basic. No air con. No towels unless pay. No soap. A cleaner put our clothes in a puddle of water which developed after a short shower.
1 key per room and there was 4 of us. The last person to leave is supposed to give them the key.
Between 1100 and 1500 you cannot be in the room. However, even at 1000 they kicked my friend out.

Great location and luggage storage. Rooms include safes. Stayed here while the Olympics were on. Location is good, we found the staff friendly but not much else.

Had very weird rules that you couldnt be in your room between 11am3pm, and you had to hand your key in every time you left?

The room was dirty, mould on the shower curtain and didnt provide a bath mat.
Would not stay here again We booked to stay here without reading the reviews properly, and were very nervous coming into it. Due to the Olympics being on everything was super expensive and we didnt have a choice. Our rooms were not as bad as some other people described, but were still dirty. Manageable with some shower shoes.

Lots of weird rules in this place have to hand in key whenever you leave, must leave the property from 113 each day. One day we tried to drop off our laundry after this and the reception was very cranky  followed us up and waited at the door. Dont book this place if you arent happy with those rules.

Location is great, but the street below can be noisy at night.

If you have other options, go with those. I have mixed feelings leaving this hostel. Whilst it was in a great spot with heaps of great restaurants and bars around it, there were a few disappointments. We didnt realise when we booked that you have to be out of your room from 11am3pm and couldnt even put stuff away or access any of your things. The bathroom was also the smallest bathroom I have ever seen and was so mouldy, definitely bring some shower shoes. Despite that, the actual room was very clean, a good size and the beds were comfy. The free breakfast was good and staff were nice. Overall a good place to stay if your on a budget but would I rush back? Probably not. Awful services, you have to get out everyday at 10 am and you cannot return to the room until 3pm  feels like checking out and in everyday. And the must weird rule, they obligate you to leave your key with three every time you live the hostel. The room  is poor, and they clean it very superficially. No air conditioner or a fan for summer nights. I would never stay at this place again",no operation time,"lodging, point_of_interest, establishment"
JO&JOE Paris Gentilly,"89-93 Av. Paul Vaillant Couturier, 94250 Gentilly, France",4.5,48.8163491,2.3382857,"We booked a room for four people and when we came in they said that our room is meant to be for five people but well have the whole place for ourselves. The rooms where very nice and put together and so were the bathroom. The prices are also pretty good and value for money. The hostel is located in a pretty decent area a little bit far from the center but close to the public transport station. The vibe of the hostel is pretty artistic and chill. Would recommend Enjoyed my stay here. The in suite bathroom was nice to have. There were 5 beds in my room, and I was traveling solo. Each bed is private enough which makes you feel like you have your own corner or cubby or the room. Gentilly station is a few blocks away which gives you easy access to all of Paris and beyond.

I would stay here again. I did enjoy my visit. Only complaint is that the food wasnt the greatest. But its fairly priced and you do get a discount if youre staying at the hostel. Easy to find and a nice place to stay. Can't ask for more if you're just looking for a place to crash for a couple of days while enjoying the rest of Paris.

Everything can be done online, although it's a tad bit irritating to receive emails from them. They sometimes pay too much attentions on you  JOJOE Paris Gentilly provides a vibrant atmosphere, particularly in its restaurant and bar area where live music is a highlight. Social spaces are appreciated, though cleanliness in those areas can be improved. Room designs are generally liked, but noise levels and cleanliness within the rooms are common concerns. Service and value receive mixed opinions. Some find the staff friendly, while others criticize additional fees and perceive services as overpriced. Very, very hospitable. Thank you all for your amazing service and kindness!

You do have to trek a fair bit to all the great bits of Paris, but the station is only 3 buildings away, so very easy to get to and safe at night!

I had a cabin suite, which felt a lot more claustrophobic than I was expecting. It was quite a tight space, and it could've done with a window and more standing room to make it worth all the money. However, the bed was immensely comfortable, you have access to chargers, and the lights are very warm. Would stay again, but probably a full ensuite next time!",no operation time,"lodging, point_of_interest, establishment"
Hôtel Bourg Tibourg - Paris Marais,"19 Rue du Bourg Tibourg, 75004 Paris, France",4.6,48.8572426,2.355918599999999,"Die hard Marriott elite member here and cant rave more about this hotel. So glad to have stumble upon it. Perfect location and impeccably clean. Rooms are small but the layout maximize space and you dont feel like you need more. Staff were so friendly and decorations were classy. Highly highly recommend Never explored Paris so effortlessly. When we say a hotel that makes you definitely visit next time is must be services good, sleep well and energy in daytime. Suit for city explorer and even you can explore quite a bit in the hotel. Tea in lobby really nice for a exclusive appointment with friends in Le Maris but not overwhelming by the crowds. Everything was great. The rooms were comfortable and clean though a little small but its a boutique so that was expected. The bathrooms have nice huge tubs which was a plus after walking all day. The common areas were so cool and inviting, and the staff was helpful without being over the top about it. We chose not to take the breakfast. There are many spots outside with lots of options. The place is one of the most lovely hotel Ive ever been to. Its what I call luxury quiet meaning that its beautiful and luxurious without doing too much. I loved the junior suite with the beautiful bathtub, the wood around the bed. The little outdoor terrasse downstairs.
Extra 5 starts for the service and the staff members who were just adorable.
All of this in the heart of Paris in le Marais. Will definitely come back ! It was the perfect place to explore and relax  a very intimate and discreet hotel in the heart of marais. With cozy bathtubs and vinyls. Truly a delight, will come back soon ","Monday: 12:00 AM – 11:50 PM
Tuesday: 12:00 AM – 11:50 PM
Wednesday: 12:00 AM – 11:50 PM
Thursday: 12:00 AM – 11:50 PM
Friday: 12:00 AM – 11:50 PM
Saturday: 12:00 AM – 11:50 PM
Sunday: 12:00 AM – 11:50 PM","lodging, point_of_interest, establishment"
Hotel Fontaines du Luxembourg,"4 Rue de Vaugirard, 75006 Paris, France",4.3,48.8490372,2.3401334,"We really enjoyed our stay at this hotel. Staff was very welcoming and attentive. Location was perfect for us, very close to Luxembourg Gardens. Great restaurant right outside of the hotel.
We knew that rooms are smaller than what we used to, so it was not a surprise. Air conditioning was working, elevator was working as well. We were on a 4th floor, no neighbors next to us, so very quiet and comfortable. Bathroom was clean, water pressure was great. Cleaning staff was doing excellent job.
Bed was very comfortable with nice pillows, duvet cover on the comforter.
We also had an electric tea kettle, so we could make a nice cup of tea in the room.
When we had a problem with the sink, it was addressed immediately and fixed before we came back to the room later than day.
We would highly recommend this hotel! Location can't be beat, nice quiet side street but easy access from airport and RERMetro only a few minutes walk as well as many restaurants nearby. Staff was helpful and courteous. Rooms were a bit cozy but comfortable, would not hesitate to come back. I never write reviews but this hotel deserves one. Been to Paris multiple times and this little gem has earned my loyalty. The room, amenities, and breakfast were great but the customer service received from front desk guys Eric and Usman was exceptional. They were extremely helpful and so accommodating. This may be a 3star hotel but felt like a 5star Hotel. Thank you to everyone at Hotel Fountaines du Luxembourg we will definitely see you next time we are in Paris. Spent 8 days at this most splendid hotel. It is located steps from Luxembourg Garden. Ride the RER B to the Luxembourg stop and wheel your suitcase a short walk to the hotel. The hotel is wonderful, but the hotel staff is extraordinary. This is a very quiet area at night and deep sleep is possible. The staff will be there for questions, problems, suggestions. There is always someone at the front desk.The manager is hands on and excellent. You really feel at home every time you return to the hotel. The room is cleaned daily. Every area of the hotel is clean and cared for. Food, drinks are available at the hotel for a charge. A small convenience store right across the street. Walk to bus and metro. Walking distance to several historic sites. Complementary coffee available in a lovely lounge. Luggage storage. A one person elevator. Our room was very large by Paris standards. Was so sad to leave this hotel. We loved our stay here. We really enjoyed our stay in the Hotel which was a very special historical building, all the staff in the reception were fabulous, kind, helpfull and professional, especially Eric and Azim.
Eric takes care about all the details to make you feel wellcomed and comfortable.
The staff in the restaurant were very kind.",no operation time,"lodging, point_of_interest, establishment"
Les Rives de Notre-Dame Hotel,"15 Quai Saint-Michel, 75005 Paris, France",4.6,48.8532403,2.3457375,"We had an exceptional stay at this hotel. The staff went above and beyond to make our experience unforgettable. Their warm and welcoming nature truly stood out.

The location is amazing, with convenient parking nearby. The rooms are beautiful and impeccably clean.

Thank you for making our trip to Paris even more special!! Staying at the Les Rives de NorteDame Hotel Was one of the highlights of our Paris trip. The hotel itself was beautifully restored. Blending the historic building while adding updated conveniences that all travelers want to experience was done amazingly well!water pressure was amazing and our shower and bathroom were clean and kept tidy by Cedric
everyday!Thank you Cedric! We found our accommodations to be comfortable and well equipped with everything we needed to make the most perfect stay. The staff Dino,
Elisa and Serge were genuinely helpful and kind and offered many suggestions for us to experience the best of local activities while visiting Paris! The good the room is tight but cute, and the space is efficiently used so you dont feel cramped. The bed is comfortable, and the pillows are good for hotel pillows i.e. these actually have support. The shower is fantastic  great water pressure. The location is also incredibly convenient, whether youre traveling within Paris or coming from the airport.

The canbeimproved the WiFi is a bit spotty in the rooms I have found that when I leave the hotel and return, I have a hard time reconnecting to the WiFi and have to forget the network and relog in. Housekeeping also doesnt make up your bed if you opt to not change your sheets. The best thing is the position, super central near Notre Dame and facing the river, with the exit of the tram station two steps away. The room that I took was small but likeable and the bathroom too. The common ambiance nice looking and the staff always polite. Given the price, all really great. Absolutely loved our experience even if it was just a single night. Elisa was so incredibly helpful and patient. The breakfast was terrific and everything on the tray was delicious. It even pleased my son, the picky eater! The bed was marvelously comfortable and the windows offered a splendid view across the way to Notre Dame. Not a single complaint.

I am so glad that I checked the reviews here when deciding where to stay. This place was amazing!","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","lodging, point_of_interest, establishment"
