이름,주소,평점,위도,경도,리뷰,영업시간,카테고리
Le Suffren,"84 Av. de Suffren, 75015 Paris, France",4.3,48.8511726,2.3005486,"I seen lobster in the window and wanted it. I was highly disappointed when I sat down and noticed they were selling half a grilled lobster, which was small I might add, for 39 euro.

That said, I switched to the Seabass. I seen someone with it and it looked good. I also asked the waiter and he recommend. It was very good. One in our party still got the lobster and complained about the size and price. The salmon dish was also good. Last but not least one person got the French Onion soup which he said was cheesy and good as well.

As far as the atmosphere, its tight in there. Had to move a table for people to sit down. Also, the smoking sucked, as usual. A memorable experience from start to finish. We were dining as a big group, and from the moment we stepped into the restaurant, we were immediately greeted by one the staff at the restaurant who made everyone feel welcomed, even the young ones in our party.

Service was professional and felt sincere, and they really did their best to make sure their guests felt comfortable and looked after.

The food was delicious. Everyone in our group loved the food. Beautifully seasoned and expertly executed dishes.

It was a beautiful way to end our Paris vacation and made a positive lasting impression. Will definitely be dining here again in the future. Great customer service.  The server did not rush us order and the portions were quite large.  Food quality was outstanding.  Crepe flambeed with Cointreau was delicious. Very nice place. We were not that hungry so we ordered a few smaller meals like onion soup, fish soup and Caesar salad, and everything was fresh and tasty.
I was expecting the fish soup to be a bouillon with fish parts, but it was a crme soup instead I cannot blame the restaurant for my mistake.
Caesar salad was very good but was missing some croutons.
Onion soup was tasteful, but be aware that the amount of cheese on top is huge, what makes the soup pretty salty.
The staff was extremely friendly. Very nice place  Even though its located in a very touristy area its does not feel that way at all! A lot of local people eating there which a good sign. Very friendly stuff and food is really great. We paid 60 for two for 2 course meal which is really isnt expensive!

Can definitely recommend this place!","Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM","restaurant, food, point_of_interest, establishment"
Maison Park,"10 Rue Desnouettes, 75015 Paris, France",4.9,48.8361324,2.2930275,"The decor is simple but this was the nicest food we had in our month in Europe! The waiter and chef understood coeliac and also my husbands soycornseafood allergies. They said they can adjust any meal we chose to suit allergies. The menu is different each day. There were 56 starters, mains and desserts to choose from. All the food we ordered was amazing! We were just going to order mains but the mains were so good we wanted to try the desserts and the desserts were all perfect! Absolutely incredible food. Everything was delicious and prepared well. The restaurant is intimate setting with not a big amount of seats. But the food was the best thing about it  everything tasted great. We dined here on a short trip, the meal was beautiful!
The service was friendly and quick, regularly checking on our table and food.
The food itself was perfectly cooked and I rarely enjoy all course but couldnt fault any of these courses. Highly recommend, wasnt too busy and was very good overall. We had an excellent dinner, the food was very good and the service was great!
The foie gras was amazing and I had the best grilled eels in Paris. We had lunch at this place during weekdays. It was generous and delicious French cuisine with a touch of Korean flavor.","Monday: Closed
Tuesday: 12:00 – 2:00 PM, 7:00 – 9:30 PM
Wednesday: 12:00 – 2:00 PM, 7:00 – 9:30 PM
Thursday: 12:00 – 2:00 PM, 7:00 – 9:30 PM
Friday: 12:00 – 2:00 PM, 7:00 – 9:30 PM
Saturday: 12:30 – 2:00 PM, 7:00 – 9:30 PM
Sunday: Closed","restaurant, food, point_of_interest, establishment"
Au P'tit Grec,"68 Rue Mouffetard, 75005 Paris, France",4.5,48.8427933,2.3495547,"Dressing up your crepes every which way.  Very large portions depending on your age.  We could not finish our order in one sitting. Unfortunately,  reheating it is not the same.  The lineup at this location is constant and continuous. We were curious after walking by this location several times and decided to try it. Once you've waited patiently to get to the counter to place your order, you'll need to wait another 1015 minutes as you watch them cook it. No seating,  standing only.  Cash only and these well priced crepes will be, on average, less than 10 euros. The halal crepes are 1012 euros. Please tip, the three men on duty never stopped. Absolutely delicious.  We ate one salty one and one sweet. They were both spectacular.  They allowed us to mix ingredients that were not in the menu.

After eating both crepes,  we didn't eat anything else the whole day. A delicious crepe restaurant tucked away on Mouffetard street. Each crepe is practically big enough to feed two. We ordered one savoury and one sweet crepe, split them and were more than satisfied by the end. Our chefserver was very friendly with everyone he served. We waited no more than 10 minutes, which flew by as the surrounding area is a rich example of Paris. Wouldn't Return.

My absolute biggest regret on a 5 city 25 day trip. Probably because it can only be described as the perfect hungover feed  or my palate isn't suited for ham, cheese and potatoes.

Ham and Cheese were funky  it was a sort of off funk which I can only attribute to the ham. Portion is huge, but full of potato.
Not many words other than I tried to pick out and salvage the salad.

Pictures look nice but taste was awful. Not for me.

Cash I came on a Monday around 1120am. Thankfully there was no line. Small space with a few bar seating available. Mostly a take away shop. You can see the staffs making the crepes in advance. I ordered, La Savoyarde with no potatoes for 10 euro. The staff suggested to replace the potatoes with mushrooms which I gladly accepted. It took about 7 minutes to make my crepe.

The crepe is huge. It has so much filling inside. It can feed 2 people easily. A bit too much ham though as it was very salty. I would like to return to try their sweet crepes.","Monday: 10:30 AM – 2:00 AM
Tuesday: 10:30 AM – 2:00 AM
Wednesday: 10:30 AM – 2:00 AM
Thursday: 10:30 AM – 2:00 AM
Friday: 10:30 AM – 2:00 AM
Saturday: 10:30 AM – 2:00 AM
Sunday: 10:30 AM – 2:00 AM","meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Le Petit Marché,"9 Rue de Béarn, 75003 Paris, France",4.5,48.8573383,2.3660742,"Absolutely perfect! We were seated without a reservation and the food was amazing! We will definitely be back for the duck breast as it was so tasty.

Would recommend! This is a good place for a quick weekday lunch they have lunch specials every day with lunch formula entree du jour  plat du jour at 18 euros. The plat du jour changes every day and is around 13.5 euros. Other than the lunch menu du jour, theres their regular menu with lots of options. Note that the regular menu items are not part of their lunch formulas. The dishes use fresh ingredients and generally taste hearty. Lots of people come here during their lunch breaks. Set in a beautiful neighbourhood of Paris, this cute restaurant is set on the corner with a nice terrace
The food was excellent and very good service. Price was also good for the quality
Nice selection of wines by glass or bottle
We had to wait about 10mins for a table, but it was a warm night and very busy Great food, and kind staff. Try fried shrimp for an appetizer plus duck for the main dish see photo, its absolutely fantastic. A few Asian mixes on the menu Japanese, Thai, etc. Around 2030 euros per person for lunch. What a wonderful find  we stumbled in le Petit March as we wandered around our hotels neighborhood. The energy coming from the restaurant was wonderful  we were seated within 15 minutes of arriving, without a reservation, at 830 pm. We had a delicious meal  the team was very conscientious of our glutenfree needs. The food was great  flavors were subtle but delicious. The team was so nice, too. We would recommend the asparagus with crispy pancetta and the mushroom risotto for sure! The steak was lovely  the mash potatoes definitely stood out! Worth the visit!","Monday: 12:00 – 3:30 PM, 7:00 – 11:30 PM
Tuesday: 12:00 – 3:30 PM, 7:00 – 11:30 PM
Wednesday: 12:00 – 3:30 PM, 7:00 – 11:30 PM
Thursday: 12:00 – 3:30 PM, 7:00 – 11:30 PM
Friday: 12:00 – 3:30 PM, 7:00 PM – 12:00 AM
Saturday: 12:00 – 4:00 PM, 7:00 PM – 12:00 AM
Sunday: 12:00 – 4:00 PM, 7:00 – 11:30 PM","restaurant, food, point_of_interest, establishment"
GATT KOREAN CUISINE,"19 Rue d'Antin, 75002 Paris, France",4.7,48.8692054,2.3335878,"Living in the UK and frequently traveling to Europe, I can tell how hard it is to find a Korean restaurant run by Koreans. But here it is. The staff is very welcoming, the food is very well presented even with very authentic Korean cutlery metal chopsticks!. I genuinely enjoyed the entree and the main I ordered. Highly recommend 

      . One of the best and authentic korean food places in Paris!

Tried their kimchi pancake, kimchi stew and stir fried pork and they were all so delicious, very similar to what i had in Korea! Kimchi was very fermented and sour which i loved. I visited this restaurant last Sunday, and unfortunately, it was a disappointing experience. Even though it wasnt rush hour, they seemed severely understaffed, with only one server handling all the tables. Service was slow, and while the server was polite and doing his best, the chef was constantly yelling at him, even in front of customers, which made the atmosphere uncomfortable.

As for the food, it arrived late and tasted awful. It was actually stinky, and I couldnt even take more than two bites. The stew had white bubbles, which made me suspect it was old or spoiled. Overall, a very unpleasant experience. Best korean restaurant I have been so far, food is amazing, the staff are really polite and helpful,  went there twice on our holiday to Paris. And anytime I will be over , am definitely going to Gatt, just gorgeous food, a must try, don't miss the korean cocktails and the drinks. the kimchi is top notch,200 recommended Very nice experience in this restaurant, very tasty food waiters are listening to us and were able to add 3 more person to the original reservation 10 people.","Monday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Tuesday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Wednesday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Thursday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Friday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Saturday: 11:30 AM – 3:00 PM, 6:30 – 11:00 PM
Sunday: 11:30 AM – 3:00 PM","restaurant, food, point_of_interest, establishment"
Restaurant Shin Jung,"7 Rue Clapeyron, 75008 Paris, France",4.6,48.88133399999999,2.324151,"First of all,  the taste of the food at this restaurant is not bad. However, I do not recommend this place. The reason is simple they overcharged me without my consent.That day, after finishing my meal, I asked for the bill from the owner a gentleman, probably Korean. The bill showed 39 euros. I indicated that I wanted to pay by card, so the man brought out the payment machine. I tapped my Visa credit card on the machine. After a moment, he asked if I needed a receipt, and I said yes. I didnt pay much attention to the receipt and left with my family.After leaving the restaurant, I was organizing my things and took a closer look at the receipt. To my surprise, I noticed that he had charged me 40 euros, which was 1 euro more than the bill.I understand that some establishments might expect customers to leave a tip, but that doesnt justify him taking extra money from me without asking. Even in the U.S., where tipping is almost mandatory, its clearly shown on the bill. If this Korean owner had asked me beforehand whether I was willing to leave a tip, I might not have refused. But his decision to take a tip without my consent made me very uncomfortable.Thats why I do not recommend this restaurant at all. It made me feel that he is dishonest. If he is willing to take an extra euro from a customer's credit card without permission, how can I trust the quality of his ingredients? How can I trust that he wouldnt cut corners with the food to make more profit? At this restaurant I visited a few days ago, I met the best kimchi stew of my life! It is not a Korean food with a strange taste modified to suit the local area, but a real depth and taste of the original Korean food! The smallsized seafood green onion pancake I ate as an appetizer was also excellent. I understood why many certification stickers on the restaurant show window were attached. It will be a very valuable experience not only for Korean travelers who miss Korean food but also for French people who are curious about Korean food culture! I highly recommend it! Had dinner here after a bit of shopping. They had vegan options and were kind enough to make some swaps. A little expensive for what you get but they make up for it in service and the ambiance of the place.

Ambiance 55
Service 55
Food quality 45
Food portion 45
Price and value for money 45

 lifewithaua Absolutely AMAZING service, the food is delicious, and really reminds me of food from traditional Korean restaurants. Unlike any other Korean place in France! I would eat here every day. It was a pleasant and yummy surprise I highly recommend this restaurant for those who are looking for authentic Korean food. Everything we tried there was very good and we were finally satisfied after trying a few places nearby that claim they are Korean restaurants but couldnt make the food the way they were if they were made by Koreans. Also everyone is nice!! I will be back when I revisit Paris in the future.","Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Sunday: Closed","restaurant, food, point_of_interest, establishment"
Corn Dog Paris,"38 Pass. du Ponceau, 75002 Paris, France",4.6,48.8676244,2.3520121,"We both the normal corn dog, mozzarella corn dog and the tteokbokki. Both corn dogs were delicious, would recommend the mozzarella one though and the tteokbokki was so good I loved the large rice cakes that were used and the sauce was so yummy. Service was great, the person who served us was so lovely and spoke great English, the shop was busy but the food still came in great time and the price was all super reasonable, cheapest tteokbokki we have found in Europe! The name is corn dog paris but we ordered the Gimbap and Korean toast. The toast was okay but the Gimbap was horrible. Maybe dont order these two dishes. I recently visited Corn Dog Paris, also known as Daoul Bun Sik though I'm not entirely certain about the name.

I sampled their teokbokki, fried chicken, and their corn dogs. While I was familiar with the flavors of the teokbokki and fried chicken from other eateries, I found them to be quite good and reasonably priced. The standout for me was the fried chicken with honey and garlicit was exceptionally flavorful.

Located on a quaint street in Paris, the restaurant is a bit challenging to locate, and the space itself is cozy, making it less suitable for larger groups.

One minor suggestion would be for the establishment to refrain from seating customers near closing time, as this can inadvertently make them feel rushed. I experienced this firsthand, as staff seemed eager for us to vacate our table towards the end of the evening. Despite this, I would rate my experience at Corn Dog Paris 4 out of 5 stars, as everything else exceeded my expectations. Very good food exactly like in Korea! The owner was so nice and friendly, and even gave us service. We had gotten some side dishes but they had pork and the owner changed it without us asking and gave us more delicious food! I also had mentioned how I missed cheese tteokbokki and the owner made it for me with the cheese!! Would definitely go again when I miss Korean food. I came here to try it today and it was delicious! Its a must if you are looking for a Korean food experience. I had the teokbokki classic with ramen and cheese and it was perfect!","Monday: 12:00 – 3:30 PM, 5:30 – 8:00 PM
Tuesday: 12:00 – 3:30 PM, 5:30 – 8:00 PM
Wednesday: 12:00 – 3:30 PM, 5:30 – 8:00 PM
Thursday: 12:00 – 3:30 PM, 5:30 – 8:00 PM
Friday: 12:00 – 3:30 PM, 5:30 – 8:00 PM
Saturday: 12:00 – 3:30 PM, 5:00 – 8:00 PM
Sunday: Closed","restaurant, food, point_of_interest, establishment"
Sanukiya,"9 Rue d'Argenteuil, 75001 Paris, France",4.4,48.864718,2.333787,"Authentic Japanese food ive been craving to have in France.
Great great great! food!

only downside is a bit too little space and slow service to enjoy the great great food bitter smile.

Wanna come back  It is a small place so you may wait for a while when  you come. We waited under rain about 15 mins and around 15 mins for food is ready but it's worthy. The food is really delicious and I highly recommend salads and tempura. I tried the matcha and fried rice it's really nice to combine with the food but the water is a bit hot so be careful if not you would burn your tongue. For dessert I recommend the daifuku. It's red bean mochi. Very authentic Japanese udon restaurant, the portion is quite small so make sure you add extra udon if you have better appetite. But the udon here taste just like the ones I took in Japan, and all the staffs here are Japanese. VERY Recommend Some of the best Soba Noodles and tempura we have ever had. Great lively atmosphere and friendly staff and service. Looking forward to visiting again. This is a small fastpaced udon shop! Kudos to all staff to keep this vibe going all night, speedy ordering and serving. The line doesn't go down at all! The atmosphere is so fun some people might call this stressful we finished our meal within 15mins. We had tamagoyaki and tempura udon. The tamagoyaki is not sweet and packed with flavours which surprises us. The tempura is so good! The flour batter is super light and loves the vegetable tempura as well! The udon is a bit overcooked which is expected in this environment.","Monday: 11:30 AM – 10:00 PM
Tuesday: 11:30 AM – 10:00 PM
Wednesday: 11:30 AM – 10:00 PM
Thursday: 11:30 AM – 10:00 PM
Friday: 11:30 AM – 10:00 PM
Saturday: 11:30 AM – 10:00 PM
Sunday: 11:30 AM – 10:00 PM","restaurant, food, point_of_interest, establishment"
대장 DAEJANG (restaurant coréen),"33 Rue Descartes, 75005 Paris, France",4.8,48.8456865,2.3492722,"We had a very nice experience here. The KFC was particularly good, and the other dishes had a nice spice to them. We were served quickly. This is the most cutest korean restraunt ever ive been to!
The decor, the service and specially the owners are absolutely warm and welcoming
The food is soo comforting and delicious
Definitely going back to the place.
Lovely experience all in all Came to visit Paris and wanted a good Korean meal. Our friends suggested this and we all went. Really good options. We just love the Beef noodle soup and the variation of Korean side dishes that make it so special eating at Deajang. Highest recommendation if you like Korean! We had our dinner here. And we were pleasantly surprised that we could find authentic Korean food in Paris. We enjoyed the kimchi and the side dishes. We especially like the chapchay and the soupstew. Highly recommend it.","Monday: Closed
Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Sunday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","restaurant, food, point_of_interest, establishment"
Soon,"20 Rue Jean Mermoz, 75008 Paris, France",4.5,48.870834,2.311709,"Its been a while since I had such good Korean food in Paris but to be fair I havent been back in a while with so many Korean restaurants in town recently, I knew I had to try at least one of them, and I was not let down at all.

The dishes were all flavourful, the rice was fluffy and the soups were delicious!

My favourites were the fried chicken, the soybean paste soup and the grilled pork dishes ! We chanced upon this korean restaurant just downstairs our airbnb. The food is so so good! Definitely authentic taste of Korean food. We had the soodunbu tofu soup and tteokbokki. High recommended to come try their food. Service staff was friendly and they know French, English and Korean. I went to a Korean restaurant and I was a bit disappointed with the salty and plain taste of the food.
I'm sorry. I couldn't post a good review I recommend do not missed this restaurant

Excellent food and nd service I love it  Authentic Korean food. The grilled meat set is classic and did not take too much time. Highly recommended. Most importantly, the staff here are super nice and cute  yes very cute indeed","Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Sunday: 12:00 – 2:30 PM, 7:00 – 10:30 PM","restaurant, food, point_of_interest, establishment"
