이름,주소,평점,위도,경도,리뷰,영업시간,카테고리,핫플레이스여부
The Grand Palace,"Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",4.5,13.7498558,100.4915765,"꼭보아야합니다.어떤 사람들은 매우 고급스럽고 훌륭하며 마법이라고 말할 것입니다.다른 사람들은 절충주의를 말할 것입니다.어쨌든, 그것은 반드시 방문해야합니다.반바지 나 짧은 치마를 입는 것은 금지되어 있지만 출구에서 입구보다 3 배 더 저렴한 바지를 구입할 수 있습니다.무료 우산 및 가이드 투어가 제공됩니다.즐기다!
내가 방문한 가장 아름다운 곳 중 하나.나는 궁전을 방문한 경험을 정말로 즐겼으며 나를 데려 가서 정보를 줄 수있는 가이드도 얻었습니다.거기에는 많은 사람들이 있었지만 거대하기 때문에 혼잡하지 않았습니다.문화를 존중하고 적절한 옷을 입거나 목도리를 사십시오.
이곳은 전통적인 태국 건축물로 거대하고 아름답습니다.방문 할 계획이라면 적절한 옷을 입으십시오.궁전입니다.어깨를 드러내는 반바지 나 옷을 입지 마십시오.내 여행 친구가 반바지와 농작물 셔츠를 입었 기 때문에 나는 문으로 올라 갔다.그래서 우리는 외부에서 만 궁전 만 볼 수 있습니다.오..당신이 정말로 들어가고 싶다면.게이트에서 옷을 빌릴 수 있습니다.
방콕에서 볼 수 있습니다.
놀라운 건물, 파빌리온, 조각상 모든 것.
성전 건물을 둘러싸고있는 벽의 그림을 놓치지 않도록하십시오.
입구에서 무료로 우산을 빌릴 수 있으며 필요할 것입니다.
단지를 즐기고 박물관을보기 위해 4 시간을 계획하십시오.
박물관 중 하나가 문을 닫고 댄스 쇼는 주중에만 주말에 가지 마십시오.
방콕의 모든 사람에게는 반드시 방문해야합니다.그것은 주위를 돌아 다니며 다른 사원과 건물의 광경을 볼 수있는 경외심을 불러 일으키는 곳입니다.가기 전에 드레스 코드 규칙을 읽었는지 확인하십시오. 특히 어린이를 제외하고 긴 바지를 입지 않도록하십시오. 200 바트 입구에서 한 쌍을 살 수는 있지만 그다지 편안하지 않습니다!또한 매우 뜨겁고 혼잡해질 수 있으므로 많은 물을 포장하고 선 스크린을 많이 착용하십시오.","월요일 : 오전 8시 30 분 - 오후 3시 30 분
화요일 : 오전 8시 30 분 - 오후 3시 30 분
수요일 : 오전 8시 30 분 - 오후 3시 30 분
목요일 : 오전 8시 30 분 - 오후 3시 30 분
금요일 : 오전 8시 30 분 - 오후 3시 30 분
토요일 : 오전 8시 30 분 - 오후 3시 30 분
일요일 : 오전 8시 30 분 - 오후 3시 30 분","Tourist_attraction, 공원, point_of_interest, 설립",Yes
Phra Sumen Fort,"QF7W+H7W, Thanon Phra Athit, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7639776,100.4956975,"많은 지역 주민들과 관광객들이 긴장을 풀어주는 훌륭한 작은 공원 지역입니다.피크닉이나 운동을위한 충분한 공간.개인적으로, 일몰과 보트가 강에서 순항하는 것을 보는 것은 제가 가장 좋아하는 장소입니다.저녁에는 현지 사람들과 춤을 연습하고 음악을들을 수있는 기회가 있습니다.그곳으로 돌아 가기를 기다릴 수 없습니다.방콕에서 내가 가장 좋아하는 장소 중 하나입니다.
이것은 Khosan Road 주변의 태국에서 가장 좋은 곳 중 하나입니다.입구가없고 장소는 놀랍습니다.평화 롭고 아름다운 공원.때때로 일을하고 태국에서해야 할 일에 대해 생각할 수 있습니다.정말 멋진 곳.요새는 다른 무기를 가지고 있으며 고대에 도시를 어떻게 유지했는지 보여줍니다.그리고 그것은 강에 매우 가깝고 그것으로 멋진 전망을 가지고 있습니다.나는 Khosan Road 주변에 머무는 사람 에게이 장소를 추천합니다.
공원과 함께 강변을 따라 멋진 작은 요새.나는 밤에 그것을 볼 기회가 있었지만 낮에는 다시 방문해야합니다.그것은 강과 현대 다리를 내려다 보는 매우 놀라운 전망 일 수 있습니다.
고요한 공원.방콕과 같은 조악한 곳에서는 희귀 성입니다.많은 벤치와 강의 시원한 바람이 환영받는 휴식을 제공합니다.
카오 산로드 (Khao San Road) 근처의 작은 요새는 빠른 산책이나 강 전망을 위해.강과 다리의 아름다운 배경으로 좋은 사진을 클릭 할 수 있습니다.입장료 없음.","월요일 : 오전 8시 - 오후 9시
화요일 : 오전 8시 - 오후 9시
수요일 : 오전 8시 - 오후 9시
목요일 : 오전 8시 - 오후 9시
금요일 : 오전 8시 - 오후 9시
토요일 : 오전 8시 - 오후 9시
일요일 : 오전 8시 - 오후 9시","Tourist_attraction, point_of_interest, 설립",Yes
Royal Hall of Boromphiman,"พระที่นั่งบรมพิมาน Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.6,13.7504504,100.4930537,"이전에 사용한 궁전의 화려한 땅과 건물.입구는 없지만, 완벽한 정원과 작은 사원까지 방황 할 건물이 많이 있습니다.
아름다운 건물이지만 입구는 없습니다.
멋진 장소
사진을 찍고 문화를 배울 수있는 좋은 장소.놀라운 곳!
매우 예쁘다. 입장 할 신발을 제거해야한다.",운영 시간이 없습니다,"Tourist_attraction, point_of_interest, 설립",Yes
The Temple of the Emerald Buddha,"QF2V+M34, Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.7,13.7516435,100.4927041,"금이 많은 아름다운 곳.실제 부처는 예상보다 훨씬 작지만 여전히 볼 가치가 있습니다.나는 특히 벽의 작품을 좋아했습니다.건물에 팬이 있었고 외부보다 훨씬 더 시원했습니다.그러나 우리가 갔을 때 너무 바빴고 너무 바빴습니다.모든 방향에서 밀고있는 사람들이있었습니다.또한 매우 뜨거웠습니다.시원하지만 일찍 가야합니다.또한 온라인으로 티켓을 미리 예약하여 Longgggg 대기열 중 일부를 이길 수 있습니다.
놀라운 경험.
나는 복장 규정으로 인해 많은 사람들이 들어 가지 못했다는 것을 보았다.따라서 바지와 가슴을 덮는 적절한 상단을 착용하십시오.
운 좋게 나는 그것을 연구했다.매우 뜨겁기 때문에 선 스크린, 물, 모자, 샌들 등을 기억하십시오.
에메랄드 부처는 내가 생각했던 것보다 작았지만 여전히 놀라운 경험이었습니다.
영어로는 영어로 에메랄드 부처의 성전으로 알려져 있습니다. 그랜드 궁전의 부지 내에 위치한 사원은 태국에서 가장 신성한 불교 사원으로 여겨지며, 옥의 단일 블록에서 세 심하게 조각 된 매우 존경받는 부처님 이미지를 수정합니다.
아름다운 복잡한 세부 사항과 장식품이 너무 많지만 매우 혼잡 한 것을 알아야합니다.
나는 열과 군중 때문에 경험 자체를 즐기지 않았지만 방콕에있을 때는 반드시 방문해야합니다.어깨와 무릎 아래에 긴 옷을 입어야한다는 점에 유의하십시오.
이 사이트에는 역사적인 제이드 부처가 있습니다. 불행히도 사진은 성전 자체 내부에서 허용되지 않습니다.그러나 주변 지역에서는 사진이 허용됩니다.부지는 깨끗하고 명확한 간판으로 탐색하기 쉽습니다.유일한 단점은 성인 당 500 바트의 다소 높은 티켓 가격입니다.그 외에는 불평 할 것이 거의 없습니다.찬성
역사와 문화 가치
깨끗한
명확한 사인 단점
티켓은 비싸다
성전은 매우 거룩하고 신성합니다.그것은 확실히 태국의 건축 보물입니다.당신이 그랜드 팰리스에 갈 때 방문 할 가치가 있습니다.방문 사이트입니다.
줄을 피하려면 미리 티켓을 사전에 구입하십시오.","월요일 : 오전 8시 30 분 - 오후 3시 30 분
화요일 : 오전 8시 30 분 - 오후 3시 30 분
수요일 : 오전 8시 30 분 - 오후 3시 30 분
목요일 : 오전 8시 30 분 - 오후 3시 30 분
금요일 : 오전 8시 30 분 - 오후 3시 30 분
토요일 : 오전 8시 30 분 - 오후 3시 30 분
일요일 : 오전 8시 30 분 - 오후 3시 30 분","Tourist_attraction, place_of_worship, point_of_interest, 설립",Yes
SEA LIFE Bangkok Ocean World,"ชั้น บี1-บี2 สยามพารากอน 991 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,13.7459351,100.5352057,"나는 최근 방콕의 Sea Life Aquarium을 방문했으며 아이들과 가족 모두에게 절대적으로 훌륭한 경험이었습니다.수족관에는 다양한 어류와 해양 생물로 가득 찬 멋진 천연 탱크가있어 어린 탐험가들에게 매력적인 환경이됩니다.인테리어 디자인은 아름답게 정렬되어 생생한 색상과 매력적인 디스플레이로 전반적인 경험을 향상시킵니다.유리 보트 타기는 하이라이트였으며, 우리는 장엄한 바다 생물로 둘러싸인 수중 터널을 활공 할 수있게 해주었습니다.또한, 5D 영화 경험은 스릴 넘치고 재미 있고 교육적인 대화식 모험에 몰입했습니다.전반적으로, Sea Life Aquarium은 가족에게 환상적인 하루를 보내며 재미있는 재미를 숨막히는 환경에서 배우는 것과 결합합니다.적극 권장됩니다!
어린 딸과 함께 Sea Life Bangkok을 방문하는 것은 탁월한 경험이었습니다.이 수족관은 어린이와 성인 모두에게 매력적인 모험을 제공합니다.전시 된 다양한 해양 생물은 광범위하고 인상적이며 생생한 생선과 우아한 광선에서 장엄한 상어 및 장난스러운 바다 거북에 이르기까지 모든 것을 특징으로합니다.전시회는 어린 아이들에게 완벽한 대화식 요소와 함께 교육적이고 매력적이라는 신중하게 설계되었습니다.내 딸은 특히 매혹적인 수중 터널에 매료되어 모든 주변에서 수영하는 해양 생물의 탁 트인 전망을 제공합니다.Handson 활동과 터치 풀은 그녀를위한 흥분과 학습의 추가 층을 추가했습니다.이 시설은 잘 관리되어 있으며 직원들은 친절하고 지식이 풍부하여 전반적인 경험을 향상시킵니다.Sea Life Bangkok의 보존 및 교육에 대한 약속은 전반적으로 분명해져 재미있는 날뿐만 아니라 어린이들에게 귀중한 학습 기회도 있습니다.방콕을 방문하는 가족들에게 Sea Life Bangkok은 강력한 권장 목적지입니다.그것은 어린이와 부모 모두에게 지속적인 추억을 남길 수있는 유쾌하고 풍성한 경험을 제공합니다.
매우 아름답고, 많은 종의 해양 생물, 아이들은 정말 그것을 즐깁니다.
상어 터널은 나의 방문의 하이라이트였습니다.투명한 터널을 걸을 때 모든 크기의 수많은 상어로 둘러싸여있을 때 광대 한 바다로 옮겨 졌던 것처럼 느껴졌습니다.반짝이는 조명은 마법의 분위기를 조성 하여이 거대한 생물과 함께 수영하는 것처럼 느껴집니다.
경고 수족관 만 방문하려면 온라인으로 예약해야합니다.티켓 데스크는 Madam Tussauds에 입장 할 수 없으면 티켓을 판매하지 않으며, 무수한 엑스트라를 원하는지 묻습니다.따라서 원하는 것을 사전에 결정하고 특정 입장 시간 슬롯을 위해 미리 온라인으로 예약하십시오. 늦었을 때 허용되지 않거나 현장에서 추가 비용을 지불 할 준비가되어 있지 않습니다.나는 엑스트라를 원하지 않았고, 관심이 없었고, 확실히 방문하지 않았던 왁스 워크 박물관에 대한 비용을 지불하고 싶지 않았기 때문에 프론트 데스크를 설립 한 후 온라인으로 예약해야했습니다.많은 리뷰에 따르면, 자연광이있는 어느 곳에서나 접근 할 수없는 작은 펭귄을 보는 것은 끔찍합니다.인클로저의 풍요 로움의 징후는 없습니다.수영장과 다양한 경사 건조 공간이 있습니다.이 수족관은 실제로이 펭귄을 복지에 더 적합한 곳으로 보내고 인클로저를 더 많은 어항으로 대체해야합니다.또는 실제로 정신 복지를 강화하고 기대할 시간을 먹는 것 외에 다른 것을 제공하십시오.이것이 실제로이 장소를 실망시키는 것입니다.펭귄은 제쳐두고, 그 자체로는 나쁜 수족관이 아닙니다. 특히 더 큰 탱크는 볼 수 있습니다.당신은 터널을 통과하고 상어가 머리 위로 수영하는 것을 보게됩니다.해파리와 상어뿐만 아니라 볼 수있는 많은 물고기.
Sea Life Bangkok Ocean World는 특별하고 강력한 권장 목적지입니다.전시 된 광범위한 해양 생물은 놀랍고 매력적입니다.수족관의 각 부분은 잘 조직되어 다양한 수생 종을 쉽게 탐색하고 탐색 할 수 있습니다.나는 다른 섹션들 사이의 전환이 얼마나 매끄럽지 않은지에 특히 깊은 인상을 받았습니다.저에게 또 다른 하이라이트는 4D 쇼였습니다.이 쇼는 방문에 재미 있고 몰입감있는 경험을 추가했습니다.전반적으로, 그것은 아름답게 구조화 된 환경에서 해양 생물을 즐기고 배울 수있는 좋은 장소입니다.","월요일 : 오전 10시 - 오후 8시
화요일 : 오전 10시 - 오후 8시
수요일 : 오전 10시 - 오후 8시
목요일 : 오전 10시 - 오후 8시
금요일 : 오전 10시 - 오후 8시
토요일 : 오전 10시 - 오후 8시
일요일 : 오전 10시 - 오후 8시","수족관, Tourist_attraction, point_of_interest, 설립",Yes
Mahakan Fort,"QG44+66R, Maha Chai Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7556156,100.5055074,"자유롭게보고 걸을 수있는 작은 흰색의 요새.여기에는별로, 벽과 탑의 짧은 스팬이지만 과거에 태국의 요새가 어땠는지에 대한 아이디어를 제공합니다.운하를 따라 요새 옆에 작은 공원이 있으며, 필요한 그늘을 제공하기에 충분한 나무 만 있습니다.요새는 그렇게 인상적이지는 않지만 Wat Saket으로가는 길에 있습니다.
편안한 공원.현지 사람들을 조심하면 친절 해 보이지만 돈을 쓰려고 노력합니다.
요새를 오르지 못하지만 요새와 벽 안에 만든 공원 주위를 걸을 수 있습니다.
내부 도시 주변에는 흰색으로 칠해진이 작은 요새가 많이 있습니다.종종 아름다운 공원이나 정원으로 둘러싸여 있습니다.볼거리, 안에는 아무것도없고 캐논이있는 멋진 장소입니다.
걸어 다니기에 좋은 작은 지역, 잘 돌 보았습니다.그래도 생각했던 것보다 작았습니다.우리를 5 분도 채 걸리지 않았습니다.우리는 Komodo Dragonalligator가 수영을하는 생물을 보았습니다.나는 이것을보고 즐겼다.이 짐승을 조심하십시오.","월요일 : 24 시간을 엽니 다
화요일 : 24 시간 영업
수요일 : 24 시간을 엽니 다
목요일 : 24 시간 영업
금요일 : 24 시간 영업
토요일 : 24 시간을 열었습니다
일요일 : 24 시간 영업","Tourist_attraction, point_of_interest, 설립",Yes
Royal Hall of Piman Rattaya,"200 Maha Rat Road, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7497432,100.4905577,"놀라운
아주 멋진
우와
방문하는 것이 좋습니다.
마을의 새로운 거리",운영 시간이 없습니다,"Tourist_attraction, point_of_interest, 설립",Yes
Alex Face Art,"948 Thanon Rama IV, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",No rating,13.7348786,100.5281129,,운영 시간이 없습니다,"Tourist_attraction, point_of_interest, 설립",Yes
Asiatique Sky,"2194 Charoen Krung Road, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",4.4,13.7052689,100.5031826,"그것은 케이크와 기념품을위한 고급 공개 시장입니다.좋은 분위기, 방콕의 다른 곳에서 얻을 수있는 평균 음식.Chao Phraya River의 Express Boat Service를 통해 일회성을 방문 할 가치가 있으며 쉽게 접근 할 수 있습니다.
1 인당 500baht.관광객으로서 우리에게 돈을 가치가 있습니다.관광객을 제외하고는 많은 사람들이 대기하지 않기 때문에 시민에 대해 확신하지 못합니다.어쩌면 그것은 그들에게 값 비싼 것으로 간주 될 것입니다.약 15mins20mins 정도만 3 라운드 만?나는 Sathorn Pier에서 무료 셔틀 보트를 가져 갔다.그리고 나는 BTS를 Saphan Taksin BTS 방송국으로 데려 갔다.걷는 약 5 분.에스컬레이터 나 리프트가 없습니다.계단의 비행.그러니 가벼운 여행.보트는 30 분마다입니다.오후 4 시부 터 1130pm.여기서 시간을 보내주세요.우리는 아이의 크랭크 성 때문에 많은 시간을 보내지 않는 것을 후회합니다.그러나 당신은 최소 2 ~ 3 시간을 보내십시오.보고 시도 할 것이 많습니다!
많은 레스토랑이있는 아름다운 음식을 먹기 좋은 곳
의류 아울렛, 기념품 상점,
보트 크루즈
아이들은 즐길 것입니다
방문하기 정말 좋은 곳.페리 휠 라이드 가격은 너무 많습니다.단 3 라운드 단지 1 인당 500 바트였습니다.그러나 경험은 놀랍습니다.압도적 인 금액은 없었지만 매우 즐거운 경험이었습니다.다른 활동과 페어링하는 것이 좋습니다.약간 비싸지 만 전반적으로 가치가 있습니다.나는 다시 방문하지만 방콕의 다른 명소를 우선시합니다.","월요일 : 오후 4시 - 오전 12:00
화요일 : 오후 4시 - 오전 12:00
수요일 : 오후 4시 - 오전 12:00
목요일 : 오후 4시 - 오전 12:00
금요일 : 오후 4시 - 오전 12:00
토요일 : 오후 3시 - 오전 12:00
일요일 : 오후 3시 - 오전 12:00","Tourist_attraction, point_of_interest, 설립",Yes
왓 포 동쪽 입구,"PFWV+RJG, Thanon Sanam Chai, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.5,13.7470524,100.4940805,"방콕에 올 때 적어도 한 번 방문해야합니다.그러나 외국인 관광객들에게는 고려가 부족한 것 같습니다.그것은 훌륭한 문화 유산이지만, 입장료가 상승하고 과거 또는 현재 방문객을위한 시설이 없기 때문에 나는 별 하나를 공제하고 있습니다.",운영 시간이 없습니다,"Tourist_attraction, point_of_interest, 설립",Yes
