이름,주소,평점,위도,경도,리뷰,영업시간,카테고리,핫플레이스여부
SANEH BANGKOK RESTAURANT,"372 Thanon Samsen, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.5,13.7628154,100.4985794,"This joint is perfect. Service is what I would call"" relaxed"" which is my polite way of saying that they are perfectly balanced between not giving a toss and being bloody lovely. Food will satisfy the pickiest of eaters as well as purists, and everything is cheap with free ice and Chinese tea to boot away from the bustling street but not difficult to get to, I literally cannot fault this place and I wish I came here sooner so I could eat every second meal here. As all other reviews say, it works for tourists and locals alike and I tend to agree. I saw a complaint about the smells and smoke from the kitchen getting in diners faces but for me this is a plus without question. I want my nostrils to flare with the choices of my fellow diners to sacrifice tomorrow' s rear end. Plus that old abandoned floating barge is Wak. Tops.
Nice food for a good price. We ate there few times for dinner when we stayed in Bangkok. We never waited for food more than 15mins. Very nice Tom Yum soup!
Admittedly, didnt go for the full divein on this one after recovering from some food poisoning on our trip but took some bits here and there of my friends dishes. Love the location.
Favourite place to eat before 56 in Bangkok. Have come here almost every day for the past two weeks and several times on previous journeys. Every dish I' ve tried here is delicious and fresh. The chefs really have a magic touch.
Prices are surprisingly low for such high quality food.
The best food we had in Bangkok. Tasty, super cheap. Great, chilled atmosphere.","Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: Closed","restaurant, food, point_of_interest, establishment",Yes
FOOD UNIVERSE Thai International Cuisine - Century The Movie Plaza Sukhumvit,"Century The Movie Plaza Khwaeng Phra Khanong Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.7,13.7055016,100.6016709,"Taste of the food was really good. But the quantity was kinda less than my expectations. Expensive considering the quantity offered. The kiwi smoothie on the other hand was absolutely delicious and worth every baht! The service was good. The staff is friendly and professional. The ambience is excellent. Their cutlery is very cool.
Recently, I had the pleasure of dining at FOOD UNIVERSE Thai International Cuisine, located in Century The Movie Plaza Sukhumvit, right by BTS On Nut station in Bangkok. This restaurant turned out to be a hidden gem, offering a wide array of Thai and international dishes that delighted my palate. As soon as I stepped into FOOD UNIVERSE, I was welcomed by a modern and vibrant atmosphere. The restaurant is spacious, clean, and welllit, making it a pleasant spot to enjoy a meal. The menu is extensive, featuring a variety of Thai favorites as well as some creative fusion dishes. I was particularly impressed with the attention to detail in both presentation and flavor. One of the standout dishes I tried was the traditional Thai red curry. The curry was rich and creamy, with just the right amount of spice, making it a perfect comfort food. Another highlight was the vegan stirfry rice noodles, which, despite an initial hiccup with the ingredients, was delicious and wellseasoned. The restaurant also offers a dedicated section for vegan and vegetarian options, which is a thoughtful touch for those with dietary preferences. The service at FOOD UNIVERSE was impeccable. The staff were friendly, efficient, and more than willing to accommodate special requests. They provided excellent recommendations and were very attentive, ensuring that my dining experience was smooth and enjoyable. I also appreciated the affordability of the meals. Despite being situated in a prime location, the prices were reasonable, making it a great option for both locals and tourists. The ambiance of the place, combined with the quality of the food, made every baht spent worth it. In terms of feedback from other diners, FOOD UNIVERSE has garnered positive reviews for its diverse menu and quality service. Many visitors have praised the restaurant for its delicious food and welcoming atmosphere. There were a few mentions of occasional inconsistencies with some dishes, but overall, the reviews have been overwhelmingly positive, highlighting the restaurant' s ability to cater to a variety of tastes and dietary needs. Overall, my experience at FOOD UNIVERSE Thai International Cuisine was exceptional. The combination of great food, excellent service, and a comfortable dining environment makes it a mustvisit spot in Bangkok. If you find yourself near BTS On Nut, I highly recommend stopping by FOOD UNIVERSE for a memorable dining experience. You won' t be disappointed.
Speechless! !! !! !
It' s not cheap and it got great points on Googlemaps so we have expectations.
However, the spaghetti is too salty and the shrimp in it is not fully cooked. It' s a little raw. And the fried pork chop is not good either. The noodle soup is almost uneatable. The only notbad item is chips. I saw 4. 8 points and went here. DON' T KNOW WHY it is like this! !! !! !!
Had lunch here seeing the awesome reviews and also since the place is right next to metro station. Service is nice, however, the food taste in general could have been better.
Great atmosphere. Great food. If you are in the area stop by for a meal.","Monday: 12:00 – 10:00 PM
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 10:00 PM
Friday: 12:00 – 10:00 PM
Saturday: 12:00 – 10:00 PM
Sunday: 12:00 – 10:00 PM","bar, restaurant, food, point_of_interest, establishment",Yes
Sit and Wonder,"119 Soi Ban Kluai Nuea, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.5,13.7252216,100.5800577,"We ordered this steamed seafood curry, which was absolutely delicious. Ate it with rice, some clear Tom yum soup and Phad Thai and finished with a mango sticky rice. Oddly the mango sticky rice was served with a scoop of vanilla ice cream. The mango wasnt particularly sweet but the sticky rice was good. Also my mango shake wasnt all that great. Overall the steamed seafood curry was so phenomenal that despise those flavors its still a 5 food rating. PS loved the deco and environment inside.
The name of restaurant really suits the place as it does make you sit and wonder when look around. The staff were friendly, and the ambience is really good too. Not too loud and not too noisy. The food was incredible as well. The Mango Sticky Rice is amazing!
I love this local Thai restaurant! The decor was such a vibe, with old film cameras and artsy things on the shelves. The chicken pad thai was only 75 baht and was very tasty! The watermelon shake cost 70 baht and that was also delicious! Yummy food, amazing prices, lovely service, and a very welcoming atmosphere. 1010
I stopped in here for a quick, light meal. I decided on Thai iced coffee, some wings and the papaya salad. All three were great! The papaya salad was awesome and as the coffee. The wings were maybe a bit over cooked but nonetheless, had excellent flavour!
2 minute walk from Marriott Hotel. Cute little place. Air conditioned. Thai food. I had the pad Thai which was OK. Only 75 baht. Much cheaper than the hotel. The sweet lemon tea was way too sweet. The iced long black was perfect. Happy with the flavour and strength. I was able to sit here for a few hours working. I enjoyed the energy of the place. A nice amount of people, music was comfortable volume, and people not speaking too loud. Many people seemed to be here for some work discussions. The staff don' t speak much English but are still friendly. The menu has English and Thai writing. Note if your bill is less than 300 baht you need cash, not card. My two drinks and meal was less than 200 baht, thankfully I had cash.","Monday: 11:00 AM – 10:30 PM
Tuesday: 11:00 AM – 10:30 PM
Wednesday: 11:00 AM – 10:30 PM
Thursday: 11:00 AM – 10:30 PM
Friday: 11:00 AM – 10:30 PM
Saturday: 11:00 AM – 10:30 PM
Sunday: 11:00 AM – 10:30 PM","restaurant, food, point_of_interest, establishment",Yes
Pad Thai Kratong Thong by ama,"270 272 Maha Rat Road, พระบรมมหาราชวัง Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.7,13.7464528,100.4908002,"loved everything i ordered here, my family also very enjoyed the food and i took some for takeaway too! their mango sticky rice is a must to order. sadly they dont accept takeaway otherwise i wouldve bring them with me too coconut water is definitely my gotodrink absolutely! cant describe my feeling when i visited here, its wonderful! i love the way they keep smile and respectful while serving the customers especially a guy with the hair tied, he is very good and friendly ps the last picture u will see 2 bowls of ice, this to tap in our skin to make our body feel more refreshed after the hot weather out there This is my best place for food in Bangkok. They have some good choices of food with reasonable price. You will find a long Q but believe me, it is worth to try. The owner is extremely nice and friendly. Staffs are all friendly too. The place is small but very well organized. Highly recommend to visit
Delicious food overall! Long queue. Efficient ordering system, our orders were taken while in the queue and food was quickly served when seated The restaurant has some nice bohemianlike interior. Boss is friendly and looks like Thaiversion of Bob Marley This is the best food place in Bangkok with reasonable prices and a bohemianlike interior. You will find a long queue, but believe me, it is worth trying. It' s just the opposite of Wat Pho temple. The mango sticky rice is a musttry. The staff is friendly and wellorganized. Boss is friendly and looks like a Thai version of Bob Marley. They provide 2 bowls of ice to tap into our skin to make our bodies refreshing after the hot weather out there. The pad thai and thai curry are delicious. The tom yam had the perfect balance of sweet, sour, and spicy, and the pad thai had those satisfying chewy noodles. The restaurant has a charming atmosphere with seating for around 40 customers.
All good.
Delicious.
Must try.
Very good cuisine restaurant.
No air conditioner but they provide a bowl of ice for cooling. They use broken chairs in restaurant and at the end they give me a stone as a gift.
Love this restaurant.","Monday: 10:00 AM – 5:30 PM
Tuesday: 10:00 AM – 5:30 PM
Wednesday: 10:00 AM – 5:30 PM
Thursday: 10:00 AM – 5:30 PM
Friday: 10:00 AM – 5:30 PM
Saturday: 10:00 AM – 5:30 PM
Sunday: 10:00 AM – 5:30 PM","restaurant, food, point_of_interest, establishment",Yes
Inter Restaurants since 1981,"432/1-2 Soi Siam Square 9, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,13.744237,100.5335022,"authentic thai restaurant in the heart of Bangkok Siam square. good place to stop by after shopping in the area.
good food with reasonable price.
the queu is long but does not take lot of waiting time to get in.
the atmosphere is local vibe, not luxury but clean and well organized.
the taste is quite strong kinda salty to someone but will be balance when eating with rice or rice noodles.
highly recommend green curry dish.
1 thing we did not satisfy was the dish we ordered was out of stock but they only let us know after waiting for almost 20 mins.
last order at 8. 15pm and the restaurant closes at 8. 30pm.
A highly acclaimed and widely recognized restaurant that draws a diverse clientele. While the staff was satisfactory, there was a 30minute wait time. However, we took advantage of this by enjoying a leisurely stroll in the vicinity. The culinary offerings were prepared promptly and proved to be both delectable and satisfying. There were no dishes that failed to meet our expectations. Particularly noteworthy were the grandma fried rice and the papaya salad, which we had the pleasure of trying for the first time here and found to be exceptionally wellexecuted.
Prices are reasonable too and cheapish.
The food has a high costperformance ratio and tastes great. The service is fast, and there are plenty of seats. Located in the bustling Siam Square, it' s very convenient and a great spot for group gatherings!
One of my favorite restaurants in Bangkok during our trip, we went here almost everyday. The line could get pretty long, but it goes by pretty fast. They make one of the best fried rice ive tasted in Bangkok, affordable price too!
This is one of my friend' s favorite restaurants in Siam Square. First of all, it took a while to get through the queue since this place is quite popular and busy all the time. The menu is a Thai variation with some fusion and international food. The taste doesn' t seem to be more particular than other restaurants to me, but the price is definitely cheaper, though it' s pricelier than street food. The service is quite great, the atmosphere is alright, and the place is wider than I first thought.","Monday: 11:00 AM – 8:15 PM
Tuesday: 11:00 AM – 8:15 PM
Wednesday: 11:00 AM – 8:15 PM
Thursday: 11:00 AM – 8:15 PM
Friday: 11:00 AM – 8:15 PM
Saturday: 11:00 AM – 8:15 PM
Sunday: 11:00 AM – 8:15 PM","restaurant, food, point_of_interest, establishment",Yes
Bangkok Banjom,"Thailand, Krung Thep Maha Nakhon, Vadhana, Krung Thep Maha Nakhon, Soi Sukhumvit 63, Horizon Eakkamai",4.6,13.7214202,100.5848237,"My wife and I recently came back from our first visit to South Korea and she was looking for high rated restaurants in Bangkok. We finally were nearby enough to visit. It did not disappoint. We had only one issue that I had ordered boiled dumplings and received fried but they were still good. Thick dumpling skins.
Not recommended to go at 3pm because the resto closed from 3305pm. I went at 305pm and rushed myself badly. The waitress get off from worked punctually. I had my leftover food packed and left at 335pm. Am not sure because I walked in late or not but the cashier seems cold. Shrimp fried rice has nice aroma from the wok but tasteless and the shrimp is the cheap frozen type. I asked waitress if the combo comes with janjanmian. I misunderstood that it would come with noodle but its not. Another dish is lemon creme shrimp sauce. They use a better quality of shrimp and bigger size. Taste sweet but delish. Better eat fresh cook coz they r batter deep fried. It becomes socky if u pack home. Overall i prefer other dishes i tried before.
There definitely seems to be a hygiene issue. I didnt have to go to the hospital like some of the other reviewers, but I had severe diarrhea all night. .. The food was tasty, but I suffered all night. Im never going back.
The restaurant is run by a Korean. Design is simple and clean. Not many tables but it is full when we went for a Sunday lunch. Water and appetizers are at free flow as the same as other authentic Korean restaurants. The price listed on the menu is net price without surcharge. The dishes are hot and delicious. The portion is very big. The ice cream cooler outside the restaurant is also interesting. The Thai staff provided not so good services. However the Korean is very nice.
It' s just like a Korean style chinese food.
You don' t need to pay for the water. ..
It' s better than Korean Chinese restaurant. .
I actually don' t eat the jjambbong soup whereever I go. .. .
But it' s my first time to finish up the soup twice. ..
It' s really delicous. ..
Aug 31st' 24
Still great taste and service. .","Monday: Closed
Tuesday: 11:30 AM – 3:30 PM, 5:00 – 8:30 PM
Wednesday: 11:30 AM – 3:30 PM, 5:00 – 8:30 PM
Thursday: 11:30 AM – 3:30 PM, 5:00 – 8:30 PM
Friday: 11:30 AM – 3:30 PM, 5:00 – 8:30 PM
Saturday: 11:30 AM – 8:30 PM
Sunday: 11:30 AM – 8:30 PM","restaurant, food, point_of_interest, establishment",Yes
Jok Pochana,"34 Thanon Samsen, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.4,13.7635575,100.4995976,"Not sure how this rating isnt an easy 5, the food and flavour here is incredible! We ordered the chicken massamun, stir fried morning glory, and the fried duck with deep fried holy basil leaves and it was YUM and everything tasted very fresh! The service was great and the chef and staff and are super friendly and lovely! YOU MUST GO HERE.
What a lovely little find! The food was delicious and all cooked very fresh right in front of you. All staff were very friendly and welcoming and the service was great. There is a great menu for vegetarians and we can highly recommend the spring rolls, Mamma Soup Papaya salad! We will definitely be back to eat here again and will recommend to others. Thank you!
Authentic Thai food with super high value for money! Nice staff and services
The food was tasty and the service was l good! ! There was a cute lady that recommend us the top dishes. Its really a good choice for local Thai food experience as they cook at the street. I order the crab dish it was good and the crab was tasty and fresh, the chicken noodle soup was too salty for my taste
After exploring many of the different restaurants in the area we found this on the last night of our stay. A crossover from a restaurant to street food, we shared a table with a German family to experience one of the loveliest meals we have had. Everyone likes something different, so pick your favourite and you wont be disappointed","Monday: 4:30 – 11:00 PM
Tuesday: 4:30 – 11:00 PM
Wednesday: 4:30 – 11:00 PM
Thursday: 4:30 – 11:00 PM
Friday: 4:30 – 10:30 PM
Saturday: Closed
Sunday: Closed","restaurant, food, point_of_interest, establishment",Yes
Ruenton Restaurant,"54 Surawong Rd, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.4,13.7309456,100.5315092,"The Ruenton Restaurant has been awarded the Michelin Bib Gourmand for two consecutive years, thanks to its incredibly delicious Hainanese chicken rice. One order is enough for two people to enjoy.
The restaurant has recently been renovated in a retrochic style. I went out for lunch with my family. Normally, I would order Hainanese chicken rice, but this time, I decided to try something different. Unfortunately, I was disappointed with my choice because the seafood wasn' t freshit was clearly frozen. Considering the price and the fact that this is a hotel restaurant, more attention should have been given to the quality of the ingredients. For the service, I would rate it 3 out of 5. Compared to the service before the renovation, it was much better back then. The staff used to be very attentive, but now it' s not the same, which leaves me feeling disappointed. I hope that in the future, the restaurant will improve the quality and freshness of the ingredients, as well as the service. If these improvements are made, I will definitely return to dine here again.
Another great chicken rice! My my fav menu is absolutely the chicken rice. The bean also surprisingly good. Their yentafo was quite sweet not my preference. The chicken rice come with huge portion. Which i can share with my mother and both still getting full. Really enjoy every component of it. Good as always. Ps. their chrysanthemum tea was super aromatic.
Nothing much to say it is the legendary place for chicken on rice in Thailand always in TOP 5 best list so you wouldn' t go wrong much here but surprisingly the other dish was nice too so i would recommend to try it out
Absolutely delicious chicken rice, Chinese food and Thai dessert! I love Chicken rice because the chicken was tender, and the rice perfectly cooked. Great value for money. The staff were friendly, and the ambiance was welcoming like home. The chicken rice exceeded my expectations flavorful and cooked to perfection. Will definitely be returning.
The Hainan chicken rice is seriously good, definitively one of the best I ever had. The portion is gargantuan will feed two easily. And if you just wanna try a bit of everything, one order for three persons is sufficient. The roast duck is juicy, and goes well with plain jasmine rice, but not 5 stars. Lacking crispy skin. And I also prefer less sauce on my duck. Dim sum is 5 stars. Very proper hargow, siumai, tarogok, and tofu skin rolls. Revisited July 2024 added hargow photo and tried their braised pork meaty and tasty. One of the best hargow in town. Taro dumpling best in town.","Monday: 11:00 AM – 9:30 PM
Tuesday: 11:00 AM – 9:30 PM
Wednesday: 11:00 AM – 9:30 PM
Thursday: 11:00 AM – 9:30 PM
Friday: 11:00 AM – 9:30 PM
Saturday: 11:00 AM – 9:30 PM
Sunday: 11:00 AM – 9:30 PM","restaurant, food, point_of_interest, establishment",Yes
Sookdal Premium Korean BBQ,"92/1-3 94 Rama I Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.8,13.7472069,100.5240678,"Overall, a truly absolutely amazing experience. The grilled meats, side dishes and cold noodles were all very flavourful and tasty. Service was impeccable, meat grilling was done by their welltrained staff, and side dishes refilled without you even requesting. You only ever needed to lift your hands to feed yourself. The entire experience was so good that my family and I dropped by twice during our 1 week trip. If you want the best KBBQ experience that Bangkok has to offer, this is the place to go to.
A very satisfying Korean BBQ meal! We ordered a beef set 2250 that came with three different types of aged beef, a Korean shabushabu, and various side dishes, including grilled cheese, pineapple, and mushrooms. The beef was tender and delicious. I particularly enjoyed the grilled cheese beef rolls, where melted cheese wrapped around the juicy beef. Just eating the grilled beef alone was filling enough, but we also had the hot pot, mushrooms, and other side dishes. .. and also watermelon after the meal. It was truly abundant! The restaurant is only a few minutes walk from the National Stadium station. The atmosphere is great, and the dining space is spacous even you have only two people. You don' t have to do the grilling yourself as experienced staff will take care for you. BBQ lovers shouldn' t miss it!
Phenomenal Korean BBQ experience in Bangkok, only good things to say! Ordered the Beef Set to share between two and it was perfectlyportioned and wellpriced 2, 350. The selection of meat was incredible, but me and my boyfriend agreed that the ribeye and short rib were better than the brisket. The banchan was very delicious, we especially loved the japchae and kimchi. The cheesewrapped beef in the end is also a delight, but a very rich mouthful! We ordered tteokbokki and it was also very tasty, with a nice seafood taste. The whole process is so smooth the meat is cooked to your liking by the staff, and the banchan refilled without asking. The staff are very friendly and attentive they ask you how rare you want your meat to be cooked, change the grill according to the meat being cooked, and frequently adjust the exhaust fan so there is no oil spatter they provide aprons and plastic bags for your bags, so if there is any there is not a worry. They dont take reservations and Id imagine it gets pretty busy on the weekends, but we went on a Monday around 6 and didnt have any issues. Better than any Korean BBQ Ive had in London, Singapore, and Toronto, so if youre in Bangkok and want Korean BBQ this is a must!
A wonderful well service 2 floors restaurant. The meats are bbq by the staff. As we are eating slowly, the waitress is kind enough to ask if she should stop the bbq and come back later after we finished the meats on the plates.
They are also attentive to you and ask if refill is require when you have finished the side dishes and the sauces.
Definitely worth every penny. Amazing meat selections. Staffs were friendly and they do grill the meats for you. Kimchi tasted really good. Seared mozzarella definitely blew my mind well combined with the grilled meats. Went around 5pm and was a 1 hour waiting time but definitely worth the wait.","Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 10:00 PM
Friday: 11:00 AM – 10:00 PM
Saturday: 11:00 AM – 10:00 PM
Sunday: 11:00 AM – 10:00 PM","restaurant, food, point_of_interest, establishment",Yes
Thipsamai,"313, 315 Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.2,13.7527976,100.504823,"We visited this restaurant because it' s often hailed as one of the most recommended spots in Bangkok for Pad Thai, with the added prestige of being recognized by Michelin for its street food. The variety of Pad Thai options on the menu was impressive, and the flavors were generally good. However, I found the dish to be a bit too sweet for my taste. After trying other lesserknown spots around the city, I have to say that this place feels a bit overpriced for what it offers in terms of flavor. While the food is decent, it' s not the best Pad Thai Ive had in Bangkok. That said, the service here is topnotchthe staff are friendly and attentive, which made the experience more enjoyable. The restaurant itself is clean, wellmaintained, and provides a comfortable atmosphere, making it a great place to relax for an extended period. However, both tourists and locals may find it quite expensive, especially given the range of affordable and equally tasty options elsewhere in the city. Overall, its a good place to try, but if you' re looking for the best value for money, you might want to explore other options.
I hear the lines are long to eat here. Thankfully my party attended on a Monday afternoon and we were seated right away. At our table we had shrimp pad Thai, chicken pad Thai, and another shrimp dish. No one was disappointed. One may argue theres smaller, less touristy pad Thai joints, that edge this place out but come here for the iconic experience and wont walk with a disappointed pallet. One of the most famous Thai street food restaurant in Bangkok. The queue was crazy when we were there but we were persistent as well. Waited for a few hours just to have a taste of it but there wasnt any regrets. The pad Thai was really the best I ever had. I wasnt really a pad Thai fan to begin with. I felt that the dish was very heavy on carbohydrates and eating too much made me feel bloated. But the pad Thai here wasnt like that. It wasnt as heavy as I would expected. Savory and sweet at the same time. The prawns were huge and fresh. The prices were high based on local standard but I still thought its worth it. At least try it for once but I probably wouldnt want to queue for hours again.
Since 1939, Thipsamai Pad Thai has redefined the standard of Thai street food, serving one of Thailands most famous dishesPad Thai. The original restaurant offers a clean, fully airconditioned environment, making it a comfortable dining experience. The customer service was exceptional, and the food was superb. We thoroughly enjoyed every dish. We even decided to order takeout and bought some meal prep kits to try at home. Their freshly squeezed orange juice is a musttry! We highly recommend this restaurantcome and experience it for yourself!
I visited this restaurant because its often praised as one of Bangkoks top spots for Pad Thai, even earning recognition from Michelin for its street food. The menu offered a great variety of Pad Thai options, and while the flavors were decent, I found it a bit too sweet for my liking. The highlight for me was the orange juicethough pricey, it was absolutely delicious and highly recommended. Be prepared for long queues.","Monday: 9:00 AM – 12:00 AM
Tuesday: Closed
Wednesday: 9:00 AM – 12:00 AM
Thursday: 9:00 AM – 12:00 AM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:00 AM – 12:00 AM
Sunday: 9:00 AM – 12:00 AM","restaurant, food, point_of_interest, establishment",Yes
