이름,주소,평점,위도,경도,리뷰,영업시간,카테고리,핫플레이스여부
centralwOrld,"999/9 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,13.7465337,100.5391488,"Good place for shopping and hanging out. Enjoyed a delicious dinner at Santa Fe restaurant. Enough space for parking. Got to see some food exhibition from top chef participating in different food competitions in that Titanic hall. I did some shopping and had a good time with my friends. One of the recommendation while you visit in Bangkok.
Central World aspires to be more than just a mall, but a place where everyone comes to enjoy and celebrate life and the lifestyle one seeks through yearround activities and events which aim to excite and inspire. A mustvisit destination for local and foreign shoppers right in the middle of Bangkoks most prestigious address, Central World covers a retail floor area of 830, 000 m at Ratchaprasongintersection.
Everybody knows Central World as it is located right at the heart of Bangkok and Supermarket BigC is just across the street.
The only comment I' d like to add is the mini food court on the 3rd floor, where you can sit down, eat your purchased food and take a good view on the hustle and bustle streets through the windows. The corner has a number of eatery stalls but not all shops were rented out the day we went, so it was kind of quietgood for us tourists who wanted to relax and chilled out after hours of shopping.
Kind of one of the biggest shopping Mall in BKK. All brands are here and also enjoy the foods there as well as have inside and night market infront. ..
I didn' t really spent a lot of time here but I didn' t have any issues in my stay here. It is a big mall but it is easy to navigate because it has a lot of monitorsguidemap inside the mall to help you find what you are looking for. Or you may ask the staff of the mall for assistance. For my eyes, it looked clean and well maintained. If I have more time in the future. I will visit here again.","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
MBK CENTER,"center, 444 M.B.K. wangmai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.3,13.7447542,100.529956,"The mall is designed like an indoor night market. Although there are restaurants on every floor, the first floor and the top floors have most. Walk to the middle escalators to reach the top floor quickly. Rather than use the other escalators that make you go around in a maze to find them. The silliest thing I' ve seen is floor 3 which is just armies of smart phone sellers. Other than that the mall is a nice mall with a nice looking slick design for the exterior.
This famous shopping mall located in this area for a long time. A lot of restaurants and shops with a floor of mobile phone selling.
A large area of food court with many shops offer and and a nice city view at the window area.
Haning a cinema and karaoke on the 7 fl. too.
Parking are available on their building.
Loved the experience of MBK. A multistoreyed mall with varieties of outlet to do shopping from.
The pricing is not out of the world, and they do announce discounts on the products, so keep your eyes open for sales items.
The food outlets spoil you with choices, and you can go back again to try different places there.
The location is at a busy area of the city and can get really crowded during the peak office hours.
Parking is indoor and available easily.
A good mall that has been revamped and is much better in it' s current incarnation than when it was new. The mall is connected to the Pathumwan Princess Hotel. The mall has sufficient atms and money changers to cater to tourists. One can find shops selling clothes, nail spas, jewelery, salons, themed restaurants, thai restaurants, cafes eg Starbucks, fast food restaurants such as Burger King. A great mall all of 7 floors and you will need quite some time to get through all the shops and all the 7 floors.
MBK centre mall is a vibrant mall with huge varieties of stores and products. Food courts offers variety of eating options. Clothing and shoe shops offer good choice and bargains. But don' t forget to haggle in Thailand.","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
The Platinum Fashion Mall,"222, ชั้น 11, อาคารเดอะแพลตตินัม แฟชั่นมอลล์, 1398 Phetchaburi Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",4.3,13.7502222,100.5395103,"Like the name implies Nothing but clothes, fashion accessories and beauty products. There are some good restaurants and a food court on the top floor. Super clean and fancy indoor design. There is a sky walk to Central mall and next door is Phenix mall which is an outlet mall with a good food court and underrated restaurants. There is a BK at the bottom and a skywalk to even more clothing and fashion products in smaller malls across the street. The side streets next to the mini malls have local food restaurants no chain restaurants.
Paradise for shopping! Im from India and Id recommend anyone from India to surely go here for shopping. We spent almost 2 days shopping only in this mall. Its heaven. So many options and variety and very affordable pricing. Please go to each floor and check stuff, then start buying. As an Indian i dont recommend having food from food court as its 99 only Thai food. The one Indian restaurant was selling stale food. Please go out and walk towards pratunam and find proper Indian restaurant who serves fresh and tasty food. They are also Available on Google map. Do not miss platinum mall if youre in Bangkok. THEY DO NOT GIVE ANY EXCHANGE OR ANY TRIALS. BE 200 sure before buying. All the shops have same policy here.
Good place clothing shopping in Bangkok for adults and kids. Luggage shops are many. Food court is on the top floor. Place is neat and clean. Shop owners are friendly. Price is fixed. Higher than road side places. Quality is so so
One of the most versatile malls in Bangkok. For clothes, bags, accessories, etc this is probably the best mall in Bangkok. It' s got many floors and each floor would easily have more than. 100 stalls. It' s not easy to find a store unless one remembers the shop numbers.
It' s priced well, and one can bargain here as well.
It' s no wonder that this mall is one of the ladies favourite in Bangkok.
Probably the busiest shopping mall right now in Bangkok and also known as the Best Wholesale Fashion Hub of Asean. But most of the clothing shops here are repetitive but prices vary depending on your bargaining skills. .! Wellconnected by the skywalk to the nearest BTS Ratchathewi which is an easy16 mins walk 1. 1km or the Ratchaprarop Station airport rail link which is only 10 mins walk 750m via exit 1.","Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
Siam Center,"979 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,13.7462793,100.5326779,"Siam Center in Bangkok is a trendy shopping destination, perfect for window shopping. The mall features a wide range of international and local brands, offering the latest in fashion, beauty, and lifestyle products. The innovative and stylish design adds to its appeal. While it can feel confusing and congested at times, the vibrant atmosphere and unique retail concepts make it an interesting place to explore. With plenty of dining options and its central location, Siam Center remains a great spot for browsing and experiencing Bangkok' s shopping scene. Four stars.
Another mall in the Bangkok Siam shopping district. This mall is really fun and has a great food court upstairs. Lots of wellknown shops and is very popular among tourist. Its also one of the malls that connects the network of Sam malls in the area. Easy to access and a great place to come and spend a few hours.
During my recent trip to Bangkok this past May, I had the pleasure of exploring Siam Center, an iconic shopping destination that perfectly encapsulates the vibrant spirit and modern flair of this bustling city. Located in the heart of Bangkok, Siam Center isnt just a mallits a cultural experience that seamlessly blends fashion, art, and technology. From the moment I stepped inside, I was struck by the centers chic and avantgarde design. Every corner of the mall exudes a sense of creativity and innovation, with stunning installations and art pieces that make you feel like youre walking through a contemporary gallery rather than a traditional shopping complex. The ambiance is further enhanced by the clever use of lighting and open spaces, creating an inviting atmosphere thats both dynamic and relaxed. The retail offerings at Siam Center are nothing short of impressive. Whether youre a fashion enthusiast, techsavvy shopper, or simply looking for unique souvenirs, the variety of stores caters to all tastes. International luxury brands sit comfortably alongside trendy local designers, offering a curated selection that reflects Bangkoks status as a global fashion hub. I found myself particularly drawn to the boutique stores that showcase emerging Thai designerseach piece felt like a oneofakind treasure. Foodies will also find Siam Center to be a culinary paradise. The mall features an eclectic range of dining options, from gourmet restaurants to cozy cafes, each offering a delightful array of international and local cuisine. During my visit, I indulged in some of the best Thai street food Ive ever tasted, all within the comfort of this stylish setting. The attention to detail in both presentation and flavor was truly remarkable, making for a memorable dining experience. What sets Siam Center apart from other shopping destinations is its commitment to innovation and sustainability. The mall incorporates cuttingedge technology in its services, ensuring a seamless shopping experience. Additionally, its focus on sustainability is evident through various ecofriendly initiatives, which is a refreshing sight in todays retail landscape. In conclusion, Siam Center is more than just a shopping destinationit' s a vibrant showcase of Bangkoks modern identity. Whether youre visiting for the first time or returning as a seasoned traveler, this mall offers something new and exciting with every visit. I highly recommend adding Siam Center to your Bangkok itinerary. Its a place where creativity, culture, and commerce collide, leaving you inspired long after youve left its stylish halls.
Weekday quiet. Excellent for those that want to take things slower and not feel too anxious with many other shoppers around. All shops open. . promotions ongoing. . and browsing encouraged. Catering to perhaps a younger crowd. .. .. Combine with all the delights of the surrounding area and convenience of BTS Siam.
as with Siam Paragon, Siam Discovery, Siam Centre shopping mall has a lot to see, shop and to eat with many restaurants, and eating establishments, and while Siam Paragon seems more focused on tourists and big budget spender, this and Siam Discovery seem more focused on more budget conscious spenders, locals, youngsters and young at hearts with more diverse price range products, although i also see lots of tourists touring around in the mall","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
Siam Paragon,"991/1 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,13.7457749,100.5344017,"This mall is connected to other malls nearby. One of the most iconic and crowded malls in Bangkok. Lots of great shops inside. Good food at ground level. Found a halal restaurant there. Not much halal food. A praying room is available at the basement level near the lift.
Wow this is a beautiful luxury shopping centre. I got myself a laptop a lot cheaper than home. Great service as I was able toclaim. VAT at airport also the salesman gave me a discount from half yearly sales as well.
One of the biggest mall and they have most of the famous brand there and lots of food stalls. All the items are expensive than other local places so you can explore the market and food stalls. If you want to buy branded products you can purchase here
This is one of the more iconic malls in all of Thailand. The area of town is really nice and has several large malls connected together. This mall has an aquarium, lots of great shops, and an amazing food court downstairs. Its a pretty fun place and you can spend Hours here getting lost in the mall. Definitely a must see on your trip through Bangkok.
Siam Paragon Luxury Vibes, Great Destiny Siam Paragon is truly a gem in Bangkoks shopping scene, offering an unparalleled luxury experience. From the moment you step inside, youre greeted with an atmosphere of elegance and sophistication. The interior design is a perfect blend of modern architecture and opulent decor, making every visit feel like a special occasion. The variety of highend brands available is impressive, catering to fashion enthusiasts, tech aficionados, and gourmet lovers alike. Whether youre looking for the latest designer clothing, cuttingedge electronics, or exquisite dining options, Siam Paragon has it all. The gourmet market and numerous finedining restaurants ensure that every culinary desire is met with quality and style. Moreover, Siam Paragons central location makes it a key destination for both locals and tourists. Its easily accessible and provides a convenient gateway to the surrounding attractions. The service is impeccable, with attentive staff ready to assist and enhance your shopping experience. In conclusion, Siam Paragon offers a luxurious vibe and truly lives up to its reputation as a premier shopping destination. Its a mustvisit for anyone seeking a taste of luxury and a memorable shopping experience in Bangkok.","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, Department_store, 가게, point_of_interest, 설립",Yes
Siam Discovery,"194 Phaya Thai Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,13.7468291,100.5313447,"The centre offers a lot of international brands and a big eco store as well as various food and drink stands, restaurants and cafes. The restrooms at this place are wellmaintained and spotlessly clean. Additionally, on the upper floor, there' s a comfortable area where you can easily find a seat to either work or relax without feeling pressured to make a purchase. The AC is way too cold so you can' t stay inside for too long if you don' t want to catch a cold.
This is a fun mall with lots of shops. There are tons of things to see. Its connected to the larger network of malls and makes it easy to get to. The outside area is very nice and picturesque. This is a must see space on your tour of downtown Bangkok.
Siam Discovery offers a great retail experience with a diverse range of branded clothing and lifestyle products. The interior is welldesigned and visually appealing, it was a pleasure to explore. Plenty of options to choose from. We had a satisfying shopping experience.
Wonderful experience from this mall! !! The style, the ambience, the brands the services are so on point. Gotta come back again for sure. xoxo
Damn I love huge malls like these! No matter how burning hot its outside, its always 18 degrees inside and you know it ","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
Tha Maharaj (Shopping mall),"1, 11 ตรอก เสถียร แขวง บรมมหาราชวัง Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",4.3,13.754733,100.488722,"One of the best places to see the sunset. When we arrived, the entire river looked golden orange. The horizon has silhouettes of the cityscape and the sky was beige and pale pink. There' s a parking structure that we parked our rented motorcycle. If you purchase anything in the mall, you can either get free or discounted parking. There' s a lot of stores and most of them are either food stalls or restaurants. It has a very lively atmosphere and vibe.
Small shopping center. Not many choices of restaurants and shops. But offers a great view on the river!
Familyfriendly mix of shopping, market stalls, restaurants and coffee shops, theres also a couple of weed shops too. The shops and restaurants are nothing special, Bonchon, Subway, Starbucks, etc, but the main attraction is it has a good waterfront view and promenade, plus a 5 THB river taxi to the Tha Wang Lang pier on the other side.
Obsessed with the vibe of crafted stuffs and chilling with the river view Spent my weekends walk around weekly themed market. Experiencing festive year ends in the winter market enjoying festive coffee, cute decorations, and photobooth. A nice place for weekend revisit!
Perfect destination for grabbing some coffee or a nice meal while enjoying the beautiful river view. Plenty of coffee shops, restaurants, dessert cafe, souvenir shops and etc. Sometimes theres a live music show making the place very lively. They have parking lots available or you can also get here by Chaophraya Express boats, ferries and buses.","Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 9:00 PM
Saturday: 10:00 AM – 9:00 PM
Sunday: 10:00 AM – 9:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
Terminal 21 Asok,"88 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Khet Thawi Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.6,13.7379452,100.5604614,"A very popular shopping centre for tourists as the location was very centralized. Many different shops and items could be found here at the mall. The food court also served quite a number of delicious local cuisine. One can spend a few hours simply browsing through all the stores located inside the mall. The top levels are where most of the restaurants are located. You could find many different type of cuisines as well. Overall, this will be a heaven for shopping fanatics. Washrooms are clean as well.
Great mall smack in the center of the bts and metro. Very accessible and a lot of shopping options. Food selections were outstanding and reasonably priced. Definitely worth the visit when you are near the area.
A huge shopping center, cozy, there are at least two currency exchange points. A variety of shops and a large food court.
You can go here not only for shopping, but for the pleasure of seeing a beautiful shopping center, even toilets here are a separate form of art!
Food court offerings are usually average at best, more often than not it' s a mediocre replica. When I had lunch with wifey here, I found it hard to like the food. You can also usually see the reasons why the food aren' t good. Attitude I see tired overworked workers who can' t really be bothered and are robotic in their actions. Already that' s not a recipe for making good food. Food courts are meant to make money, a goal that it places above making good food. In order to achieve that, recipes are standardized so literally anyone with some training can do it. Yes I dislike food courts. Yet I sometimes visit them out of necessity especially if I' m eating with a big group. We can eat together and at the same time pick what we want to eat. Eat to live, or love to eat? Food courts are obviously created to serve the former.
Pier 21 food court is the place well always visit to get cheap thai street food that is hygienic would not cause diarrhoea. Thats the main point wed always come back here theres also other noteworthy restaurants cafes in this building but thats the one wed always come back for.","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, Department_store, 가게, point_of_interest, 설립",Yes
Central Chidlom,"1027 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,13.7440648,100.5443437,"Central Chidlom has truly outdone itself with the recent renovation. As one of Bangkok' s OG department stores, it now boasts a compact and easytonavigate layout. The new design is fantastic, offering a quiet and pleasant shopping experience. There are numerous offers on products ranging from cosmetics and luxury brands to kids' appliances and kitchenware. Even if you' re not shopping, it' s worth a visit just to admire the place itself!
Wow the Chidlom location has gone through a massive renovation and it has a lot more luxury brands than before. VM has definitely improved and there are more new brands that I have not seen elsewhere in Asia like Sporty Rich. Worth a visit and it connects to Central Embassy and there are tons of food options on the way there.
The department store has a refreshing facelift since my last visit in Sep 2023 Glad to see its more arty, lively and young. .
Central Chidlom is one of the Original Central stores in Thailand.
The department store just been renovated as of Q2 2024. With still keeping its heritage floorplan, the newly renovates space becomes more modern and vibrant for each floor. The fasion zone for both men and ladies are slight more premium and more focused on imported fabrics luxury zone. Muji is still located on the higher floor floor 6th. The basement level are tops supermarket zone as well as the foodcourt or known as FoodHall.
This is a large department store under the central group which I think is probably the largest department store mall chain in Bangkok. They offer fashionable clothes here as well as shoes, accessories, personal hygiene, cosmetics, skin care and so much more. This place is connected to Central embassy","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","Department_store, 쇼핑 _mall, 가게, point_of_interest, 설립",Yes
EmQuartier,"695 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.5,13.7312253,100.5694763,"A fantastic mall, everything you need is there.
Great food court, The Gourmet market is big, all luxury brands around.
Most shuttle buses for the hotels are parked at the opposite building.
An easy move around.
7 minutes walking distance to Msphere, another mall with lots of shopping and food restaurants.
A great location!
Nice area for shopping. There are various brand name shop, grocery store, and restaurants here. It occasionally has flea market at Ground floor as well. Take a stop at BTS Phrom Phong and you will find Ems there.
A upmarket mall boasting many international brand names having shop in the mall. There is a food court that host a number of famous street food names as well. Went to the UOB infinite lounge here and walked around the shopping mall. There are many good food offerings scattered all around the mall. If you are not eating outside street food by the road, this mall offers you a sanitary option. Clean malls with clean washroom as well. Parking is located within the mall.
This is an upscale mall. U will find many international luxury brands at lower floors and medium range brands at upper floors. The mall is clean and chilly. Besides the ground floor dining, the helix dining another' s' must visit' dining experience. Its architecture another shoutout ideas 5th to 9th floors. Easy to reach via BTS phrom phong station, direct access to Emquartier, Emporium, and 5mins walk at bts bridge lead to direct access to Emsphere.
Another great shopping experience in Bangkok. The design of this place is very nice although it can get a bit confusing on where exactly you are between separate areas in here then comes also the whole huge restaurants swirl which is a must! You would really be eager to try anything of all the so many options in here. Came during Songkran holiday, wasnt so busy and nothing messy inside too.","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","쇼핑 _mall, point_of_interest, 설립",Yes
