이름,주소,평점,위도,경도,리뷰,영업시간,카테고리,핫플레이스여부
Arc de Triomphe,"Pl. Charles de Gaulle, 75008 Paris, France",4.7,48.8737917,2.295027499999999,"아름다운 건축과 역사.파리에있을 때는 확실히 봐야합니다.나는 그들이 당신이 매우 바쁜 원형 교차로를 건너지 않도록 도로 아래에 통로를 건설하는 방법을 좋아합니다.액세스하기가 매우 쉽습니다.
많은 단계 13 유로 티켓이지만 올라갈 가치가 있습니다!이 라인은 최초 보안을 통과하는 데 20 분 거리에있는 것보다 더 길어 보인 다음 510을 더 걸을 수 있습니다. 각 방향으로 출연 한 12 개의 주요 도로, 타워 및 기타 명소의 환상적인 전망으로 파리를 감상 할 수있는 좋은 방법입니다.멋진 사진과 기억에 남는 경치를 위해 일몰 직전에 가십시오.
지하 다리가 있으므로 트래픽을 삭감 할 필요가 없습니다.정상에 도달하고 싶다면 1825 년 EU 거주자와 장기 EU 거주자가 4 개월 동안 무료로 입장 할 수 있습니다!그것이 당신이 아니라면 여전히 정상에서보기를보고 싶다면, 티켓을 미리 구매하는 것이 좋습니다.티켓 라인은 빠르게 움직 였지만 이미 티켓을 가지고 있다면 훨씬 더 빨랐습니다.멋진 전망.그래도 계단을 준비하십시오!!노인과 장애인을위한 엘리베이터도 있습니다.
육체적으로 보았습니다. 물론 어떤 것은 아슬 아슬합니다.그러나 나는 이번에 올라 가기로 결정했고 모든 페니의 가치가있었습니다!당신이 보는 방향으로 파리의 환상적인 전망.특히 그만한 가치가있는 것은 에펠 탑에 대한 입장 입장을 비교할 때 찢어졌습니다.
벤치에 앉아 교통량을보고 아크 자체를 방문하기 위해 아래 계단을 타는 것만으로도 가치가 있습니다.그 트래픽을 가로 질러 달리지 마십시오!오후 630pm에 그들은 또한 화환을 놓는 행사를합니다. 그래서 당신이 시간이 있는지 지켜 보는 것은 매우 흥미 롭습니다.","월요일 : 오전 10시 - 오후 10시 30 분
화요일 : 오전 11시 - 오후 10시 30 분
수요일 : 오전 10시 - 오후 10시 30 분
목요일 : 오전 10시 - 오후 10시 30 분
금요일 : 오전 10시 - 오후 10시 30 분
토요일 : 오전 10시 - 오후 10시 30 분
일요일 : 오전 10시 - 오후 10시 30 분","Tourist_attraction, 박물관, point_of_interest, 설립",Yes
Louvre Museum,"75001 Paris, France",4.7,48.8606111,2.337644,"파리의 루브르 박물관 방문은 매우 좋았습니다.박물관 자체는 건축과 광대 한 예술 컬렉션 측면에서 걸작입니다.긴 줄로 인해 항목이 시간이 걸릴 수 있으므로 온라인으로 티켓을 예약하십시오.가장 기억에 남는 순간 중 하나는 마침내 모나 리사를 보는 것이 었습니다.그림의 그림은 다음 단계였습니다.군중들에 둘러싸여있는 것은 여전히 ​​예술적 광채의 상징으로 눈에 띄었습니다.그것을 가까이서 보면서, 나는 수세기 동안 예술 애호가들을 흥미롭게해온 신비한 표현과 섬세한 브러시 스트로크에 감사 할 수있었습니다.나의 방문의 또 다른 하이라이트는 놀라운 왕실 장식품 컬렉션이었습니다.크라운, 홀 및 보석의 복잡한 장인 정신은 눈부신 것입니다.Louvres Collection은 광대하며 한 번의 방문에서 모든 것을 볼 수 없습니다.그러나 저의 경험은 잊을 수 없었으며 상징적 인 예술, 풍부한 역사, 그리고 그곳에있는 걸작에 대한 깊은 감사로 가득했습니다.파리를 방문하는 사람이라면 누구나 루브르는 절대적인 수는 없습니다!
이것은 의심 할 여지없이 내가 본 최고의 박물관입니다.나는 그것이 얼마나 놀라운 지 표현할 수 없습니다.바닥에서 천장까지, 벽에서 벽에서 벽에서 벽에서 벽에서 벽에서 벽까지 절대적으로 포장되어 있습니다.나는이 장소의 크기와 크기에 압도 당했다.지도를 잡고 호의를 베풀고 서두르지 마십시오.당신은 하루 종일 내부를 쉽게 보낼 수 있습니다.그리고 편안한 신발을 입으십시오!덮을 수있는 많은 땅과 계단이 많이 있습니다.미리 티켓을 사십시오!우리는 오전 10시 입구 티켓을 샀고 군중은 너무 나빴습니다.우리가 떠날 때 오후 2 시경에 그 장소는 포장되었습니다.O. o
전 세계의 독특한 아이템을 방문 할 수있는 매우 크고 멋진 장소.나는 사전 티켓 구매를 강력히 추천하고 가이드 투어는 완벽한 선택입니다.그것은 매우 바쁘고 조직화되지 않은 것을 발견했습니다.가이드 투어를하지 않으면 하루 종일 하루가 필요합니다.
우리는 월요일에 갔고, 대기열에 들어가는 후 15 분 이내에 박물관에 들어갔다.엄청난 양의 재료가 놀랍고 아름다운 설정으로 표시됩니다.오래된 궁전을 따뜻한 풍부한 환경으로 바꾸는 것은 놀랍습니다.약간 넓고 돌아 다니기가 쉽습니다.
박물관 안에서 멋진 시간을 보냈습니다.내 생각에 많은 사람들이 모나 리사를 보러 왔고 그것은 혼잡했고 당신은 그곳에서 사진을 찍는 데 몇 초가 걸릴 것입니다.그러나 그렇지 않으면 군중은 바닥 전체에 적절하게 관리됩니다.당신이 나처럼 괴상하다면, 당신은 하루 종일 탐험 할 수 있도록 이른 시간에 예약해야합니다.그림, 조각품 및 모든 것이 아름다움을보고 읽고 놀랍습니다!","월요일 : 오전 9시 - 오후 6시
화요일 : 폐쇄
수요일 : 오전 9시 - 오후 9시
목요일 : 오전 9시 - 오후 6시
금요일 : 오전 9시 - 오후 9시
토요일 : 오전 9시 - 오후 6시
일요일 : 오전 9시 - 오후 6시","Tourist_attraction, 박물관, point_of_interest, 설립",Yes
Eiffel Tower,"Av. Gustave Eiffel, 75007 Paris, France",4.7,48.85837009999999,2.2944813,"우리는 그것을 타지 않았다.밤에는 조명으로 아름답게 보입니다.그것은 파리의 주요 명소 중 하나입니다.그것은 자기 설명 장소이며, 더 많이 쓸 필요가 없습니다..그러나 사진을 찍는 데 몇 가지 장소가 있습니다.그들을 탐색하십시오.다리를 지나서 조금 올라갑니다..
이것은 놀라운 경험이었습니다.구조 자체는 크기가 인상적이며 철제의 설계입니다.에펠 탑은 파리에서 방문 할 장소 목록에 있어야합니다.
전망은 360도이며 놀랍습니다.엘리베이터는 자동차 당 45 명을 수용하지만 혼잡하지 않으며 자동차에는 큰 창문이 있습니다.두 번째 레벨의 카페는 꽤 좋은 핫 초콜릿을 만듭니다.바게트의 햄과 치즈도 맛있었습니다.
나는 에펠 탑을 방문하여 날아 갔다.나는 평생 사진을 보았지만 실제로 거기에있는 경험을 준비 할 수있는 것은 아무것도 없습니다!내가 미리 상상했던 것보다 훨씬 더 시원했습니다.건축과 역사의 경이로움을 보면서, 나는 완전히 묘사 할 수없는 깊은 감사와 경외감을 주었다.나는 계단을 올라가 탑의 중간에 관찰 플랫폼으로 올라 갔다.계단이 많았습니다.그러나 견해는 그만한 가치가있었습니다.나는 한 시간 이상 파리를 모든 방향으로 바라 보았다.360도에서 볼 수있는 많은 것들이있었습니다!파리를 방문하는 경우 계단이나 엘리베이터를 전망대로 가져가는 것이 좋습니다. 후회하지 않을 것입니다!에펠 탑에서의 나의 경험은 전반적으로 놀랍습니다.나는 그곳에있는 동안 안전하다고 느꼈고이 지역은 매우 깨끗하게 유지되었습니다.그것은 훌륭하고 장엄한 랜드 마크입니다!
에펠 탑은 파리의 상징적 인 상징이며 도시를 방문 할 때 절대적인 수는 없습니다.정상의 전망은 숨이 막힐 정도로 도시 전체를 파노라마 엿볼 수 있습니다.탑이 밝아 질 때 낮과 밤에 좋은 경험으로 마법의 분위기가 발생합니다.특히 성수기에는 군중을 준비하지만 경험은 기다릴만한 가치가 있습니다.당신이 땅이나 정상에서 그것을 감탄하든 에펠 탑은 결코 웅장 함과 아름다움에 깊은 인상을주지 않습니다.
놀라운 경험.놀라운 전망.놀라운 빠른 계단을 걷는다.그것은 과대 평가되지 않았지만 꼭 꼭.이 방문 없이는 파리 여행이 완료되지 않습니다.
우리는 화요일 오전 10시에 갔고 줄은 없었습니다.들어가기 전에 보안 검문소가 있으며 일단 당신이 일단 당신이 일단 당신이 일단 당신이 사진을위한 Towera의 큰 장소 아래에있는 부지를 탐색하고, 더운 여름날에 약간의 그늘을 즐길 수 있습니다.","월요일 : 오전 9시 - 오전 12시
화요일 : 오전 9시 - 오전 12시
수요일 : 오전 9시 - 오전 12시
목요일 : 오전 9시 - 오전 12시
금요일 : 오전 9시 - 오전 12시
토요일 : 오전 9시 - 오전 12시
일요일 : 오전 9시 - 오전 12시","Tourist_attraction, point_of_interest, 설립",Yes
Conciergerie,"2 Bd du Palais, 75001 Paris, France",4.4,48.85601139999999,2.345495299999999,"절대적으로 아름다운 인테리어 건축물!내가 가장 좋아하는 것은 Marie Antoinette가 감옥에 갇힌 곳이었습니다.나는 그녀에게 속한 개인 품목을 보는 것을 좋아했습니다.그녀의 작은 신발은 소중했다!
프랑스 왕족의 감옥으로 변한 궁전, 이제는 기념비를 방문해야합니다.내부에 가상 투어를 제공하는 태블릿이 있으며 18 세기에 상황이 어떻게되었는지 알 수 있습니다.아이들에게도 좋습니다.
실제로 방문 할 가치가 없습니다.전반적으로 벽을 맨손으로, 관심이 없습니다.당신은 그것을 받아들이려는 큰 상상력이 있어야합니다. 그렇지 않으면 둔한 챔버 외에는 아무것도 볼 수 없으며 입구에서받는 AR 태블릿조차도 많은 도움이되지 않습니다.내가 방문하는 동안 태블릿은 하루가 비가 오르고 바쁘고 바쁘고 수많은 예비 태블릿이 있었음에도 불구하고 부부당 1 명으로 제한되었습니다.티켓 데스크의 여성은 상관없이 태블릿을 한 번 더주기를 거부했습니다.부끄러운.
사람들은 종종 컨시어지를 방문하는 것을 놓치고 Sainte Chapelle에만갑니다.그러나 역사를 사랑하는 사람에게는 이곳이 방문해야합니다!Histopad는 박물관에서 ""Tresure Hunt""를 연주 할 수있는 방식으로 전체 성형을 매우 대화식, 유익하며 재미있게 만들었습니다.훌륭한 경험.
컨시어 게리는 매우 혼잡 한 곳이며 입구에 제공된 무료 태블릿은이 장소 뒤의 역사를 이해하고 탐색하는 데 도움이됩니다.매우 멋지고 대화식 태블릿은 시간 여행 형식의 원래 장소를 설명했습니다. 저는이 혁신을 정말 좋아했습니다.중요한 역사적인 파리 장소에 대해 배우려면이 장소를 방문하십시오.감옥 경비원의 사무실과 세포를 확인하는 것을 잊지 마십시오.파리 박물관 패스 나 Saint Chappel과 결합 된 티켓이있는 경우에만이 장소를 방문하십시오.","월요일 : 오전 9시 30 분 - 오후 6시
화요일 : 오전 9시 30 분 - 오후 6시
수요일 : 오전 9시 30 분 - 오후 6시
목요일 : 오전 9시 30 분 - 오후 6시
금요일 : 오전 9시 30 분 - 오후 6시
토요일 : 오전 9시 30 분 - 오후 6시
일요일 : 오전 9시 30 분 - 오후 6시","박물관, Tourist_attraction, point_of_interest, 설립",Yes
Promenade Jean-Paul Belmondo,"Pont de Bir-Hakeim, 75015 Paris, France",4.9,48.8555812,2.287589,"아름다운 곳.견해를 사랑하십시오.당신은 구시 가지의 아름다운 전망과 파리의 새로운 건물들의 또 다른 아름다운 전망을 가지고 있습니다.당신은 여기에서 결혼 사진을 찍거나 단순히 사진 세션을 찍는 많은 사람들을 찾을 수 없습니다.이것은 다리이지만 장소는 너무 낭만적이고 아름답습니다.이 모든 전망과 기념물이 주변에있어 완벽한 장소입니다.
에펠 탑을보고 사진을 찍을 수있는 아주 좋은 장소입니다.세인 강에서.
그것을 걸어 가서 에펠 탑을 모든 화려하게 촬영하는 것이 좋습니다.경이.
Belmondo가 지하철 열차에 서있는 Peur Sur La Ville의 전설적인 장면에 경의를 표하는 매우 아름답습니다.",운영 시간이 없습니다,"Tourist_attraction, point_of_interest, 설립",Yes
Tuileries Garden,"75001 Paris, France",4.6,48.8634916,2.327494299999999,"단지 산책하기에 아주 좋은 편안한 공원, 분수대에는 앉아서 식히고 사람들이 볼 수있는 좌석이 있습니다.오리에게 빵을 먹이는 가족이 있었으므로 한 지점에 많은 사람들이있었습니다.우리가 갔을 때 약간 뿌려졌지만 여전히 많은 사람들이있었습니다.화창한 날에는 훨씬 더 좋을 것입니다.그것은 당신이 당신의 강아지를 가져 오거나 자전거를 타는 것을 허용하지 않습니다.
루브르 근처의 아름다운 부지.정원 길을 산책하기 위해 루브르 트 티켓이나 방문이 필요하지 않습니다.앉아서 휴식을 취할 수있는 충분한 공간.훌륭한 사진 기회.올림픽과 같은 행사 에서이 지역의 많은 부분이 문을 닫습니다.
플레이 그라운드에서 걸어 가서 놀리는 아름다운 부지.톱, 로터리, 그물 등반 구조, 많은 재미를보십시오.약 100 피트 떨어진 곳에서 캐 러셀은 4 유로의 머리 크기의 두 배 크기의 솜사탕을 구입할 수 있습니다.
Tuileries Garden은 가장 상징적이고 아름다운 공공 장소 중 하나이며 도시 중심부에 평화로운 휴양지를 제공합니다.Louvre와 Place De la Concorde 사이에 위치한이 유서 깊은 정원은 여유롭게 산책, 분수에서 휴식을 취하거나 풍경을 점유하는 조각품을 감상하기에 완벽합니다.넓은 통로, 무성한 녹지 및 아름답게 배열 된 화단은 고요한 분위기를 만듭니다.Jardin des Tuileries는 산책을 즐기거나 단순히 유명한 녹색 의자 중 하나에 앉아 있든, 파리의 번잡함에서 매력적이고 조용한 탈출을 제공합니다.
아름답지만 분명히 매우 과밀하고 그늘에 자리가 많지 않습니다.자신의 물을 가져 오거나 500ml 물병에 3.5를 보내십시오.표준 파리 주변에서만 방문 할 가치가 있습니다.","월요일 : 오전 7시 - 오후 9시
화요일 : 오전 7시 - 오후 9시
수요일 : 오전 7시 - 오후 9시
목요일 : 오전 7시 - 오후 9시
금요일 : 오전 7시 - 오후 9시
토요일 : 오전 7시 - 오후 9시
일요일 : 오전 7시 - 오후 9시","Tourist_attraction, 공원, point_of_interest, 설립",Yes
Place des Vosges,"Pl. des Vosges, 75004 Paris, France",4.6,48.85561140000001,2.3655266,"아름다운 정원.여기에 루이 13의 동상.확인하십시오.즐길 수있는 잔디 패치.아침에는 매우 조용하고 바쁘지 않습니다.장면은 좀 초현실적입니다.분수와 모든 것이 너무 잘 다듬어졌습니다
멋진 아름다운 광장과 마라 이스의 주차.점심 산책이나 낮잠을자는 것이 좋습니다.그것은 멋지게 깎은 잔디에 걸어 다니고 내려갈 수 있습니다.
나는 여전히 파리의 공원과 녹색 덮개에 경외심을 느낍니다.Maison Victor Hugo 바로 옆에있는 멋진 장소, 훌륭한 카페, 부티크, 갤러리, 바로 둘러싸여 있습니다.
어울리고, 피크닉을하고, 구름을 바라 보며, 태양이 저녁을 비출 때 주위에 앉아 건초를 만들기에 좋은 곳.
파리 최고의 공공 공원, 간단합니다.여름에 21H30 후반에 문을 닫고, 젊은이와 소수의 젊은이, 가족, 학생, 혼자서도 즐거운 시간을 보낼 수 있습니다..꼭보아야합니다.
더 많은 것을 제외하고는 모든 사람과 함께 할 수있는 절대적으로 사랑스러운 공원입니다.예쁜 정원들 사이에서 앉아있는 많은 곳과 사람들은 아름다운 카페, 메리가 둥글고 물 특징 등이 있습니다.근처의 루브르 카오스에서 멀리 떨어진 곳에서 큰 휴식을 취합니다",운영 시간이 없습니다,"공원, Tourist_attraction, point_of_interest, 설립",Yes
Panthéon,"Pl. du Panthéon, 75005 Paris, France",4.6,48.8462218,2.3464138,"Panthon은 파리의 경외심을 불러 일으키는 기념비로, 그랜드 신고전주의 건축물과 풍부한 역사적 중요성으로 유명합니다.원래 교회로 지어진이 도시는 현재 볼테르, 루소, 마리 쿠리를 포함한 프랜시스의 가장 유명한 인물들의 유적을 보유한 묘소를 수용하는 묘소 역할을합니다.인상적인 돔형 천장과 광대 한 인테리어는 웅장 함을 만들어내는 반면, Crypt는 Frances 문화 및 지적 유산에 엄숙한 성찰을 제공합니다.Panthon 꼭대기의 전망은 숨이 막힐 정도로 파리를 탁래를 엿볼 수 있습니다.역사, 건축 및 프랑스 문화에 관심이있는 사람들에게는 or
근처에있을 때 주변 구조물의 웅장 함에서 심장이 멈 춥니 다.이 영역은 외부에서 존경하더라도 꼭 봐야합니다.우리는 앞으로 계획하지 않았을 때 판테온 안으로 들어 가지 않았고 티켓 구매를 기다리는 관광객들은 매우 길었다.따라서 미리 티켓을 구매하는 것이 가장 좋습니다.
나는 놀랍게도 우리가 파리에서 가장 멋진 랜드 마크 중 하나가 되었기 때문에 기대가 낮은 기대에 빠졌다고 생각합니다.날씨가 좋지 않더라도 파노라마 티켓을 받으십시오.우리는 미리 티켓을 구입해야하지만 대기와 비용은 그만한 가치가있었습니다.
그런 멋진 기념물.사진은이 놀라운 건축물과 역사를 준비하거나 정의하지 않습니다.
파리에 있다면, 당신은 안으로 들어 와서이 판테온을 산책해야합니다.
우리는 그들이 닫기 1 시간 전에 갔다. 그래서 입장은 매우 빠르며 우리는 줄을 서서 기다릴 필요가 없었다.우리는 Crypt로 시작하여 프랑스 역사에서 모든 위대한 사람들을 방문했습니다.그런 다음 우리는 1 층으로 돌아가서 모든 벽화에 감탄하고 공간을 즐기기 위해 시간을 보냈습니다.","월요일 : 오전 10시 - 오후 6시 30 분
화요일 : 오전 10시 - 오후 6시 30 분
수요일 : 오전 10시 - 오후 6시 30 분
목요일 : 오전 10시 - 오후 6시 30 분
금요일 : 오전 10시 - 오후 6시 30 분
토요일 : 오전 10시 - 오후 6시 30 분
일요일 : 오전 10시 - 오후 6시 30 분","Tourist_attraction, point_of_interest, 설립",Yes
Tour Saint-Jacques,"Square de la Tour Saint-Jacques, 75004 Paris, France",4.5,48.85806849999999,2.3489072,"나는 사이트, 특히 벤치, 예 벤치를 많이 좋아했습니다.
파리를 걸을 때, 당신은 결국 피곤 해지고 항상 카페에 앉기를 원하지는 않지만 휴식을 취하고 멋진 전망을 즐기거나 공원을보고 싶어합니다.
이것은 바로 여기에 있습니다.이 아름다운 탑을 향한 일시 중지와 주변의 꽃은 환영하는 것 이상이었습니다.
등반하는 300 단계는 모든 사람을위한 것이 아니라 모든 파리의 정상에서의 전망은 놀랍습니다.역사에 대한 투어 가이드 설명은 매우 흥미 롭습니다.예약은 방문 할 때마다 제한된 숫자로 필요합니다.
사람들은 근처에 식히고있었습니다.정말 혼잡했습니다.어떤 사람들은 그곳에서 태양 목욕을하고있었습니다.조심하고 항상 지갑과 주머니를보십시오.당신은 여기서 진정 할 수 있지만이 장소는 항상 혼잡해야합니다.당신은 여기에서 많이 볼 수는 없지만 파리의 버킷리스트에 있다고 확신합니다.
공공 공원 한가운데의 역사적인 타워.나는 안에 있지 않았지만 좋은 등반이라고 들었고 곧 그렇게 할 것입니다.그것은 많은 역사를 가지고 있으며 주변 지역에 독창성을 제공합니다.당신은 또한 가고일과 조각상이 지나가는 것을 볼 수 있습니다.
아름다운 Parkgardens에 위치한이 고독한 구조 타워는 1700 년대 후반에 파괴 된 교회의 남은 기념비로 1500 년대에 세워진 고딕 스타일의 고독한 구조 탑을 서있는데, 정원은 피크닉을하기에 완벽한 장소입니다.점심.","월요일 : 폐쇄
화요일 : 폐쇄
수요일 : 오전 10시 - 오후 6시
목요일 : 오전 10시 - 오후 6시
금요일 : 오전 10시 - 오후 6시
토요일 : 오전 10시 - 오후 6시
일요일 : 오전 10시 - 오후 6시","Tourist_attraction, point_of_interest, 설립",Yes
Quais de la Seine,"75001 Neuilly-sur-Seine, France",4.7,48.86187180000001,2.3225224,"봄 방학과 화창한 날이되기 위해 곧 좋은 날씨를 즐기는 아름다운 경험.
파리 의이 강을 따라 산책하는 것만 큼 좋은 것은 없습니다.안전하고 아름답고 고무적입니다!
여름철에 Pont Alexandre III와 Pont Royal 사이에 Paris City는 Parisplages에 한 번을 달성합니다.이 퀘이스는 충분하고 길다. Pont D 'Alma에서 걸어 갈 수 있으며, 일부 기복이 Le de la Cit에 도착할 수 있습니다.이것은 일년 중 언제라도 좋은 산책이지만 추운 비오는 겨울에는 견딜 수있는 긴 산책입니다!여름철과 기생충과 함께이 곳은 파리 사람들과 혼합되어 많은 바, 커피 장소 및 레스토랑이 홍수되어 있습니다.그것은 거리 예술과 함께 매우 활기차고 멋진 여름 오후에는 주로 Pont de la Concorde와 Passerelle Lopoldsdarsenghor 사이의 스케이트 보더의 만남 지점입니다.
단순히 저항 할 수 없습니다
멋진 전망과 냉기 분위기를 위해 배치해야합니다","월요일 : 24 시간을 엽니 다
화요일 : 24 시간 영업
수요일 : 24 시간을 엽니 다
목요일 : 24 시간 영업
금요일 : 24 시간 영업
토요일 : 24 시간을 열었습니다
일요일 : 24 시간 영업","Tourist_attraction, point_of_interest, 설립",Yes
