이름,주소,평점,위도,경도,리뷰,영업시간,카테고리,핫플레이스여부
Westfield Forum des Halles,"101 Porte Berger, 75001 Paris, France",4.1,48.86201579999999,2.3470948,"우리는 대규모 쇼핑몰을 탐험하는 환상적인 오후를 보냈습니다.상점은 놀랍고 레스토랑은 다양한 맛있는 옵션을 제공했습니다.우리는 상점에서 상점으로 방황하면서 수많은 선물을 발견했습니다.우리가 걷기에서 휴식이 필요했을 때, 우리는 단순히 아름다운 분위기를 즐겼습니다.그리고 가장 중요한 부분?기차역 바로 옆에 편리하게 위치했습니다.
이것은 파리의 멋진 쇼핑몰입니다.가격은 합리적이고 저렴합니다.당신은 여기에서 좋은 거래를 할 것입니다.그들은 여기에서 모든 것을 팔고 있습니다.다른 곳을 방문 할 필요가 없습니다.파리의 수요가 충분합니다. 파리의 멋진 쇼핑몰
Westfield Forum Des Halles에는 매우 아름다운 건축물과 다양한 매장이 있습니다.운송 시스템과의 통합은 매우 흥미롭고 개방 및 마감 시간은 도시의 다른 곳보다 길다.방문 할 가치가 있습니다.
당신이 생각할 수있는 모든 종류의 상점과 브랜드가있는 거대한 쇼핑몰.놀라운 쇼핑 경험이 보장됩니다.이 쇼핑몰에는 실내 및 야외 쇼핑 경기장이 있습니다.화장실은 사용하기 위해, 깨끗하고 정기적으로 돌보는 것입니다.쇼핑몰은 해당 지역의 주요 기차역에 직접 연결되어 매우 쉽게 접근 할 수 있습니다.이것은 광범위한 쇼핑 공간이므로 장거리 걸을 준비가되어 있습니다.쇼핑 요구에 권장됩니다.
약국은 거대하고 슬프게도 재고가 없습니다.쇼핑몰 전체는 쉽게 접근 할 수 있고 거대합니다!","월요일 : 오전 10시 - 오후 8시 30 분
화요일 : 오전 10시 - 오후 8시 30 분
수요일 : 오전 10시 - 오후 8시 30 분
목요일 : 오전 10시 - 오후 8시 30 분
금요일 : 오전 10시 - 오후 8시 30 분
토요일 : 오전 10시 - 오후 8시 30 분
일요일 : 오전 11시 - 오후 7시 30 분","쇼핑 _mall, 약국, 슈퍼마켓, grocery_or_supermarket, 의류 _store, 도서관, 식당, 음식, 건강, point_of_interest, home_goods_store, 가게, 설립",Yes
Centre Commercial Beaugrenelle,"12 Rue Linois, 75015 Paris, France",4.2,48.8483238,2.2823613,"나는이 쇼핑몰을 좋아한다.파리의 정말 크고 아름다운 쇼핑몰.매우 깨끗하고 조직적입니다.놀라운 건축 실내에 있으며 다양한 멋진 패션 상점과 레스토랑의 훌륭한 플랫폼이 있습니다.파리의 유일한 쇼핑몰에는 갤러리 라파예트로 이어지는 발 교량이 있습니다.나는 적극 권장한다!!
지하철이나 터널과 같은 2 개의 부품과 작은 다리가있는 아름다운 쇼핑 센터.동쪽으로 걸어 다니는 중간 원이있는 전체 시장.매우 넓고 깨끗하고 화장실이 더 많이 사용됩니다. Westfield 쇼핑 센터와 같은 지불 없이도 무료로 사용할 수 있습니다.외부는 우리처럼 방문자에게 쉽게 서있을 수 있습니다.
에펠 탑 근처에는 멋진 쇼핑몰이 있습니다.그것은 다리로 연결된 두 섹션으로 나뉘며 인기있는 브랜드로 가득합니다.당신은 또한 헤마 상점, 모노 프릭스 상점 및 근처의 작은 갤러리 라파예트를 찾을 수 있습니다.휴대 전화를 충전하기 위해 휴식이나 장소가 필요한 경우 각 층에는 전기 반점과 USB 어댑터가있는 편안한 공간이 있습니다.행복한 쇼핑!
누군가를 기다리는 동안 앉아서 휴식을 취하는 소파를 갖는 것이 좋습니다.또한 전화를 청구 할 수 있습니다.
매우 현대적이고 깨끗한 쇼핑 센터 에펠 탑에서 도보로 짧은 도보로.Beaugrenelle 지역의 상점 스트립에 자리 잡고있어 아침을 즐겁게하는 아침을 즐겁게합니다.커피를 즐기고 이용 가능한 충전 포트에서 휴대 전화를 충전하면서 앉아서 휴식을 취할 수있는 영화와 몇 개의 장소가 있습니다.국제 여행자에 대한 세금 환급은 센터 입구의 정보 데스크에서 정렬 할 수 있습니다.","월요일 : 오전 10시 - 오후 8시
화요일 : 오전 10시 - 오후 8시
수요일 : 오전 10시 - 오후 8시
목요일 : 오전 10시 - 오후 8시
금요일 : 오전 10시 - 오후 8시
토요일 : 오전 10시 - 오후 8시
일요일 : 오전 11시 - 오후 8시","쇼핑 _mall, ATM, 슈 _store, 서점, movie_theater, 의류 _store, home_goods_store, 가게, 재원, 식당, point_of_interest, 음식, 설립",Yes
Carrousel du Louvre,"99 Rue de Rivoli, 75001 Paris, France",4.4,48.86270680000001,2.3347803,"루브르 지역 아래의 재미 있고 독특한 쇼핑몰.쇼핑몰의 욕실은 지불되지만 카드를 수락합니다.
루브르의 입구로서, 박물관을 기다리는 동안 윈도우 쇼핑은 즐겁게 지낼 수 있습니다.
최고의 박물관 몰!방문 후 다른 종류의 품목을 쇼핑 할 수 있습니다!놀랍게도 Casetify Studio Find Louvre Colab Collection
루브르 박물관에 이용할 수있는 멋진 쇼핑 센터.이 입구를 사용할 수있는 티켓이 이미 있어야합니다.그렇지 않다면, 당신은 위층으로 피라미드 입구로 가야합니다.방문 할 가치가있는 상점과 역사적인 공간도 있습니다.유급 화장실도 있습니다.얼굴 피라미드가 굉장합니다!
루브르 박물관 아래에 쇼핑몰이 있다는 것을 알지 못했습니다.나는 궁금해하고 보드를 보았습니다. 그래서 나는 내려 가기로 결정했습니다.멋진 가게가있는 정말 아름다운 미니 몰.내 관심을 얻은 상점 중 하나는 Les Minraux라는 상점이었습니다.여기의 조각들은 너무 절묘합니다.Louvre 의이 지역을 방문하고 여행에서 멋진 기념품을 보내려면 몇 분이 걸립니다.","월요일 : 오전 10시 - 오후 7시
화요일 : 오전 11시 - 오후 6시
수요일 : 오전 10시 - 오후 7시
목요일 : 오전 10시 - 오후 7시
금요일 : 오전 10시 - 오후 8시
토요일 : 오전 10시 - 오후 7시
일요일 : 오전 10시 - 오후 7시","쇼핑 _mall, point_of_interest, 설립",Yes
Galeries Lafayette Champs-Élysées,"60 Av. des Champs-Élysées, 75008 Paris, France",4.3,48.8706269,2.3062247,"옷을 쇼핑하기에 아주 좋은 곳은 소녀를위한 것이지만, 선택할 수있는 많은 브랜드가있는 옵션이 매우 다양하고 작은 바는 자신이나 친구를 위해 쇼핑하기에 아주 좋은 곳입니다.
건물은 시원하고 옥상 관측 데크가 있습니다.그러나 그것은 더 많은 시간이 걸렸고 우리를 위해 일종의 거래를했는데, 여기서 시간을 보내야 할 이유가 없었습니다.또한 화장실을 찾는 행운을 빕니다.
우리가 프랑스 파리를 방문하는 동안 아내는 정말이 쇼핑몰을 방문하고 싶었습니다.운 좋게도, 그것은 우리가 머물고있는 호텔 근처에 편리하게 위치했습니다.Galeries Lafayette에는 많은 럭셔리 브랜드가 있지만 여성뿐만 아니라 Mens 럭셔리 브랜드를 판매하는 데 전념하는 여러 층이 있습니다.나는 일반적으로 럭셔리 브랜드를 구매하지 않지만 돈이 문제가되지 않으면 몇 가지 품목을 사고 싶었을 것입니다.
아름다운 쇼핑몰.쇼핑몰의 중심은 너무 우아하고 예쁘고 지붕을 쳐다 보는 데 오랜 세월을 보낼 수 있지만 진지 하게이 쇼핑몰에는 많은 상점과 많은 고급 브랜드가 있습니다.쇼핑몰에는 또한 나가서 파리의 전망을 볼 수있는 옥상이 있습니다.파리에있을 때이 쇼핑몰을 방문하는 것이 좋습니다.
Galeries Lafayette Champslyses는 파리의 상징적 인 Avenue Des Champslyses에 위치한 고급 백화점입니다.유명한 국제 브랜드와 다가오는 다가오는 디자이너의 다양한 HighEnd 패션, 미용 제품, 액세서리 및 가정 용품을 제공합니다.
매장의 인테리어는 현대적이고 우아한 미학으로 아름답게 설계되었습니다.넓은 레이아웃, 높은 천장 및 풍부한 자연 채광은 정교한 쇼핑 경험을 만듭니다.
Galeries Lafayette Champslyses는 다양한 식당 옵션이있는 푸드 코트를 갖추고 있습니다.캐주얼 카페에서 미식가 레스토랑에 이르기까지 쇼핑하는 동안 맛있는 식사 나 간식을 즐길 수 있습니다.
관광객으로서 Galeries Lafayette Champslyses가 제공하는 세금 환급 프로그램을 활용할 수 있습니다.세금 환불 데스크에서 여권 및 구매 영수증을 제시하여 구매에 대한 환불을 받으십시오.
전반적으로, Lafayette Champslyses는 파리에서 고급스럽고 잊을 수없는 쇼핑 경험을 찾는 사람에게는 꼭 필요한 곳입니다.
하루를 즐기십시오.","월요일 : 오전 10시 - 오후 9시
화요일 : 오전 10시 - 오후 9시
수요일 : 오전 10시 - 오후 9시
목요일 : 오전 10시 - 오후 9시
금요일 : 오전 10시 - 오후 9시
토요일 : 오전 10시 - 오후 9시
일요일 : 오전 10시 - 오후 9시","Department_store, 쇼핑 _mall, 카페, point_of_interest, 가게, 음식, 설립",Yes
Bercy Village,"28 Rue François Truffaut, 75012 Paris, France",4.4,48.8328395,2.3861883,"바와 레스토랑에서 음식과 음료를 제공하는 멋진 마을!Bercy Gare 옆에있는 것은 여행 중에 휴식을 취하는 최선의 선택 중 하나입니다!
도시와의 모든 연결성이있는 조용한 곳.버스 정류장과 지하철역은 모두 도보 거리 내에 있습니다.식당은 근처에 있으며 여러 옵션이 있습니다.
매우 아름다운 곳, 골동품을 느낍니다.이 지역의 많은 레스토랑과 바.근처의 큰 공원.
장소는 놀랍고 삶으로 가득합니다.쇼핑 지역은 기존의 쇼핑 센터와는 다른 경험입니다.이곳에는 놀라운 레스토랑이 있으며 분위기는 뛰어납니다.더 많은 시간을 보내고 싶었지만 다음에 확실히 방문 할 것입니다!Bercy Train Station에서 도보로 짧은 도보.
많은 훌륭한 음식 옵션.그 외에는 할 일이 많지 않습니다.기차역에서 빠르게 걸어갑니다.","월요일 : 오전 10시 - 오전 2시
화요일 : 오전 10시 - 오전 2시
수요일 : 오전 10시 - 오전 2시
목요일 : 오전 10시 - 오전 2시
금요일 : 오전 10시 - 오전 2시
토요일 : 오전 10시 - 오전 2시
일요일 : 오전 10시 - 오전 2시","쇼핑 _mall, 슈퍼마켓, grocery_or_supermarket, 식당, 음식, 의류 _store, point_of_interest, 가게, 설립",Yes
Italie 2,"30 Av. d'Italie, 75013 Paris, France",4,48.8303381,2.3551844,"매우 큰 UP 규모의 백화점.화장실은 오전 10 시까 지 열려 있지 않았으며 사용해야 할 요금이있었습니다.나는 나에게 유로가 없지만 신용 카드를 받아 들였다.87 센트의 비용이 들었고 매우 깨끗합니다.내가 사진을 찍었 기 때문에 레이디 승무원은 화가났다.그녀는 내가 그녀를 해고하려고했다고 말했다.
나는이 쇼핑몰을 좋아한다.상점과 멋진 상점이 너무 많습니다.파리의 13EME ARRONDISSEMEN의 한가운데, 지하철역 근처에 있으며 주차장이 있습니다.
이 쇼핑 센터가 4 개의 별을 확보 한 것은 매우 놀랍습니다.제 생각에는 더 정확한 등급은 약 2.5 개의 별입니다.솔직히 말하면 약간의 실망입니다.
나는 미국 CA에서 파리로 이사했습니다.나는 빛, 패션 및 아름다움의 도시에서 다른 것을 볼 것으로 예상했다.대신, 그것은 ""meh""였습니다!그것은 미국의 이러한 사막 매장을 생각 나게했지만 차이점은이 쇼핑몰 구조와 조명에 많은 도움이 필요하다는 것입니다.친구들과 즐거운 시간을 보내기 위해이 쇼핑몰에 가기를 기대한다면, 디자인 된 방법이 우울하기 때문에 잊어 버리십시오.그리고 상점은 1990 년대의 것과 같습니다!!그리고 Zara 여성들은 무슨 일이 일어나고 있습니까?프랑스의 패션 선택은 무엇입니까?나는 1 년 동안 포르투갈에서 살았고 세비야 바르셀로나 주 스페인 마드리드를 방문했습니다... Zara는 두 나라에서 우수한 패션 선택을 제공합니다. 프랑스에서는 왜 그렇지 않습니까?이 쇼핑몰의 Zara와 프랑스의 다른 사람들은 내가 전에 방문하거나 쇼핑 한 Zara의 얕은 버전이기 때문에 누군가가 무언가를 말해야합니다.
저에게 가장 큰 놀라움 중 하나는 Sephora의 제한된 브랜드 제품이었습니다.나는 그들 자신의 브랜드에 특히 관심이 없었지만, 그 상점을 지배하는 것 같습니다.솔직히 말하면 조금 당황 스럽습니다.
또한이 쇼핑몰로 운전하지 마십시오. 그렇지 않으면 3 시간 동안 12로 끝납니다.이것 만으로이 쇼핑몰에는 고객이 거의없고 일주일 동안 거의 비어있는 이유를 설명합니다.
이 쇼핑몰을 많이 좋아했습니다.그들은 많은 상점을 가지고 있었지만 다양성은 많지 않았으므로 관광객들에게 얼마나 적합한 지 모릅니다.대부분의 옷가게 그러나 우리는 호랑이를 생각 나게하는 가게를 찾았습니다.고정에서 병, 촛불에 이르는 기타 품목이있었습니다.추천합니다
입구와 쇼핑몰 전체에서 매우 엄격한 보안은 영어가 매우 제한되어 있으며 방문객에게는 매우 어렵습니다... 프랑스어로 모든 것... 주변을 돌아 다니며 라벨을 이해하는 데 행운을 빕니다... 친숙한 국제 프랜차이즈..","월요일 : 오전 10시 - 오후 8시
화요일 : 오전 10시 - 오후 8시
수요일 : 오전 10시 - 오후 8시
목요일 : 오전 10시 - 오후 8시
금요일 : 오전 10시 - 오후 8시
토요일 : 오전 10시 - 오후 8시
일요일 : 오전 11시 - 오후 7시","쇼핑 _mall, point_of_interest, 설립",Yes
"Shopping centre ""Saint-Lazare""","1 Cr de Rome, 75008 Paris, France",4,48.8762214,2.3252645,"멋진 쇼핑몰이있는 훌륭한 기차역.기차를 타기 전에 좋은 음식 옵션이 많이있었습니다.많은 상점과 합리적인 가격.여기서 시간을 보내 게되어 기뻤습니다.
파리에있는 경우
Ligne 8 Primark Station Creteil
약 25 분.
식당은 아주 좋습니다...큰 바퀴
쇼핑 공간... 좋은
나는 Devred Mango, Celio에 갔다.망고에는 파리의 다른 상점에 비해 최신 여성의 옷이 있습니다.Celio Shopper는 탈의실이 없으므로주의하십시오.Devred Store는 유쾌한 직원과 아늑했습니다.
상단 층의 열차와 지하철 사이에 가장 낮은 지하철 사이에있는 멋진 분위기.통근하는 동안 쇼핑을하는 것이 매우 편리합니다
단순히 놀라운 운송 허브.이 보안 책임자는 영화에서 캐릭터 인 것처럼 보입니다.그들은 매우 적합하고 근육질이 많고, 잘 어울리고, 그들의 존재는 처음에는 상당히 위협적이지만 여기서 안전하다고 느끼게합니다.","월요일 : 오전 7시 30 분 - 오후 8시
화요일 : 오전 7시 30 분 - 오후 8시
수요일 : 오전 7시 30 분 - 오후 8시
목요일 : 오전 7시 30 분 - 오후 8시
금요일 : 오전 7시 30 분 - 오후 8시
토요일 : 오전 9시 - 오후 8시
일요일 : 오전 10시 - 오후 7시","쇼핑 _mall, 슈 _store, 의류 _store, 가게, 식당, 음식, point_of_interest, 설립",Yes
Passage du Havre,"109 Rue Saint-Lazare, 75009 Paris, France",4.2,48.8753007,2.3276936,"역 근처의 예쁜 쇼핑 센터.화장실 비용은 비용이 많이 들고 큰 줄이 있습니다.여기에 일반적인 거리 상점
쇼핑을 위해 거기에 갈 수는 없지만 차가워지기에 좋습니다.귀에 커피, 책, 노트북 또는 음악을 가져다가 통로의 레크리에이션 구역에서 즐기십시오.여기에는 많은 나무와 편안한 팔 의자가 있습니다.붐비는 도시 안에 이와 같은 것이 놀랍습니다.
구타 트랙 통로에서 이것을 걷는 것을 좋아했습니다!매우 친절한 가정 용품점 인 Nature et Dcouvertes의 친구에게 완벽한 선물을 찾았습니다.확실히 우회할만한 가치가 있습니다!
놓치지 마십시오!Passage du Havre는 40 개 이상의 아울렛이있는 지역에 건축 스타일과 매장을 보여주는 것 외에 할 일이 많이 있습니다.
이 쇼핑몰은 Sai T Lazare Metro Stop, Line 9에서 액세스 할 수 있으며 다른 많은 메트로 라인에 연결되어 있습니다.산책하기에 좋은 곳.실내 정원 공간은 훌륭합니다.","월요일 : 오전 9시 30 분 - 오후 8시
화요일 : 오전 9시 30 분 - 오후 8시
수요일 : 오전 9시 30 분 - 오후 8시
목요일 : 오전 9시 30 분 - 오후 8시 30 분
금요일 : 오전 9시 30 분 - 오후 8시 30 분
토요일 : 오전 9시 30 분 - 오후 8시
일요일 : 오전 11시 - 오후 7시","쇼핑 _mall, 보석류, 슈 _store, 주차, home_goods_store, 식당, 음식, 의류 _store, point_of_interest, 가게, 설립",Yes
Galerie Vivienne,"4 Rue des Petits Champs, 75002 Paris, France",4.5,48.8663533,2.3394854,"파리 나 덮은 갤러리에는 매우 잘 보존 된 여러 구절이 있으며 Galerie Vivienne은 그 중 하나입니다.아름답고 매력적 일뿐 만 아니라 작은 상점, 일부 세련된 것, 다양한 언어로 된 골동품 책이있는 놀라운 서점, 멋진 점심을 먹거나 멋진 셔벗을 먹을 수있는 훌륭한 카페를 주최합니다.
이 역사적인 구절과 쇼핑 아케이드는 파리에있는 동안 방문해야합니다.두 번째 아론가에 위치한이 구절에는 아름다운 모자이크 바닥이 있으며 유리 천장으로 덮여 있습니다.이 갤러리를 방문하는 것은 파리에서 비가 오거나 더운 날을 보내야한다면 특히 훌륭한 대안이 될 수 있습니다.미식가 음식과 카페를 제공하는 다양한 레스토랑을 포함하여 많은 옵션이 있습니다.이 구절은 또한 흥미로운 장식 디자인과 조각품으로 장식되어 있습니다.파리에서 가장 화려한 구절 중 하나 인 폼페이안 스타일의 걸작으로 여겨집니다!아트 갤러리, 패션 부티크 및 와인 시음 외에도 원래이 구절의 원래 임차인 중 하나 인 Librariere Petitsiroux라고 불리는 Jousseame의 서점에 대해 특별한 언급을해야합니다.이 구절에서 적어도 몇 시간을 소비 할 계획이라면, 더 이상 역사, 건축 및 기타 모든 것을 식당이나 CAF에서 휴식을 취하는 것 외에도 제공해야 할 것입니다.
옷, 기념품, 패스트리 등과 같은 물건을 살 수있는 상점이있는 아름다운 곳. 그것은 작은 쇼핑몰과 같습니다.나는 돔과 복도를 좋아합니다.
프랑스의 Galerie Vivienne은 우아함과 정교함의 과거 시대로 당신을 운반하는 매력적인 목적지입니다.매혹적인 구절을 방황하면서 부티크 상점, 매력적인 카페 및 장인 갤러리의 선별 된 선택으로 둘러싸여 있습니다.건축물은 단순히 아슬 아슬하고 화려한 디테일과 유리 천장으로 자연 채광으로 공간을 채우는 유리 천장이 있습니다.그것은 예술, 문화 및 역사를 좋아하는 사람들을위한 피난처이며, Oldworld의 매력과 현대적인 매일의 독특한 조화를 제공합니다.Galerie Vivienne은 보물을 찾아 보거나 여유롭게 산책을 즐기거나 그림 같은 주변 환경 속에서 커피 한 잔을 맛 보더라도 프랑스 중심부의 필수 보석입니다.
너무 아름다워!상점과 카프는 훌륭합니다!!!","월요일 : 오전 8시 30 분 - 오후 8시
화요일 : 오전 8시 30 분 - 오후 8시
수요일 : 오전 8시 30 분 - 오후 8시
목요일 : 오전 8시 30 분 - 오후 8시
금요일 : 오전 8시 30 분 - 오후 8시
토요일 : 오전 8시 30 분 - 오후 8시
일요일 : 오전 8시 30 분 - 오후 8시","쇼핑 _mall, Tourist_attraction, art_gallery, home_goods_store, 서점, 의류 _store, 식당, point_of_interest, 가게, 음식, 설립",Yes
Westfield Les 4 Temps,"15 Parv. de la Défense, 92092 Puteaux, France",4.2,48.8908664,2.237256,"파리의 La Dfense의 Grand Arch 옆에 모든 브랜드와 좋은 가격이 좋은 거대한 쇼핑몰은 쇼핑하기에 좋은 곳이며 푸드 코트는 놀랍습니다.파리 LA 방어에서 최고의 쇼핑몰 중 하나에 쉽게 접근 할 수 있습니다.주요 지역에 위치합니다.
Westfield Les 4 Temps는 괜찮은 쇼핑 환경을 제공하지만 서비스 개선을위한 상당한 여지가 있습니다.화장실에 대한 비용을 지불해야 할 필요성은 불편을 겪고 있으며 긴 줄은 쇼핑 경험이 적습니다.아마도 화장실 프로세스를 간소화하고 유료 액세스에 대한 대안을 고려하면 고객 만족도를 높일 수 있습니다.이러한 문제를 해결하면 쇼핑몰의 쇼핑 경험의 전반적인 품질을 크게 향상시킬 수 있습니다.
나는이 쇼핑몰을 좋아한다.","월요일 : 오전 10시 - 오후 8시 30 분
화요일 : 오전 10시 - 오후 8시 30 분
수요일 : 오전 10시 - 오후 8시 30 분
목요일 : 오전 10시 - 오후 8시 30 분
금요일 : 오전 10시 - 오후 8시 30 분
토요일 : 오전 10시 - 오후 8시 30 분
일요일 : 오전 10시 - 오후 8시","쇼핑 _mall, point_of_interest, 설립",Yes
